qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.4178610804851158,0.28269018743109153,0.29944873208379275,4535.0
2,r0,r1,r2,r4,0.4193832599118943,0.28348017621145377,0.297136563876652,4540.0
3,r0,r1,r3,r4,0.5127922364358183,0.24327304808116454,0.2439347154830172,4534.0
4,r0,r2,r3,r4,0.43210431654676257,0.28214928057553956,0.28574640287769787,4448.0
5,r1,r2,r3,r4,0.43656298948310585,0.28015215931975834,0.2832848511971358,4469.0
6,r0,r1,r2,r5,0.41738363114934923,0.2867857930730201,0.2958305757776307,4533.0
7,r0,r1,r3,r5,0.506284454244763,0.2476295479603087,0.24608599779492835,4535.0
8,r0,r2,r3,r5,0.42076139884904823,0.2866312527667109,0.2926073483842408,4518.0
9,r1,r2,r3,r5,0.4266340595820365,0.2847932414406403,0.28857269897732324,4498.0
10,r0,r1,r4,r5,0.5067165822506056,0.2459810614402114,0.24730235630918299,4541.0
11,r0,r2,r4,r5,0.4269436997319035,0.2877569258266309,0.2852993744414656,4476.0
12,r1,r2,r4,r5,0.43066993100378365,0.28689071889606055,0.2824393501001558,4493.0
13,r0,r3,r4,r5,0.3283649503161698,0.33378500451671184,0.33785004516711836,4428.0
14,r1,r3,r4,r5,0.32647989154993223,0.33687302304563943,0.3366470854044284,4426.0
15,r2,r3,r4,r5,0.3357351947759514,0.3310065300607971,0.3332582751632515,4441.0
16,r0,r1,r2,r6,0.41364327612426677,0.28459700195524656,0.3017597219204866,4603.0
17,r0,r1,r3,r6,0.5160165613423404,0.24057528873392897,0.24340814992373067,4589.0
18,r0,r2,r3,r6,0.4327574896129455,0.2805598075661491,0.2866827028209053,4573.0
19,r1,r2,r3,r6,0.44144144144144143,0.27708196000878926,0.2814765985497693,4551.0
20,r0,r1,r4,r6,0.5109141992651827,0.24400259347309272,0.24508320726172467,4627.0
21,r0,r2,r4,r6,0.42678649715037265,0.28693555458132397,0.2862779482683034,4562.0
22,r1,r2,r4,r6,0.4286967968407196,0.282141290039491,0.2891619131197894,4558.0
23,r0,r3,r4,r6,0.3266816143497758,0.3345291479820628,0.33878923766816144,4460.0
24,r1,r3,r4,r6,0.32694023193577165,0.3356378233719893,0.3374219446922391,4484.0
25,r2,r3,r4,r6,0.33132932531730125,0.3393453573814295,0.3293253173012692,4491.0
26,r0,r1,r5,r6,0.5142548596112311,0.23995680345572354,0.24578833693304536,4630.0
27,r0,r2,r5,r6,0.4397905759162304,0.27726876090750435,0.28294066317626526,4584.0
28,r1,r2,r5,r6,0.43833224186858766,0.2787600960488976,0.2829076620825147,4581.0
29,r0,r3,r5,r6,0.33849557522123896,0.3382743362831858,0.3232300884955752,4520.0
30,r1,r3,r5,r6,0.34377081945369753,0.33111259160559625,0.3251165889407062,4503.0
31,r2,r3,r5,r6,0.3500666370501999,0.3349622390048867,0.3149711239449134,4502.0
32,r0,r4,r5,r6,0.34265423879272083,0.32334664891256104,0.3339991122947182,4506.0
33,r1,r4,r5,r6,0.3494611831977128,0.31735210028590277,0.33318671651638443,4547.0
34,r2,r4,r5,r6,0.3475083056478405,0.3238095238095238,0.32868217054263565,4515.0
35,r3,r4,r5,r6,0.34730271957200176,0.3156486847971467,0.33704859563085154,4486.0
36,r0,r1,r2,r7,0.4248536109303839,0.28410323140316635,0.2910431576664498,4611.0
37,r0,r1,r3,r7,0.5100150764591859,0.24897695455524446,0.24100796898556967,4643.0
38,r0,r2,r3,r7,0.4286336892569187,0.2865548049684027,0.28481150577467856,4589.0
39,r1,r2,r3,r7,0.43386358683809106,0.2813249073872303,0.28481150577467856,4589.0
