qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.6552,0.178,0.1668,5000.0
2,r0,r1,r2,r4,0.6552,0.1752,0.1696,5000.0
3,r0,r1,r3,r4,0.7964,0.1024,0.1012,5000.0
4,r0,r2,r3,r4,0.5914,0.1992,0.2094,5000.0
5,r1,r2,r3,r4,0.5934,0.1984,0.2082,5000.0
6,r0,r1,r2,r5,0.6606,0.1712,0.1682,5000.0
7,r0,r1,r3,r5,0.8032,0.096,0.1008,5000.0
8,r0,r2,r3,r5,0.594,0.191,0.215,5000.0
9,r1,r2,r3,r5,0.5948,0.194,0.2112,5000.0
10,r0,r1,r4,r5,0.8124,0.092,0.0956,5000.0
11,r0,r2,r4,r5,0.6104,0.1864,0.2032,5000.0
12,r1,r2,r4,r5,0.6108,0.1882,0.201,5000.0
13,r0,r3,r4,r5,0.3322,0.3208,0.347,5000.0
14,r1,r3,r4,r5,0.337,0.3178,0.3452,5000.0
15,r2,r3,r4,r5,0.3432,0.3192,0.3376,5000.0
16,r0,r1,r2,r6,0.6648,0.1666,0.1686,5000.0
17,r0,r1,r3,r6,0.812,0.09,0.098,5000.0
18,r0,r2,r3,r6,0.611,0.1852,0.2038,5000.0
19,r1,r2,r3,r6,0.6082,0.1882,0.2036,5000.0
20,r0,r1,r4,r6,0.8196,0.0858,0.0946,5000.0
21,r0,r2,r4,r6,0.6296,0.1838,0.1866,5000.0
22,r1,r2,r4,r6,0.6228,0.1896,0.1876,5000.0
23,r0,r3,r4,r6,0.3436,0.3216,0.3348,5000.0
24,r1,r3,r4,r6,0.3422,0.3182,0.3396,5000.0
25,r2,r3,r4,r6,0.3468,0.3256,0.3276,5000.0
26,r0,r1,r5,r6,0.8344,0.0852,0.0804,5000.0
27,r0,r2,r5,r6,0.6324,0.1874,0.1802,5000.0
28,r1,r2,r5,r6,0.6316,0.1856,0.1828,5000.0
29,r0,r3,r5,r6,0.3382,0.3292,0.3326,5000.0
30,r1,r3,r5,r6,0.342,0.326,0.332,5000.0
31,r2,r3,r5,r6,0.355,0.3184,0.3266,5000.0
32,r0,r4,r5,r6,0.3288,0.3424,0.3288,5000.0
33,r1,r4,r5,r6,0.3292,0.3402,0.3306,5000.0
34,r2,r4,r5,r6,0.334,0.342,0.324,5000.0
35,r3,r4,r5,r6,0.3476,0.331,0.3214,5000.0
36,r0,r1,r2,r7,0.663,0.1704,0.1666,5000.0
37,r0,r1,r3,r7,0.8128,0.0886,0.0986,5000.0
38,r0,r2,r3,r7,0.616,0.1784,0.2056,5000.0
39,r1,r2,r3,r7,0.6114,0.1856,0.203,5000.0
40,r0,r1,r4,r7,0.8178,0.0856,0.0966,5000.0
41,r0,r2,r4,r7,0.6306,0.1822,0.1872,5000.0
42,r1,r2,r4,r7,0.628,0.1872,0.1848,5000.0
43,r0,r3,r4,r7,0.3382,0.3248,0.337,5000.0
44,r1,r3,r4,r7,0.341,0.3206,0.3384,5000.0
45,r2,r3,r4,r7,0.3486,0.3244,0.327,5000.0
46,r0,r1,r5,r7,0.8296,0.085,0.0854,5000.0
47,r0,r2,r5,r7,0.6398,0.1812,0.179,5000.0
48,r1,r2,r5,r7,0.636,0.184,0.18,5000.0
49,r0,r3,r5,r7,0.3362,0.3332,0.3306,5000.0
50,r1,r3,r5,r7,0.3414,0.3306,0.328,5000.0
51,r2,r3,r5,r7,0.3548,0.323,0.3222,5000.0
52,r0,r4,r5,r7,0.3254,0.3406,0.334,5000.0
53,r1,r4,r5,r7,0.327,0.339,0.334,5000.0
54,r2,r4,r5,r7,0.332,0.3376,0.3304,5000.0
55,r3,r4,r5,r7,0.3454,0.3288,0.3258,5000.0
56,r0,r1,r6,r7,0.9188,0.038,0.0432,5000.0
57,r0,r2,r6,r7,0.8158,0.086,0.0982,5000.0
58,r1,r2,r6,r7,0.8104,0.0918,0.0978,5000.0
59,r0,r3,r6,r7,0.6228,0.1894,0.1878,5000.0
60,r1,r3,r6,r7,0.6278,0.1894,0.1828,5000.0
61,r2,r3,r6,r7,0.6294,0.1894,0.1812,5000.0
62,r0,r4,r6,r7,0.6184,0.1962,0.1854,5000.0
63,r1,r4,r6,r7,0.6166,0.1998,0.1836,5000.0
64,r2,r4,r6,r7,0.6188,0.1992,0.182,5000.0
65,r3,r4,r6,r7,0.5938,0.207,0.1992,5000.0
66,r0,r5,r6,r7,0.6374,0.1798,0.1828,5000.0
67,r1,r5,r6,r7,0.637,0.1836,0.1794,5000.0
68,r2,r5,r6,r7,0.6406,0.1836,0.1758,5000.0
69,r3,r5,r6,r7,0.6086,0.1928,0.1986,5000.0
70,r4,r5,r6,r7,0.6074,0.1904,0.2022,5000.0
