qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.43302246714709625,0.2823230182280627,0.28465451462484104,4718.0
2,r0,r1,r2,r4,0.4229131175468484,0.27619250425894376,0.30089437819420783,4696.0
3,r0,r1,r3,r4,0.5118177911474001,0.22990975504941985,0.25827245380318004,4654.0
4,r0,r2,r3,r4,0.41904761904761906,0.2735930735930736,0.30735930735930733,4620.0
5,r1,r2,r3,r4,0.43927256982030743,0.2788482355488201,0.28187919463087246,4619.0
6,r0,r1,r2,r5,0.4284197111299915,0.27909940526762955,0.29248088360237895,4708.0
7,r0,r1,r3,r5,0.5091143040960755,0.23461291014368432,0.2562727857602402,4663.0
8,r0,r2,r3,r5,0.42078884288516016,0.2743517106123338,0.304859446502506,4589.0
9,r1,r2,r3,r5,0.4246575342465753,0.28593172428788866,0.28941074146553597,4599.0
10,r0,r1,r4,r5,0.5166843783209352,0.24739638682252924,0.2359192348565356,4705.0
11,r0,r2,r4,r5,0.42983592400690845,0.29231433506044907,0.2778497409326425,4632.0
12,r1,r2,r4,r5,0.4420211617361261,0.28006909954653425,0.27790973871733965,4631.0
13,r0,r3,r4,r5,0.33282309206210364,0.3369779138421168,0.3301989940957796,4573.0
14,r1,r3,r4,r5,0.33930150309460655,0.32360742705570295,0.33709106984969056,4524.0
15,r2,r3,r4,r5,0.33755182195068734,0.3279511237180886,0.33449705433122406,4583.0
16,r0,r1,r2,r6,0.4240948549650646,0.2818124073681982,0.29409273766673727,4723.0
17,r0,r1,r3,r6,0.5164109121909634,0.23294970161977835,0.2506393861892583,4692.0
18,r0,r2,r3,r6,0.4174421120969487,0.28002596840510713,0.30253191949794417,4621.0
19,r1,r2,r3,r6,0.4232758620689655,0.2834051724137931,0.2933189655172414,4640.0
20,r0,r1,r4,r6,0.5132837407013815,0.2514346439957492,0.23528161530286928,4705.0
21,r0,r2,r4,r6,0.42749407455289806,0.29411764705882354,0.2783882783882784,4641.0
22,r1,r2,r4,r6,0.44208037825059104,0.27788523533204385,0.28003438641736517,4653.0
23,r0,r3,r4,r6,0.33558951965065503,0.3353711790393013,0.32903930131004366,4580.0
24,r1,r3,r4,r6,0.34466125849594387,0.3183512387634291,0.33698750274062705,4561.0
25,r2,r3,r4,r6,0.3443159502509273,0.3214051931049531,0.33427885664411955,4583.0
26,r0,r1,r5,r6,0.5226592560923472,0.2377084224027362,0.23963232150491662,4678.0
27,r0,r2,r5,r6,0.434056399132321,0.2804772234273319,0.2854663774403471,4610.0
28,r1,r2,r5,r6,0.44022564547624216,0.27684964200477324,0.2829247125189846,4609.0
29,r0,r3,r5,r6,0.33369755244755245,0.3291083916083916,0.33719405594405594,4576.0
30,r1,r3,r5,r6,0.3484282259837327,0.32138931633326007,0.33018245768300725,4549.0
31,r2,r3,r5,r6,0.34665489070434974,0.32457496136012365,0.3287701479355266,4529.0
32,r0,r4,r5,r6,0.3343471648924614,0.3291331740169455,0.3365196610905931,4603.0
33,r1,r4,r5,r6,0.3329679964927663,0.3272687417799211,0.3397632617273126,4562.0
34,r2,r4,r5,r6,0.3343551565579155,0.3343551565579155,0.33128968688416904,4567.0
35,r3,r4,r5,r6,0.3395979020979021,0.32757867132867136,0.33282342657342656,4576.0
36,r0,r1,r2,r7,0.42656020172305104,0.28157175877285145,0.2918680395040975,4759.0
37,r0,r1,r3,r7,0.508245243128964,0.23805496828752643,0.2536997885835095,4730.0
38,r0,r2,r3,r7,0.41312741312741313,0.2754182754182754,0.31145431145431146,4662.0
39,r1,r2,r3,r7,0.42060269288309465,0.2816841205385766,0.2977131865783287,4679.0
40,r0,r1,r4,r7,0.5150679117147708,0.250848896434635,0.23408319185059423,4712.0
41,r0,r2,r4,r7,0.4277753964852122,0.2970424346335191,0.27518216888126873,4666.0
42,r1,r2,r4,r7,0.4418255838868652,0.27919434326119563,0.27898007285193915,4667.0
43,r0,r3,r4,r7,0.3379385964912281,0.3293859649122807,0.33267543859649124,4560.0
44,r1,r3,r4,r7,0.3521341463414634,0.31511324041811845,0.3327526132404181,4592.0
45,r2,r3,r4,r7,0.35764192139737994,0.312882096069869,0.32947598253275107,4580.0
46,r0,r1,r5,r7,0.5164039198977418,0.24371538133787815,0.23988069876438006,4694.0
47,r0,r2,r5,r7,0.42927986200948687,0.28654592496765846,0.28417421302285467,4638.0
48,r1,r2,r5,r7,0.4349233757824304,0.2827541549751781,0.2823224692423915,4633.0
49,r0,r3,r5,r7,0.3273913043478261,0.33260869565217394,0.34,4600.0
50,r1,r3,r5,r7,0.34201954397394135,0.3298588490770901,0.3281216069489685,4605.0
51,r2,r3,r5,r7,0.34737299174989145,0.3252279635258359,0.32739904472427267,4606.0
52,r0,r4,r5,r7,0.3350570997629821,0.33634992458521873,0.3285929756517992,4641.0
53,r1,r4,r5,r7,0.33123370981754996,0.33579496090356215,0.33297132927888795,4604.0
54,r2,r4,r5,r7,0.32608695652173914,0.3426086956521739,0.331304347826087,4600.0
55,r3,r4,r5,r7,0.33491994807442665,0.3357853742968412,0.32929467762873216,4622.0
56,r0,r1,r6,r7,0.5848896434634975,0.20988964346349745,0.2052207130730051,4712.0
57,r0,r2,r6,r7,0.5083943176926389,0.2503228583727938,0.24128282393456738,4646.0
58,r1,r2,r6,r7,0.5143162393162393,0.2467948717948718,0.2388888888888889,4680.0
59,r0,r3,r6,r7,0.42921979684460776,0.28852388156472875,0.2822563215906635,4627.0
60,r1,r3,r6,r7,0.44521288091636047,0.27728549816295656,0.2775016209206829,4627.0
61,r2,r3,r6,r7,0.4491874322860238,0.27648970747562296,0.27432286023835317,4615.0
62,r0,r4,r6,r7,0.4231601731601732,0.2982683982683983,0.2785714285714286,4620.0
63,r1,r4,r6,r7,0.4157108850898074,0.29906946548366153,0.28521964942653105,4621.0
64,r2,r4,r6,r7,0.41695652173913045,0.29739130434782607,0.2856521739130435,4600.0
65,r3,r4,r6,r7,0.43317474048442905,0.2852508650519031,0.28157439446366783,4624.0
66,r0,r5,r6,r7,0.41991719328829813,0.2935280017432992,0.2865548049684027,4589.0
67,r1,r5,r6,r7,0.4198907103825137,0.2907103825136612,0.28939890710382515,4575.0
68,r2,r5,r6,r7,0.42882134266345945,0.28427727968510824,0.2869013776514323,4573.0
69,r3,r5,r6,r7,0.43042350907519444,0.28111495246326706,0.28846153846153844,4628.0
70,r4,r5,r6,r7,0.4221933246640659,0.28023407022106633,0.29757260511486777,4614.0
