qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.7226,0.146,0.1314,5000.0
2,r0,r1,r2,r4,0.724,0.1438,0.1322,5000.0
3,r0,r1,r3,r4,0.897,0.0508,0.0522,5000.0
4,r0,r2,r3,r4,0.72,0.14,0.14,5000.0
5,r1,r2,r3,r4,0.7164,0.141,0.1426,5000.0
6,r0,r1,r2,r5,0.7222,0.1462,0.1316,5000.0
7,r0,r1,r3,r5,0.9028,0.0464,0.0508,5000.0
8,r0,r2,r3,r5,0.7168,0.1436,0.1396,5000.0
9,r1,r2,r3,r5,0.7144,0.1464,0.1392,5000.0
10,r0,r1,r4,r5,0.9096,0.0418,0.0486,5000.0
11,r0,r2,r4,r5,0.7298,0.1376,0.1326,5000.0
12,r1,r2,r4,r5,0.7262,0.141,0.1328,5000.0
13,r0,r3,r4,r5,0.3538,0.317,0.3292,5000.0
14,r1,r3,r4,r5,0.3546,0.3188,0.3266,5000.0
15,r2,r3,r4,r5,0.3492,0.3176,0.3332,5000.0
16,r0,r1,r2,r6,0.7228,0.1446,0.1326,5000.0
17,r0,r1,r3,r6,0.9012,0.0504,0.0484,5000.0
18,r0,r2,r3,r6,0.7244,0.1316,0.144,5000.0
19,r1,r2,r3,r6,0.7222,0.1322,0.1456,5000.0
20,r0,r1,r4,r6,0.9058,0.047,0.0472,5000.0
21,r0,r2,r4,r6,0.7386,0.1266,0.1348,5000.0
22,r1,r2,r4,r6,0.732,0.1308,0.1372,5000.0
23,r0,r3,r4,r6,0.3428,0.3148,0.3424,5000.0
24,r1,r3,r4,r6,0.3436,0.3138,0.3426,5000.0
25,r2,r3,r4,r6,0.3428,0.319,0.3382,5000.0
26,r0,r1,r5,r6,0.9064,0.0502,0.0434,5000.0
27,r0,r2,r5,r6,0.7376,0.127,0.1354,5000.0
28,r1,r2,r5,r6,0.7354,0.1252,0.1394,5000.0
29,r0,r3,r5,r6,0.353,0.3068,0.3402,5000.0
30,r1,r3,r5,r6,0.3554,0.3072,0.3374,5000.0
31,r2,r3,r5,r6,0.357,0.3146,0.3284,5000.0
32,r0,r4,r5,r6,0.3348,0.3146,0.3506,5000.0
33,r1,r4,r5,r6,0.3354,0.3124,0.3522,5000.0
34,r2,r4,r5,r6,0.337,0.3198,0.3432,5000.0
35,r3,r4,r5,r6,0.352,0.3186,0.3294,5000.0
36,r0,r1,r2,r7,0.7226,0.1452,0.1322,5000.0
37,r0,r1,r3,r7,0.9046,0.0486,0.0468,5000.0
38,r0,r2,r3,r7,0.7294,0.127,0.1436,5000.0
39,r1,r2,r3,r7,0.727,0.128,0.145,5000.0
40,r0,r1,r4,r7,0.9066,0.0454,0.048,5000.0
41,r0,r2,r4,r7,0.7368,0.125,0.1382,5000.0
42,r1,r2,r4,r7,0.7326,0.1294,0.138,5000.0
43,r0,r3,r4,r7,0.3442,0.3188,0.337,5000.0
44,r1,r3,r4,r7,0.3452,0.3176,0.3372,5000.0
45,r2,r3,r4,r7,0.3488,0.319,0.3322,5000.0
46,r0,r1,r5,r7,0.9066,0.0498,0.0436,5000.0
47,r0,r2,r5,r7,0.7406,0.1196,0.1398,5000.0
48,r1,r2,r5,r7,0.7394,0.1178,0.1428,5000.0
49,r0,r3,r5,r7,0.3484,0.3148,0.3368,5000.0
50,r1,r3,r5,r7,0.3504,0.3156,0.334,5000.0
51,r2,r3,r5,r7,0.3566,0.3204,0.323,5000.0
52,r0,r4,r5,r7,0.3356,0.3164,0.348,5000.0
53,r1,r4,r5,r7,0.338,0.313,0.349,5000.0
54,r2,r4,r5,r7,0.3386,0.3246,0.3368,5000.0
55,r3,r4,r5,r7,0.3504,0.3248,0.3248,5000.0
56,r0,r1,r6,r7,0.9582,0.0194,0.0224,5000.0
57,r0,r2,r6,r7,0.8786,0.0594,0.062,5000.0
58,r1,r2,r6,r7,0.8736,0.0636,0.0628,5000.0
59,r0,r3,r6,r7,0.6966,0.1574,0.146,5000.0
60,r1,r3,r6,r7,0.6946,0.158,0.1474,5000.0
61,r2,r3,r6,r7,0.6956,0.1556,0.1488,5000.0
62,r0,r4,r6,r7,0.6808,0.1642,0.155,5000.0
63,r1,r4,r6,r7,0.6796,0.1648,0.1556,5000.0
64,r2,r4,r6,r7,0.6854,0.1616,0.153,5000.0
65,r3,r4,r6,r7,0.6928,0.1566,0.1506,5000.0
66,r0,r5,r6,r7,0.6752,0.163,0.1618,5000.0
67,r1,r5,r6,r7,0.6736,0.165,0.1614,5000.0
68,r2,r5,r6,r7,0.6784,0.1628,0.1588,5000.0
69,r3,r5,r6,r7,0.6828,0.158,0.1592,5000.0
70,r4,r5,r6,r7,0.6748,0.1608,0.1644,5000.0
