qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.4302,0.2944,0.2754,5000.0
2,r0,r1,r2,r4,0.4306,0.2802,0.2892,5000.0
3,r0,r1,r3,r4,0.492,0.2438,0.2642,5000.0
4,r0,r2,r3,r4,0.4096,0.2932,0.2972,5000.0
5,r1,r2,r3,r4,0.4102,0.2984,0.2914,5000.0
6,r0,r1,r2,r5,0.4314,0.2896,0.279,5000.0
7,r0,r1,r3,r5,0.493,0.2482,0.2588,5000.0
8,r0,r2,r3,r5,0.4152,0.295,0.2898,5000.0
9,r1,r2,r3,r5,0.406,0.3046,0.2894,5000.0
10,r0,r1,r4,r5,0.5018,0.2486,0.2496,5000.0
11,r0,r2,r4,r5,0.4202,0.2882,0.2916,5000.0
12,r1,r2,r4,r5,0.4174,0.29,0.2926,5000.0
13,r0,r3,r4,r5,0.3338,0.3388,0.3274,5000.0
14,r1,r3,r4,r5,0.347,0.3256,0.3274,5000.0
15,r2,r3,r4,r5,0.3354,0.3314,0.3332,5000.0
16,r0,r1,r2,r6,0.4314,0.2848,0.2838,5000.0
17,r0,r1,r3,r6,0.5012,0.2366,0.2622,5000.0
18,r0,r2,r3,r6,0.4156,0.2886,0.2958,5000.0
19,r1,r2,r3,r6,0.417,0.2932,0.2898,5000.0
20,r0,r1,r4,r6,0.5042,0.2494,0.2464,5000.0
21,r0,r2,r4,r6,0.4208,0.2848,0.2944,5000.0
22,r1,r2,r4,r6,0.4148,0.2856,0.2996,5000.0
23,r0,r3,r4,r6,0.3346,0.3348,0.3306,5000.0
24,r1,r3,r4,r6,0.351,0.3252,0.3238,5000.0
25,r2,r3,r4,r6,0.336,0.3364,0.3276,5000.0
26,r0,r1,r5,r6,0.5112,0.241,0.2478,5000.0
27,r0,r2,r5,r6,0.424,0.277,0.299,5000.0
28,r1,r2,r5,r6,0.4184,0.282,0.2996,5000.0
29,r0,r3,r5,r6,0.3432,0.3258,0.331,5000.0
30,r1,r3,r5,r6,0.347,0.3312,0.3218,5000.0
31,r2,r3,r5,r6,0.3434,0.3386,0.318,5000.0
32,r0,r4,r5,r6,0.3418,0.3298,0.3284,5000.0
33,r1,r4,r5,r6,0.338,0.335,0.327,5000.0
34,r2,r4,r5,r6,0.338,0.342,0.32,5000.0
35,r3,r4,r5,r6,0.3364,0.3288,0.3348,5000.0
36,r0,r1,r2,r7,0.4294,0.285,0.2856,5000.0
37,r0,r1,r3,r7,0.498,0.241,0.261,5000.0
38,r0,r2,r3,r7,0.4158,0.2824,0.3018,5000.0
39,r1,r2,r3,r7,0.4216,0.2866,0.2918,5000.0
40,r0,r1,r4,r7,0.515,0.2464,0.2386,5000.0
41,r0,r2,r4,r7,0.4208,0.2894,0.2898,5000.0
42,r1,r2,r4,r7,0.4204,0.283,0.2966,5000.0
43,r0,r3,r4,r7,0.3318,0.343,0.3252,5000.0
44,r1,r3,r4,r7,0.3472,0.3304,0.3224,5000.0
45,r2,r3,r4,r7,0.341,0.3432,0.3158,5000.0
46,r0,r1,r5,r7,0.5122,0.2398,0.248,5000.0
47,r0,r2,r5,r7,0.4228,0.2814,0.2958,5000.0
48,r1,r2,r5,r7,0.4196,0.28,0.3004,5000.0
49,r0,r3,r5,r7,0.3406,0.3332,0.3262,5000.0
50,r1,r3,r5,r7,0.3522,0.3286,0.3192,5000.0
51,r2,r3,r5,r7,0.351,0.3412,0.3078,5000.0
52,r0,r4,r5,r7,0.3448,0.3338,0.3214,5000.0
53,r1,r4,r5,r7,0.3394,0.3342,0.3264,5000.0
54,r2,r4,r5,r7,0.3408,0.3418,0.3174,5000.0
55,r3,r4,r5,r7,0.3356,0.3288,0.3356,5000.0
56,r0,r1,r6,r7,0.5756,0.2164,0.208,5000.0
57,r0,r2,r6,r7,0.5022,0.2484,0.2494,5000.0
58,r1,r2,r6,r7,0.498,0.2476,0.2544,5000.0
59,r0,r3,r6,r7,0.4236,0.2868,0.2896,5000.0
60,r1,r3,r6,r7,0.4334,0.2832,0.2834,5000.0
61,r2,r3,r6,r7,0.4314,0.2848,0.2838,5000.0
62,r0,r4,r6,r7,0.43,0.2846,0.2854,5000.0
63,r1,r4,r6,r7,0.4204,0.29,0.2896,5000.0
64,r2,r4,r6,r7,0.4358,0.285,0.2792,5000.0
65,r3,r4,r6,r7,0.4198,0.2892,0.291,5000.0
66,r0,r5,r6,r7,0.4162,0.2932,0.2906,5000.0
67,r1,r5,r6,r7,0.4222,0.2916,0.2862,5000.0
68,r2,r5,r6,r7,0.4334,0.2886,0.278,5000.0
69,r3,r5,r6,r7,0.4146,0.2952,0.2902,5000.0
70,r4,r5,r6,r7,0.4154,0.298,0.2866,5000.0
