qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.4302,0.2842,0.2856,5000.0
2,r0,r1,r2,r4,0.4348,0.2896,0.2756,5000.0
3,r0,r1,r3,r4,0.5048,0.2564,0.2388,5000.0
4,r0,r2,r3,r4,0.426,0.2966,0.2774,5000.0
5,r1,r2,r3,r4,0.4206,0.2862,0.2932,5000.0
6,r0,r1,r2,r5,0.4358,0.2812,0.283,5000.0
7,r0,r1,r3,r5,0.52,0.2376,0.2424,5000.0
8,r0,r2,r3,r5,0.4282,0.2916,0.2802,5000.0
9,r1,r2,r3,r5,0.4262,0.2888,0.285,5000.0
10,r0,r1,r4,r5,0.5188,0.238,0.2432,5000.0
11,r0,r2,r4,r5,0.4296,0.28,0.2904,5000.0
12,r1,r2,r4,r5,0.425,0.2848,0.2902,5000.0
13,r0,r3,r4,r5,0.3444,0.3334,0.3222,5000.0
14,r1,r3,r4,r5,0.3398,0.3406,0.3196,5000.0
15,r2,r3,r4,r5,0.3284,0.3478,0.3238,5000.0
16,r0,r1,r2,r6,0.4298,0.2902,0.28,5000.0
17,r0,r1,r3,r6,0.502,0.2474,0.2506,5000.0
18,r0,r2,r3,r6,0.4196,0.2968,0.2836,5000.0
19,r1,r2,r3,r6,0.4182,0.2968,0.285,5000.0
20,r0,r1,r4,r6,0.5142,0.2378,0.248,5000.0
21,r0,r2,r4,r6,0.429,0.2838,0.2872,5000.0
22,r1,r2,r4,r6,0.419,0.2926,0.2884,5000.0
23,r0,r3,r4,r6,0.3426,0.3262,0.3312,5000.0
24,r1,r3,r4,r6,0.3332,0.3328,0.334,5000.0
25,r2,r3,r4,r6,0.3298,0.3418,0.3284,5000.0
26,r0,r1,r5,r6,0.5186,0.2432,0.2382,5000.0
27,r0,r2,r5,r6,0.426,0.2946,0.2794,5000.0
28,r1,r2,r5,r6,0.435,0.2912,0.2738,5000.0
29,r0,r3,r5,r6,0.3492,0.3208,0.33,5000.0
30,r1,r3,r5,r6,0.3442,0.318,0.3378,5000.0
31,r2,r3,r5,r6,0.338,0.32,0.342,5000.0
32,r0,r4,r5,r6,0.3388,0.3328,0.3284,5000.0
33,r1,r4,r5,r6,0.3446,0.3258,0.3296,5000.0
34,r2,r4,r5,r6,0.338,0.3282,0.3338,5000.0
35,r3,r4,r5,r6,0.3382,0.329,0.3328,5000.0
36,r0,r1,r2,r7,0.437,0.2782,0.2848,5000.0
37,r0,r1,r3,r7,0.5154,0.2402,0.2444,5000.0
38,r0,r2,r3,r7,0.415,0.299,0.286,5000.0
39,r1,r2,r3,r7,0.4238,0.2968,0.2794,5000.0
40,r0,r1,r4,r7,0.5204,0.2332,0.2464,5000.0
41,r0,r2,r4,r7,0.4264,0.2804,0.2932,5000.0
42,r1,r2,r4,r7,0.4256,0.29,0.2844,5000.0
43,r0,r3,r4,r7,0.344,0.3208,0.3352,5000.0
44,r1,r3,r4,r7,0.336,0.331,0.333,5000.0
45,r2,r3,r4,r7,0.3298,0.3342,0.336,5000.0
46,r0,r1,r5,r7,0.5238,0.2358,0.2404,5000.0
47,r0,r2,r5,r7,0.4182,0.2936,0.2882,5000.0
48,r1,r2,r5,r7,0.4288,0.293,0.2782,5000.0
49,r0,r3,r5,r7,0.3398,0.3214,0.3388,5000.0
50,r1,r3,r5,r7,0.3388,0.3236,0.3376,5000.0
51,r2,r3,r5,r7,0.332,0.3204,0.3476,5000.0
52,r0,r4,r5,r7,0.325,0.3318,0.3432,5000.0
53,r1,r4,r5,r7,0.3346,0.3268,0.3386,5000.0
54,r2,r4,r5,r7,0.3334,0.3252,0.3414,5000.0
55,r3,r4,r5,r7,0.334,0.3352,0.3308,5000.0
56,r0,r1,r6,r7,0.5822,0.2076,0.2102,5000.0
57,r0,r2,r6,r7,0.4874,0.2538,0.2588,5000.0
58,r1,r2,r6,r7,0.5026,0.2514,0.246,5000.0
59,r0,r3,r6,r7,0.4284,0.289,0.2826,5000.0
60,r1,r3,r6,r7,0.4376,0.2864,0.276,5000.0
61,r2,r3,r6,r7,0.4212,0.2914,0.2874,5000.0
62,r0,r4,r6,r7,0.4198,0.294,0.2862,5000.0
63,r1,r4,r6,r7,0.4334,0.2882,0.2784,5000.0
64,r2,r4,r6,r7,0.4284,0.2854,0.2862,5000.0
65,r3,r4,r6,r7,0.4292,0.2814,0.2894,5000.0
66,r0,r5,r6,r7,0.4138,0.2898,0.2964,5000.0
67,r1,r5,r6,r7,0.4212,0.2892,0.2896,5000.0
68,r2,r5,r6,r7,0.4124,0.2872,0.3004,5000.0
69,r3,r5,r6,r7,0.4276,0.2768,0.2956,5000.0
70,r4,r5,r6,r7,0.4218,0.2842,0.294,5000.0
