,net,trees,admix,src_node,dest_node,pos_as_prop,pos_as_prop_rand,gamma,plot_admix
0,snaq-gt-1e3_imb-94-snaq-p548876.snaq.net-1.networks,"(r1:1,(r2:1,((r7:1,r6:1.12715719939):0.148419833406,(r4:1,(r3:1,r5:2):0):0.0168760378164):0.140247508096):0.177190708574,r0:1);","[(['r5'], ['r6'], 0.5, {}, '0.0851')]",['r5'],['r6'],0.5,0.6516518873083549,0.0851,"(['r5'], ['r6'], 0.6516518873083549, {'stroke': array((0.33923137, 0.69300392, 0.67510588, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1702, 'stroke-width': 2})"
1,snaq-gt-1e3_imb-90-snaq-p548876.snaq.net-1.networks,"((r2:1,((r4:1,r3:1):0,(r5:1,(r6:1,r7:1):0.138127375062):1.00984034846):0.161934383638):0.169648234574,r0:1,r1:8.42412597144);","[(['r5', 'r6', 'r7'], ['r1'], 0.5, {}, '0.0136')]","['r5', 'r6', 'r7']",['r1'],0.5,0.12692602710684775,0.0136,"(['r5', 'r6', 'r7'], ['r1'], 0.12692602710684775, {'stroke': array((0.32169412, 0.37060392, 0.66409412, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0272, 'stroke-width': 2})"
2,snaq-gt-1e3_imb-13-snaq-p548876.snaq.net-1.networks,"((r1:1,r0:3.33814600811):0.168258832015,(r5:1,(r3:1,(r4:1,(r6:1,r7:1):0.158969844915):0.0033131159302):0):0.155738828462,r2:1);","[(['r4', 'r6', 'r7'], ['r0'], 0.5, {}, '0.012')]","['r4', 'r6', 'r7']",['r0'],0.5,0.8982807875693881,0.012,"(['r4', 'r6', 'r7'], ['r0'], 0.8982807875693881, {'stroke': array((0.32721569, 0.36345098, 0.66070588, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.024, 'stroke-width': 2})"
3,snaq-gt-1e3_imb-64-snaq-p548876.snaq.net-1.networks,"(r1:1,(r2:1,(r3:1,((r4:1,r5:2):0.0136759204359,(r7:1,r6:1.16544688437):0.163138218439):0.00537757435705):0.147208785581):0.157925053925,r0:1);","[(['r5'], ['r6'], 0.5, {}, '0.0483')]",['r5'],['r6'],0.5,0.0907502497267294,0.0483,"(['r5'], ['r6'], 0.0907502497267294, {'stroke': array((0.2019451, 0.52573333, 0.73757647, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0966, 'stroke-width': 2})"
4,snaq-gt-1e3_imb-98-snaq-p548876.snaq.net-1.networks,"((r2:1,(r4:1,((r5:1,(r6:1,r7:1):0.145288351629):0.0135169083922,r3:1.16691965329):0.00579218469237):0.154474431314):0.178939307088,r0:1,r1:2);","[(['r1'], ['r3'], 0.5, {}, '0.0805')]",['r1'],['r3'],0.5,0.3294645754049431,0.0805,"(['r1'], ['r3'], 0.3294645754049431, {'stroke': array((0.32047059, 0.67207843, 0.68376471, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.161, 'stroke-width': 2})"
5,snaq-gt-1e3_imb-11-snaq-p548876.snaq.net-1.networks,"(r1:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:8.48640171561):0.152149130223):0.0119224849382):0.005678893927):0.132285674524,r2:2):0.166291580543,r0:1);","[(['r2'], ['r7'], 0.5, {}, '0.00902')]",['r2'],['r7'],0.5,0.13286874085996958,0.00902,"(['r2'], ['r7'], 0.13286874085996958, {'stroke': array((0.33749961, 0.35012863, 0.65439529, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.01804, 'stroke-width': 2})"
6,snaq-gt-1e3_imb-32-snaq-p548876.snaq.net-1.networks,"(r1:1,(((r3:1,r4:1):0.00331073176088,(r5:1,(r6:1,r7:1):0.140655513624):0.0349400564824):0.166988874181,r2:1.18851164032):0.145629701972,r0:1);","[(['r6', 'r7'], ['r2'], 0.5, {}, '0.0844')]","['r6', 'r7']",['r2'],0.5,0.9428557998321655,0.0844,"(['r6', 'r7'], ['r2'], 0.9428557998321655, {'stroke': array((0.33637647, 0.68981961, 0.67642353, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1688, 'stroke-width': 2})"
7,snaq-gt-1e3_imb-27-snaq-p548876.snaq.net-1.networks,"((r2:1,((r3:1,r4:2):0.00576318376848,(r5:1,(r6:1,r7:1):0.149669857249):0.0146623077725):0.164409628516):0.160289224196,r1:1,r0:1.30025596028);","[(['r4'], ['r0'], 0.5, {}, '0.0523')]",['r4'],['r0'],0.5,0.11280498621826096,0.0523,"(['r4'], ['r0'], 0.11280498621826096, {'stroke': array((0.20545882, 0.54379608, 0.73684706, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1046, 'stroke-width': 2})"
8,snaq-gt-1e3_imb-54-snaq-p548876.snaq.net-1.networks,"(((r4:1,(r3:1,(r5:1,(r6:1,r7:1):0.140077010827):0.012830605561):0.0110445910236):0.124792948432,r2:1.18561951836):0.185619518358,r0:1,r1:2);","[(['r1'], ['r2'], 0.5, {}, '0.149')]",['r1'],['r2'],0.5,0.8985961709194615,0.149,"(['r1'], ['r2'], 0.8985961709194615, {'stroke': array((0.66517647, 0.86454902, 0.64321569, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.298, 'stroke-width': 2})"
9,snaq-gt-1e3_imb-93-snaq-p548876.snaq.net-1.networks,"(r1:1,((r4:1,(r3:1,(r5:1,(r7:1,r6:2):0.161111122239):0.0144460409331):0.0142376084953):0.145081534939,r2:1.12856532293):0.165200709059,r0:1);","[(['r6'], ['r2'], 0.5, {}, '0.0548')]",['r6'],['r2'],0.5,0.8712873861988575,0.0548,"(['r6'], ['r2'], 0.8712873861988575, {'stroke': array((0.2156549, 0.55516863, 0.73214118, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1096, 'stroke-width': 2})"
