,net,trees,admix,src_node,dest_node,pos_as_prop,pos_as_prop_rand,gamma,plot_admix
0,snaq-ne-1e5-imb-80-snaq-p548876.snaq.net-1.networks,"(r1:1,(((r7:1,r6:1):0.735994358868,(r5:1,(r4:1,r3:2):0.0196292596144):0.0222004115512):0.948147345841,r2:1):0.891393237909,r0:1);","[(['r3'], ['r2'], 0.5, {}, '0.0704')]",['r3'],['r2'],0.5,0.7700344848876535,0.0704,"(['r3'], ['r2'], 0.7700344848876535, {'stroke': array((0.27927843, 0.62613333, 0.70277647, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1408, 'stroke-width': 2})"
1,snaq-ne-1e5-imb-93-snaq-p548876.snaq.net-1.networks,"(((r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.718372203174):0.0294645405522):0.0276724322536):0.767091189425,r2:2):1.15159258494,r0:1,r1:1.05514554389);","[(['r2'], ['r1'], 0.5, {}, '0.158')]",['r2'],['r1'],0.5,0.8993618037931222,0.158,"(['r2'], ['r1'], 0.8993618037931222, {'stroke': array((0.70760784, 0.88172549, 0.63560784, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.316, 'stroke-width': 2})"
2,snaq-ne-1e5-imb-73-snaq-p548876.snaq.net-1.networks,"(r1:1,(((r4:1,(r5:1,(r6:1,r7:1):0.717994287952):0.00774567439729):0.0224423560921,r3:1.05391750276):1.19731814197,r2:2):0.751144645546,r0:1);","[(['r2'], ['r3'], 0.5, {}, '0.155')]",['r2'],['r3'],0.5,0.6130216334967272,0.155,"(['r2'], ['r3'], 0.6130216334967272, {'stroke': array((0.69372549, 0.87607843, 0.63843137, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.31, 'stroke-width': 2})"
3,snaq-ne-1e5-imb-66-snaq-p548876.snaq.net-1.networks,"((r4:1,(r5:1,(r6:1,r7:1):0.69132697789):0.0365962570525):0.0809694995526,r3:1,(r2:1,(r0:1,r1:1):0.894112747905):0.73425799521);","[(['r2', 'r0', 'r1'], ['r6', 'r7'], 0.5, {}, '0.41')]","['r2', 'r0', 'r1']","['r6', 'r7']",0.5,0.4215531054945142,0.41,"(['r2', 'r0', 'r1'], ['r6', 'r7'], 0.4215531054945142, {'stroke': array((0.93254902, 0.39058824, 0.27215686, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.82, 'stroke-width': 2})"
4,snaq-ne-1e5-imb-56-snaq-p548876.snaq.net-1.networks,"(((r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.713047411151):0.0192794480801):0.0361948165898):0.730366087845,r2:2):1.15261710331,r1:1,r0:1.11442193867);","[(['r2'], ['r0'], 0.5, {}, '0.136')]",['r2'],['r0'],0.5,0.424287512158666,0.136,"(['r2'], ['r0'], 0.424287512158666, {'stroke': array((0.59482353, 0.83701961, 0.64423529, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.272, 'stroke-width': 2})"
5,snaq-ne-1e5-imb-71-snaq-p548876.snaq.net-1.networks,"(r1:1,(((r4:1,(r5:1,(r6:1,r7:1):0.70753522547):0.00640412444679):0.0201757603937,r3:1.08995066587):1.14233076054,r2:2):0.795769324023,r0:1);","[(['r2'], ['r3'], 0.5, {}, '0.117')]",['r2'],['r3'],0.5,0.45014037756680025,0.117,"(['r2'], ['r3'], 0.45014037756680025, {'stroke': array((0.492, 0.79678431, 0.64572549, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.234, 'stroke-width': 2})"
6,snaq-ne-1e5-imb-84-snaq-p548876.snaq.net-1.networks,"(r1:1,(r2:1,(((r5:1,(r6:1,r7:1):0.710939272721):0.0164011870831,r4:6.61304971158):0.0546527120233,r3:2):0.867155901177):0.922439121186,r0:1);","[(['r3'], ['r4'], 0.5, {}, '0.0356')]",['r3'],['r4'],0.5,0.17959775604648898,0.0356,"(['r3'], ['r4'], 0.17959775604648898, {'stroke': array((0.24577255, 0.46895686, 0.71068235, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0712, 'stroke-width': 2})"
7,snaq-ne-1e5-imb-78-snaq-p548876.snaq.net-1.networks,"(((r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.723265818079):0.0217066569309):0.0274986697509):0.770419136831,r2:2):1.06756040622,r1:1,r0:1.07960829687);","[(['r2'], ['r0'], 0.5, {}, '0.123')]",['r2'],['r0'],0.5,0.3748224019624842,0.123,"(['r2'], ['r0'], 0.3748224019624842, {'stroke': array((0.52447059, 0.8094902, 0.6452549, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.246, 'stroke-width': 2})"
8,snaq-ne-1e5-imb-63-snaq-p548876.snaq.net-1.networks,"(((r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.716013332079):0.0202231778797):0.0430257053566):0.745292165982,r2:2):1.15073318657,r1:1,r0:1.00269270514);","[(['r2'], ['r0'], 0.5, {}, '0.165')]",['r2'],['r0'],0.5,0.4839214186727976,0.165,"(['r2'], ['r0'], 0.4839214186727976, {'stroke': array((0.74, 0.89490196, 0.62901961, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.33, 'stroke-width': 2})"
9,snaq-ne-1e5-imb-60-snaq-p548876.snaq.net-1.networks,"(((r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.717842026546):0.0223110594618):0.0283825291225):0.761912594835,r2:2):1.14639690946,r0:1,r1:1.05683475091);","[(['r2'], ['r1'], 0.5, {}, '0.127')]",['r2'],['r1'],0.5,0.15897916380093213,0.127,"(['r2'], ['r1'], 0.15897916380093213, {'stroke': array((0.54611765, 0.81796078, 0.64494118, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.254, 'stroke-width': 2})"
