,net,trees,admix,src_node,dest_node,pos_as_prop,pos_as_prop_rand,gamma,plot_admix
0,snaq-true-gt-unlinked-imb-42-snaq-p548876.snaq.net-1.networks,"((r2:1,((r4:1,(r5:1,(r6:1,r7:1):0.137630933918):0.0118299090382):0.00596364071313,r3:1.0916563992):0.140284367778):0.174074573455,r0:1,r1:2);","[(['r1'], ['r3'], 0.5, {}, '0.103')]",['r1'],['r3'],0.5,0.34339144164636093,0.103,"(['r1'], ['r3'], 0.34339144164636093, {'stroke': array((0.41623529, 0.76713725, 0.64682353, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.206, 'stroke-width': 2})"
1,snaq-true-gt-unlinked-imb-98-snaq-p548876.snaq.net-1.networks,"(r1:1,(r2:1,((r4:1,(r5:1,(r6:1,r7:2):0.147324797627):0.0161509722293):0.00899416533348,r3:1.12953025462):0.125807549813):0.153074975233,r0:1);","[(['r7'], ['r3'], 0.5, {}, '0.095')]",['r7'],['r3'],0.5,0.34357542235057337,0.095,"(['r7'], ['r3'], 0.34357542235057337, {'stroke': array((0.37960784, 0.73803922, 0.65647059, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.19, 'stroke-width': 2})"
2,snaq-true-gt-unlinked-imb-4-snaq-p548876.snaq.net-1.networks,"((r1:1,r0:2):0.137435033977,(r3:1,(r4:1,((r6:1,r7:1):0.149014861756,r5:2.87029206293):0.00226232657684):0.0180806702543):0.133472817623,r2:1);","[(['r0'], ['r5'], 0.5, {}, '0.0098')]",['r0'],['r5'],0.5,0.5638249261573385,0.0098,"(['r0'], ['r5'], 0.5638249261573385, {'stroke': array((0.33480784, 0.35361569, 0.65604706, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0196, 'stroke-width': 2})"
3,snaq-true-gt-unlinked-imb-9-snaq-p548876.snaq.net-1.networks,"((r2:1,(r3:1,((r5:1,(r6:1,r7:1):0.143453262452):0.00844468862523,r4:9.12420152453):0.0160712866542):0.135330457679):0.154673576859,r1:1,r0:2);","[(['r0'], ['r4'], 0.5, {}, '0.0155')]",['r0'],['r4'],0.5,0.058059705391056426,0.0155,"(['r0'], ['r4'], 0.058059705391056426, {'stroke': array((0.31513725, 0.37909804, 0.66811765, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.031, 'stroke-width': 2})"
4,snaq-true-gt-unlinked-imb-82-snaq-p548876.snaq.net-1.networks,"((r5:1,(r6:1,r7:3.83625807568):0.123585500039):0.0125014847858,(r4:1,(r2:1,(r0:1,r1:1):0.157661669009):0.130878000989):0.0137013301309,r3:1);","[(['r2', 'r0', 'r1'], ['r7'], 0.5, {}, '0.00841')]","['r2', 'r0', 'r1']",['r7'],0.5,0.9302783262887231,0.00841,"(['r2', 'r0', 'r1'], ['r7'], 0.9302783262887231, {'stroke': array((0.33960471, 0.34740157, 0.65310353, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.01682, 'stroke-width': 2})"
5,snaq-true-gt-unlinked-imb-87-snaq-p548876.snaq.net-1.networks,"(r1:1,(r2:1,((r4:1,r5:2):0.0212860369745,(r3:1,(r7:1,r6:9.68427942347):0.15625106204):0.0030248799514):0.145414866965):0.133747813903,r0:1);","[(['r5'], ['r6'], 0.5, {}, '0.0181')]",['r5'],['r6'],0.5,0.7486556815412099,0.0181,"(['r5'], ['r6'], 0.7486556815412099, {'stroke': array((0.30616471, 0.39072157, 0.67362353, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0362, 'stroke-width': 2})"
6,snaq-true-gt-unlinked-imb-30-snaq-p548876.snaq.net-1.networks,"((r2:1,(r3:1,((r5:1,(r6:1,r7:1):0.139375782636):0.00711383397048,r4:1.15260240347):0.010715322142):0.148406132136):0.156644992494,r1:1,r0:2);","[(['r0'], ['r4'], 0.5, {}, '0.0705')]",['r0'],['r4'],0.5,0.7427185748315001,0.0705,"(['r0'], ['r4'], 0.7427185748315001, {'stroke': array((0.27968627, 0.62658824, 0.70258824, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.141, 'stroke-width': 2})"
7,snaq-true-gt-unlinked-imb-23-snaq-p548876.snaq.net-1.networks,"(r1:1,((r3:1,(r4:1,((r6:1,r7:1):0.129074060681,r5:1.06783079845):0.0213465585308):0.00940269520455):0.181018750445,r2:2):0.0928245009675,r0:1);","[(['r2'], ['r5'], 0.5, {}, '0.218')]",['r2'],['r5'],0.5,0.5107968438580481,0.218,"(['r2'], ['r5'], 0.5107968438580481, {'stroke': array((0.9372549, 0.97490196, 0.65113725, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.436, 'stroke-width': 2})"
8,snaq-true-gt-unlinked-imb-55-snaq-p548876.snaq.net-1.networks,"(r5:1,((r6:1,r7:1.95374129154):0.152289436589,(r3:1,(r2:1,(r0:1,r1:1):0.155798067416):0.13580253858):0.00669935369924):0.00408571729111,r4:1);","[(['r3', 'r2', 'r0', 'r1'], ['r7'], 0.5, {}, '0.0142')]","['r3', 'r2', 'r0', 'r1']",['r7'],0.5,0.7697669745968948,0.0142,"(['r3', 'r2', 'r0', 'r1'], ['r7'], 0.7697669745968948, {'stroke': array((0.31962353, 0.37328627, 0.66536471, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0284, 'stroke-width': 2})"
9,snaq-true-gt-unlinked-imb-65-snaq-p548876.snaq.net-1.networks,"((r2:1,((r4:1,(r5:1,(r6:1,r7:1):0.136160486122):0.00288074170544):0,r3:2):0.148408117009):0.151873270127,r0:1,r1:1.11912466215);","[(['r3'], ['r1'], 0.5, {}, '0.0518')]",['r3'],['r1'],0.5,0.6284559362394261,0.0518,"(['r3'], ['r1'], 0.6284559362394261, {'stroke': array((0.20341961, 0.54152157, 0.73778824, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1036, 'stroke-width': 2})"
