,net,trees,admix,src_node,dest_node,pos_as_prop,pos_as_prop_rand,gamma,plot_admix
0,snaq-true-ne-unlinked-imb-67-snaq-p548876.snaq.net-1.networks,"(r1:1,((r3:1,((r5:1,r4:1):0.0124088740249,(r6:1,r7:9.54491555593):0.143268627645):0.0126415350532):0.146988870968,r2:2):0.154722103491,r0:1);","[(['r2'], ['r7'], 0.5, {}, '0.00868')]",['r2'],['r7'],0.5,0.523985121305258,0.00868,"(['r2'], ['r7'], 0.523985121305258, {'stroke': array((0.33867294, 0.34860863, 0.65367529, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.01736, 'stroke-width': 2})"
1,snaq-true-ne-unlinked-imb-81-snaq-p548876.snaq.net-1.networks,"((r2:1,(r3:1,((r5:1,(r6:1,r7:1):0.13105126052):0.0095654707601,r4:1.14017013168):0.0177790862719):0.14436901823):0.164834794639,r0:1,r1:2);","[(['r1'], ['r4'], 0.5, {}, '0.0469')]",['r1'],['r4'],0.5,0.30092794793926536,0.0469,"(['r1'], ['r4'], 0.30092794793926536, {'stroke': array((0.20677647, 0.51947451, 0.73461176, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0938, 'stroke-width': 2})"
2,snaq-true-ne-unlinked-imb-15-snaq-p548876.snaq.net-1.networks,"((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1):1.13220099963):0.00428727023664):0.0102712191834):0.139171466499):0.162806169699,r0:1,r1:1.12037567518);","[(['r6', 'r7'], ['r1'], 0.5, {}, '0.0228')]","['r6', 'r7']",['r1'],0.5,0.7989255175086858,0.0228,"(['r6', 'r7'], ['r1'], 0.7989255175086858, {'stroke': array((0.2899451, 0.41173333, 0.68357647, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0456, 'stroke-width': 2})"
3,snaq-true-ne-unlinked-imb-46-snaq-p548876.snaq.net-1.networks,"((r2:1,(r3:1,((r5:1,r4:1):0.00741660978876,(r7:1,r6:5.6939159634):0.145549246524):0.0128670636093):0.131449605606):0.151299791216,r0:1,r1:2);","[(['r1'], ['r6'], 0.5, {}, '0.00438')]",['r1'],['r6'],0.5,0.707175407233885,0.00438,"(['r1'], ['r6'], 0.707175407233885, {'stroke': array((0.35351216, 0.3293851, 0.64456941, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.00876, 'stroke-width': 2})"
4,snaq-true-ne-unlinked-imb-73-snaq-p548876.snaq.net-1.networks,"(r1:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1):0.153316520233):0.00773371090067):0.0135399534842):0.14863959572,r2:1.18268098778):0.140875757068,r0:1);","[(['r6', 'r7'], ['r2'], 0.5, {}, '0.0464')]","['r6', 'r7']",['r2'],0.5,0.19071697049644099,0.0464,"(['r6', 'r7'], ['r2'], 0.19071697049644099, {'stroke': array((0.20850196, 0.51723922, 0.73355294, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.0928, 'stroke-width': 2})"
5,snaq-true-ne-unlinked-imb-59-snaq-p548876.snaq.net-1.networks,"((r5:1,(r7:1,r6:1.01539887128):0.167307623358):0.0201691333671,r4:1,(r3:1,(r2:1,(r0:1,r1:1):0.127684309613):0.127003284889):0.0235185027616);","[(['r3', 'r2', 'r0', 'r1'], ['r6'], 0.5, {}, '0.093')]","['r3', 'r2', 'r0', 'r1']",['r6'],0.5,0.4926075918523938,0.093,"(['r3', 'r2', 'r0', 'r1'], ['r6'], 0.4926075918523938, {'stroke': array((0.37145098, 0.72894118, 0.66023529, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.186, 'stroke-width': 2})"
6,snaq-true-ne-unlinked-imb-40-snaq-p548876.snaq.net-1.networks,"(r1:1,(r2:1,((r4:1,r5:1.02316957861):0.0310319806791,(r3:1,(r7:1,r6:1):0.304085143409):0.0121100347756):0.137100619984):0.158648482446,r0:1);","[(['r7', 'r6'], ['r5'], 0.5, {}, '0.4')]","['r7', 'r6']",['r5'],0.5,0.5491789850041613,0.4,"(['r7', 'r6'], ['r5'], 0.5491789850041613, {'stroke': array((0.95686275, 0.42745098, 0.2627451, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.8, 'stroke-width': 2})"
7,snaq-true-ne-unlinked-imb-72-snaq-p548876.snaq.net-1.networks,"(r1:1,((r3:1,(r5:1,(r4:1,(r7:1,r6:1.967723819):0.164892700677):0.000537511458403):0.00572301419689):0.163471416211,r2:2):0.140897876055,r0:1);","[(['r2'], ['r6'], 0.5, {}, '0.013')]",['r2'],['r6'],0.5,0.8902020518316391,0.013,"(['r2'], ['r6'], 0.8902020518316391, {'stroke': array((0.32376471, 0.36792157, 0.66282353, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.026, 'stroke-width': 2})"
8,snaq-true-ne-unlinked-imb-33-snaq-p548876.snaq.net-1.networks,"((r5:1,(r7:1,r6:1.00725500289):0.15918799911):0.0207187337059,r3:1,(r4:1,(r2:1,(r0:1,r1:1):0.152604170194):0.134530148549):0.00196305317047);","[(['r4', 'r2', 'r0', 'r1'], ['r6'], 0.5, {}, '0.0988')]","['r4', 'r2', 'r0', 'r1']",['r6'],0.5,0.8028387551680876,0.0988,"(['r4', 'r2', 'r0', 'r1'], ['r6'], 0.8028387551680876, {'stroke': array((0.39510588, 0.75532549, 0.64931765, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1976, 'stroke-width': 2})"
9,snaq-true-ne-unlinked-imb-37-snaq-p548876.snaq.net-1.networks,"(r1:1,((r4:1,((r5:1,r3:2):0.00182117720236,(r6:1,r7:1):0.135946133517):0.00716004563606):0.14748668716,r2:1.12690704477):0.143354068417,r0:1);","[(['r3'], ['r2'], 0.5, {}, '0.0782')]",['r3'],['r2'],0.5,0.5009028203809431,0.0782,"(['r3'], ['r2'], 0.5009028203809431, {'stroke': array((0.3110902, 0.66161569, 0.68809412, 1.),
      dtype=[('r', '<f8'), ('g', '<f8'), ('b', '<f8'), ('a', '<f8')]), 'stroke-opacity': 0.1564, 'stroke-width': 2})"
