qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.3593252181323417,0.32436593939746083,0.31630884247019747,103263.0
2,r0,r1,r2,r4,0.3572044197824971,0.32641894967219626,0.3163766305453066,103263.0
3,r0,r1,r3,r4,0.3857625674249247,0.3084841618004513,0.305753270774624,103263.0
4,r0,r2,r3,r4,0.36289861809166885,0.3155341216118068,0.3215672602965244,103263.0
5,r1,r2,r3,r4,0.35809534876964644,0.31260955037138183,0.32929510085897173,103263.0
6,r0,r1,r2,r5,0.3588507016065774,0.3270096743267192,0.3141396240667035,103263.0
7,r0,r1,r3,r5,0.3872345370558671,0.30929761870176153,0.30346784424237144,103263.0
8,r0,r2,r3,r5,0.36961932153820826,0.3188654213028868,0.31151525715890493,103263.0
9,r1,r2,r3,r5,0.3597900506473761,0.31780986413332946,0.3224000852192944,103263.0
10,r0,r1,r4,r5,0.3805138336093276,0.3086584739935892,0.3108276923970832,103263.0
11,r0,r2,r4,r5,0.36302451023115734,0.3227293415841105,0.3142461481847322,103263.0
12,r1,r2,r4,r5,0.3538924881128768,0.32739703475591453,0.31871047713120865,103263.0
13,r0,r3,r4,r5,0.3288980564190465,0.3395601522326487,0.3315417913483048,103263.0
14,r1,r3,r4,r5,0.32644800170438587,0.3419230508507403,0.33162894744487376,103263.0
15,r2,r3,r4,r5,0.33267482060370124,0.3341371062239137,0.3331880731723851,103263.0
16,r0,r1,r2,r6,0.3581825048662154,0.3236686906249092,0.3181488045088754,103263.0
17,r0,r1,r3,r6,0.3888033467941083,0.3080483813176065,0.30314827188828525,103263.0
18,r0,r2,r3,r6,0.3674307351132545,0.31452698449589883,0.3180422803908467,103263.0
19,r1,r2,r3,r6,0.3625015736517436,0.31564064572983547,0.3218577806184209,103263.0
20,r0,r1,r4,r6,0.3834190368282928,0.3046299255299575,0.3119510376417497,103263.0
21,r0,r2,r4,r6,0.36337313461743315,0.3222741930798059,0.3143526723027609,103263.0
