qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.3427114087791653,0.32786885245901637,0.32941973876181835,87047.0
2,r0,r1,r2,r4,0.3339690052500373,0.33809321401082176,0.3279377807391409,87047.0
3,r0,r1,r3,r4,0.37398187186232723,0.31588681976403554,0.3101313083736372,87047.0
4,r0,r2,r3,r4,0.3720174158787781,0.30989005939320136,0.3180925247280205,87047.0
5,r1,r2,r3,r4,0.3666065458890025,0.31003940400013785,0.32335405011085966,87047.0
6,r0,r1,r2,r5,0.3514997644950429,0.33069491194412215,0.31780532356083496,87047.0
7,r0,r1,r3,r5,0.38064493894103185,0.3139568279205487,0.30539823313841946,87047.0
8,r0,r2,r3,r5,0.3662848805817547,0.32651326294990063,0.3072018564683447,87047.0
9,r1,r2,r3,r5,0.3618160304203476,0.3255023148414075,0.31268165473824483,87047.0
10,r0,r1,r4,r5,0.38465426723494206,0.311705170769814,0.303640561995244,87047.0
11,r0,r2,r4,r5,0.38265534711133065,0.3242730938458534,0.29307155904281595,87047.0
12,r1,r2,r4,r5,0.3730743161740209,0.32825944604638874,0.29866623777959034,87047.0
13,r0,r3,r4,r5,0.339299458913001,0.3365423277080198,0.32415821337897915,87047.0
14,r1,r3,r4,r5,0.340333383114869,0.3300171171895643,0.3296494996955668,87047.0
15,r2,r3,r4,r5,0.33957517203349913,0.32124024952037405,0.3391845784461268,87047.0
16,r0,r1,r2,r6,0.35055774466667433,0.33332567463554175,0.316116580697784,87047.0
17,r0,r1,r3,r6,0.38353992670626214,0.3135087940997392,0.30295127919399867,87047.0
18,r0,r2,r3,r6,0.3706388502762875,0.32044757429894194,0.30891357542477055,87047.0
19,r1,r2,r3,r6,0.36273507415534134,0.3243305340792905,0.31293439176536814,87047.0
20,r0,r1,r4,r6,0.38936436637678495,0.3110158879685687,0.29961974565464633,87047.0
21,r0,r2,r4,r6,0.3882270497547302,0.3218835801348697,0.2898893701104001,87047.0
22,r1,r2,r4,r6,0.37910554068491736,0.32620308568934026,0.29469137362574244,87047.0
23,r0,r3,r4,r6,0.34137879536342436,0.3343366227440348,0.32428458189254084,87047.0
24,r1,r3,r4,r6,0.34196468574448285,0.3297988443025032,0.32823646995301387,87047.0
25,r2,r3,r4,r6,0.3459050857582685,0.31834526175514377,0.3357496524865877,87047.0
26,r0,r1,r5,r6,0.4224729169299344,0.289613656989902,0.28791342608016357,87047.0
27,r0,r2,r5,r6,0.41358116879386997,0.29134835203970266,0.2950704791664273,87047.0
28,r1,r2,r5,r6,0.4049421576849288,0.2907739497053316,0.3042838926097396,87047.0
29,r0,r3,r5,r6,0.3817707675163992,0.31060231828782153,0.3076269141957793,87047.0
30,r1,r3,r5,r6,0.3831608211655772,0.3094190494790171,0.3074201293554057,87047.0
31,r2,r3,r5,r6,0.37069629050972464,0.32102197663331306,0.3082817328569623,87047.0
32,r0,r4,r5,r6,0.3787608992842947,0.31209576435718633,0.309143336358519,87047.0
33,r1,r4,r5,r6,0.3734763978080807,0.3146231346284191,0.3119004675635002,87047.0
34,r2,r4,r5,r6,0.3522694636231002,0.3295116431353177,0.31821889324158215,87047.0
35,r3,r4,r5,r6,0.3698806391949177,0.31472652704860593,0.31539283375647637,87047.0
36,r0,r1,r2,r7,0.3507989936471102,0.33032729445012465,0.3188737119027652,87047.0
37,r0,r1,r3,r7,0.38217284915045896,0.31889668799614,0.298930462853401,87047.0
38,r0,r2,r3,r7,0.3615288292531621,0.3229404804301125,0.3155306903167254,87047.0
39,r1,r2,r3,r7,0.36552666950038487,0.3154617620366009,0.31901156846301426,87047.0
40,r0,r1,r4,r7,0.3893299022367227,0.30775328270934094,0.30291681505393636,87047.0
41,r0,r2,r4,r7,0.38459682700150494,0.31625443725803304,0.299148735740462,87047.0
42,r1,r2,r4,r7,0.3745907383367606,0.32150447459418474,0.30390478706905466,87047.0
43,r0,r3,r4,r7,0.3444116396889037,0.33192413293967626,0.32366422737142003,87047.0
44,r1,r3,r4,r7,0.3418727813709835,0.33217686996679957,0.32595034866221695,87047.0
45,r2,r3,r4,r7,0.3469390099601365,0.3247441037600377,0.32831688627982586,87047.0
46,r0,r1,r5,r7,0.42334600847817844,0.29216400335450965,0.2844899881673119,87047.0
47,r0,r2,r5,r7,0.4122600434248165,0.2871781910921686,0.30056176548301494,87047.0
48,r1,r2,r5,r7,0.40768780084322265,0.2857881374429906,0.3065240617137868,87047.0
49,r0,r3,r5,r7,0.3854469424563741,0.30798304364308937,0.3065700139005365,87047.0
50,r1,r3,r5,r7,0.37801417624961225,0.3085344698840856,0.31345135386630213,87047.0
51,r2,r3,r5,r7,0.3737521109285788,0.31975829149769663,0.3064895975737245,87047.0
52,r0,r4,r5,r7,0.3748664514572587,0.312440405757809,0.31269314278493227,87047.0
53,r1,r4,r5,r7,0.3726262823532115,0.30997047572001335,0.3174032419267752,87047.0
54,r2,r4,r5,r7,0.35739313244569026,0.3299367008627523,0.31267016669155745,87047.0
55,r3,r4,r5,r7,0.3707767068365366,0.31664503084540535,0.3125782623180581,87047.0
