qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.367,0.3135,0.3195,2000.0
2,r0,r1,r2,r4,0.3635,0.326,0.3105,2000.0
3,r0,r1,r3,r4,0.384,0.319,0.297,2000.0
4,r0,r2,r3,r4,0.3555,0.327,0.3175,2000.0
5,r1,r2,r3,r4,0.355,0.3165,0.3285,2000.0
6,r0,r1,r2,r5,0.3515,0.331,0.3175,2000.0
7,r0,r1,r3,r5,0.3705,0.3255,0.304,2000.0
8,r0,r2,r3,r5,0.346,0.315,0.339,2000.0
9,r1,r2,r3,r5,0.346,0.3035,0.3505,2000.0
10,r0,r1,r4,r5,0.3975,0.3035,0.299,2000.0
11,r0,r2,r4,r5,0.37,0.3085,0.3215,2000.0
12,r1,r2,r4,r5,0.3785,0.3025,0.319,2000.0
13,r0,r3,r4,r5,0.36,0.3155,0.3245,2000.0
14,r1,r3,r4,r5,0.356,0.321,0.323,2000.0
15,r2,r3,r4,r5,0.388,0.3055,0.3065,2000.0
16,r0,r1,r2,r6,0.3645,0.312,0.3235,2000.0
17,r0,r1,r3,r6,0.3695,0.3145,0.316,2000.0
18,r0,r2,r3,r6,0.3435,0.3175,0.339,2000.0
19,r1,r2,r3,r6,0.341,0.3265,0.3325,2000.0
20,r0,r1,r4,r6,0.394,0.296,0.31,2000.0
21,r0,r2,r4,r6,0.364,0.3215,0.3145,2000.0
22,r1,r2,r4,r6,0.38,0.322,0.298,2000.0
23,r0,r3,r4,r6,0.3585,0.3115,0.33,2000.0
24,r1,r3,r4,r6,0.3645,0.318,0.3175,2000.0
25,r2,r3,r4,r6,0.373,0.31,0.317,2000.0
26,r0,r1,r5,r6,0.4115,0.283,0.3055,2000.0
27,r0,r2,r5,r6,0.379,0.3165,0.3045,2000.0
28,r1,r2,r5,r6,0.381,0.321,0.298,2000.0
29,r0,r3,r5,r6,0.3835,0.302,0.3145,2000.0
30,r1,r3,r5,r6,0.374,0.317,0.309,2000.0
31,r2,r3,r5,r6,0.3925,0.301,0.3065,2000.0
32,r0,r4,r5,r6,0.357,0.309,0.334,2000.0
33,r1,r4,r5,r6,0.357,0.329,0.314,2000.0
34,r2,r4,r5,r6,0.353,0.3165,0.3305,2000.0
35,r3,r4,r5,r6,0.3515,0.32,0.3285,2000.0
36,r0,r1,r2,r7,0.3635,0.3235,0.313,2000.0
37,r0,r1,r3,r7,0.3845,0.315,0.3005,2000.0
38,r0,r2,r3,r7,0.348,0.3345,0.3175,2000.0
39,r1,r2,r3,r7,0.3585,0.3145,0.327,2000.0
40,r0,r1,r4,r7,0.4035,0.2925,0.304,2000.0
41,r0,r2,r4,r7,0.37,0.3235,0.3065,2000.0
42,r1,r2,r4,r7,0.365,0.324,0.311,2000.0
43,r0,r3,r4,r7,0.354,0.3175,0.3285,2000.0
44,r1,r3,r4,r7,0.343,0.3295,0.3275,2000.0
45,r2,r3,r4,r7,0.357,0.3195,0.3235,2000.0
46,r0,r1,r5,r7,0.4295,0.2915,0.279,2000.0
47,r0,r2,r5,r7,0.3955,0.323,0.2815,2000.0
48,r1,r2,r5,r7,0.394,0.3175,0.2885,2000.0
49,r0,r3,r5,r7,0.3785,0.318,0.3035,2000.0
50,r1,r3,r5,r7,0.3755,0.324,0.3005,2000.0
51,r2,r3,r5,r7,0.394,0.298,0.308,2000.0
52,r0,r4,r5,r7,0.3565,0.3215,0.322,2000.0
53,r1,r4,r5,r7,0.3675,0.31,0.3225,2000.0
54,r2,r4,r5,r7,0.355,0.306,0.339,2000.0
55,r3,r4,r5,r7,0.3645,0.3085,0.327,2000.0
56,r0,r1,r6,r7,0.4275,0.2895,0.283,2000.0
57,r0,r2,r6,r7,0.4015,0.3,0.2985,2000.0
58,r1,r2,r6,r7,0.4065,0.2955,0.298,2000.0
59,r0,r3,r6,r7,0.395,0.311,0.294,2000.0
60,r1,r3,r6,r7,0.3925,0.3125,0.295,2000.0
61,r2,r3,r6,r7,0.3855,0.323,0.2915,2000.0
62,r0,r4,r6,r7,0.377,0.3125,0.3105,2000.0
63,r1,r4,r6,r7,0.3775,0.299,0.3235,2000.0
64,r2,r4,r6,r7,0.3585,0.3125,0.329,2000.0
65,r3,r4,r6,r7,0.37,0.3,0.33,2000.0
66,r0,r5,r6,r7,0.35,0.338,0.312,2000.0
67,r1,r5,r6,r7,0.358,0.328,0.314,2000.0
68,r2,r5,r6,r7,0.338,0.34,0.322,2000.0
69,r3,r5,r6,r7,0.349,0.3285,0.3225,2000.0
70,r4,r5,r6,r7,0.353,0.335,0.312,2000.0
