qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.41,0.33,0.26,100.0
2,r0,r1,r2,r4,0.36,0.39,0.25,100.0
3,r0,r1,r3,r4,0.38,0.31,0.31,100.0
4,r0,r2,r3,r4,0.35,0.24,0.41,100.0
5,r1,r2,r3,r4,0.31,0.31,0.38,100.0
6,r0,r1,r2,r5,0.35,0.32,0.33,100.0
7,r0,r1,r3,r5,0.4,0.26,0.34,100.0
8,r0,r2,r3,r5,0.36,0.24,0.4,100.0
9,r1,r2,r3,r5,0.33,0.3,0.37,100.0
10,r0,r1,r4,r5,0.33,0.32,0.35,100.0
11,r0,r2,r4,r5,0.32,0.34,0.34,100.0
12,r1,r2,r4,r5,0.32,0.37,0.31,100.0
13,r0,r3,r4,r5,0.24,0.39,0.37,100.0
14,r1,r3,r4,r5,0.32,0.37,0.31,100.0
15,r2,r3,r4,r5,0.36,0.32,0.32,100.0
16,r0,r1,r2,r6,0.42,0.32,0.26,100.0
17,r0,r1,r3,r6,0.38,0.32,0.3,100.0
18,r0,r2,r3,r6,0.33,0.31,0.36,100.0
19,r1,r2,r3,r6,0.27,0.37,0.36,100.0
20,r0,r1,r4,r6,0.4,0.3,0.3,100.0
21,r0,r2,r4,r6,0.3,0.41,0.29,100.0
22,r1,r2,r4,r6,0.28,0.38,0.34,100.0
23,r0,r3,r4,r6,0.31,0.37,0.32,100.0
24,r1,r3,r4,r6,0.35,0.3,0.35,100.0
25,r2,r3,r4,r6,0.32,0.32,0.36,100.0
26,r0,r1,r5,r6,0.34,0.36,0.3,100.0
27,r0,r2,r5,r6,0.28,0.38,0.34,100.0
28,r1,r2,r5,r6,0.3,0.33,0.37,100.0
29,r0,r3,r5,r6,0.28,0.35,0.37,100.0
30,r1,r3,r5,r6,0.3,0.3,0.4,100.0
31,r2,r3,r5,r6,0.35,0.26,0.39,100.0
32,r0,r4,r5,r6,0.36,0.33,0.31,100.0
33,r1,r4,r5,r6,0.35,0.32,0.33,100.0
34,r2,r4,r5,r6,0.33,0.28,0.39,100.0
35,r3,r4,r5,r6,0.33,0.34,0.33,100.0
36,r0,r1,r2,r7,0.38,0.29,0.33,100.0
37,r0,r1,r3,r7,0.41,0.25,0.34,100.0
38,r0,r2,r3,r7,0.36,0.29,0.35,100.0
39,r1,r2,r3,r7,0.3,0.37,0.33,100.0
40,r0,r1,r4,r7,0.38,0.32,0.3,100.0
41,r0,r2,r4,r7,0.31,0.35,0.34,100.0
42,r1,r2,r4,r7,0.33,0.36,0.31,100.0
43,r0,r3,r4,r7,0.27,0.4,0.33,100.0
44,r1,r3,r4,r7,0.31,0.37,0.32,100.0
45,r2,r3,r4,r7,0.38,0.32,0.3,100.0
46,r0,r1,r5,r7,0.4,0.28,0.32,100.0
47,r0,r2,r5,r7,0.32,0.35,0.33,100.0
48,r1,r2,r5,r7,0.31,0.39,0.3,100.0
49,r0,r3,r5,r7,0.26,0.34,0.4,100.0
50,r1,r3,r5,r7,0.29,0.34,0.37,100.0
51,r2,r3,r5,r7,0.33,0.27,0.4,100.0
52,r0,r4,r5,r7,0.31,0.32,0.37,100.0
53,r1,r4,r5,r7,0.35,0.36,0.29,100.0
54,r2,r4,r5,r7,0.3,0.35,0.35,100.0
55,r3,r4,r5,r7,0.3,0.38,0.32,100.0
56,r0,r1,r6,r7,0.44,0.25,0.31,100.0
57,r0,r2,r6,r7,0.39,0.28,0.33,100.0
58,r1,r2,r6,r7,0.38,0.34,0.28,100.0
59,r0,r3,r6,r7,0.38,0.29,0.33,100.0
60,r1,r3,r6,r7,0.39,0.35,0.26,100.0
61,r2,r3,r6,r7,0.4,0.3,0.3,100.0
62,r0,r4,r6,r7,0.42,0.27,0.31,100.0
63,r1,r4,r6,r7,0.35,0.36,0.29,100.0
64,r2,r4,r6,r7,0.38,0.35,0.27,100.0
65,r3,r4,r6,r7,0.34,0.34,0.32,100.0
66,r0,r5,r6,r7,0.39,0.31,0.3,100.0
67,r1,r5,r6,r7,0.36,0.35,0.29,100.0
68,r2,r5,r6,r7,0.4,0.29,0.31,100.0
69,r3,r5,r6,r7,0.48,0.25,0.27,100.0
70,r4,r5,r6,r7,0.37,0.29,0.34,100.0
