qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.3445,0.3225,0.333,2000.0
2,r0,r1,r2,r4,0.3525,0.3215,0.326,2000.0
3,r0,r1,r3,r4,0.365,0.3065,0.3285,2000.0
4,r0,r2,r3,r4,0.346,0.323,0.331,2000.0
5,r1,r2,r3,r4,0.349,0.322,0.329,2000.0
6,r0,r1,r2,r5,0.359,0.3325,0.3085,2000.0
7,r0,r1,r3,r5,0.372,0.3035,0.3245,2000.0
8,r0,r2,r3,r5,0.3635,0.321,0.3155,2000.0
9,r1,r2,r3,r5,0.3445,0.3275,0.328,2000.0
10,r0,r1,r4,r5,0.379,0.318,0.303,2000.0
11,r0,r2,r4,r5,0.3625,0.3245,0.313,2000.0
12,r1,r2,r4,r5,0.3535,0.323,0.3235,2000.0
13,r0,r3,r4,r5,0.3445,0.3335,0.322,2000.0
14,r1,r3,r4,r5,0.35,0.335,0.315,2000.0
15,r2,r3,r4,r5,0.337,0.333,0.33,2000.0
16,r0,r1,r2,r6,0.356,0.329,0.315,2000.0
17,r0,r1,r3,r6,0.372,0.307,0.321,2000.0
18,r0,r2,r3,r6,0.3645,0.309,0.3265,2000.0
19,r1,r2,r3,r6,0.351,0.32,0.329,2000.0
20,r0,r1,r4,r6,0.3855,0.304,0.3105,2000.0
21,r0,r2,r4,r6,0.3575,0.311,0.3315,2000.0
22,r1,r2,r4,r6,0.3605,0.313,0.3265,2000.0
23,r0,r3,r4,r6,0.346,0.3235,0.3305,2000.0
24,r1,r3,r4,r6,0.351,0.3275,0.3215,2000.0
25,r2,r3,r4,r6,0.348,0.334,0.318,2000.0
26,r0,r1,r5,r6,0.384,0.307,0.309,2000.0
27,r0,r2,r5,r6,0.3675,0.3015,0.331,2000.0
28,r1,r2,r5,r6,0.352,0.3165,0.3315,2000.0
29,r0,r3,r5,r6,0.3435,0.3245,0.332,2000.0
30,r1,r3,r5,r6,0.346,0.3225,0.3315,2000.0
31,r2,r3,r5,r6,0.3445,0.331,0.3245,2000.0
32,r0,r4,r5,r6,0.337,0.3265,0.3365,2000.0
33,r1,r4,r5,r6,0.3405,0.321,0.3385,2000.0
34,r2,r4,r5,r6,0.3315,0.3445,0.324,2000.0
35,r3,r4,r5,r6,0.325,0.345,0.33,2000.0
36,r0,r1,r2,r7,0.3525,0.3205,0.327,2000.0
37,r0,r1,r3,r7,0.373,0.31,0.317,2000.0
38,r0,r2,r3,r7,0.361,0.308,0.331,2000.0
39,r1,r2,r3,r7,0.3515,0.319,0.3295,2000.0
40,r0,r1,r4,r7,0.388,0.3145,0.2975,2000.0
41,r0,r2,r4,r7,0.3695,0.314,0.3165,2000.0
42,r1,r2,r4,r7,0.377,0.312,0.311,2000.0
43,r0,r3,r4,r7,0.346,0.3325,0.3215,2000.0
44,r1,r3,r4,r7,0.3455,0.328,0.3265,2000.0
45,r2,r3,r4,r7,0.3555,0.329,0.3155,2000.0
46,r0,r1,r5,r7,0.3875,0.308,0.3045,2000.0
47,r0,r2,r5,r7,0.3705,0.3065,0.323,2000.0
48,r1,r2,r5,r7,0.366,0.303,0.331,2000.0
49,r0,r3,r5,r7,0.342,0.325,0.333,2000.0
50,r1,r3,r5,r7,0.346,0.3215,0.3325,2000.0
51,r2,r3,r5,r7,0.3435,0.331,0.3255,2000.0
52,r0,r4,r5,r7,0.3265,0.329,0.3445,2000.0
53,r1,r4,r5,r7,0.3175,0.3365,0.346,2000.0
54,r2,r4,r5,r7,0.3315,0.3345,0.334,2000.0
55,r3,r4,r5,r7,0.3155,0.345,0.3395,2000.0
56,r0,r1,r6,r7,0.378,0.311,0.311,2000.0
57,r0,r2,r6,r7,0.3585,0.3195,0.322,2000.0
58,r1,r2,r6,r7,0.3525,0.325,0.3225,2000.0
59,r0,r3,r6,r7,0.3315,0.3365,0.332,2000.0
60,r1,r3,r6,r7,0.327,0.337,0.336,2000.0
61,r2,r3,r6,r7,0.333,0.3305,0.3365,2000.0
62,r0,r4,r6,r7,0.3105,0.361,0.3285,2000.0
63,r1,r4,r6,r7,0.3155,0.3425,0.342,2000.0
64,r2,r4,r6,r7,0.323,0.3515,0.3255,2000.0
65,r3,r4,r6,r7,0.3135,0.3445,0.342,2000.0
66,r0,r5,r6,r7,0.315,0.3445,0.3405,2000.0
67,r1,r5,r6,r7,0.3115,0.343,0.3455,2000.0
68,r2,r5,r6,r7,0.3285,0.3335,0.338,2000.0
69,r3,r5,r6,r7,0.325,0.3385,0.3365,2000.0
70,r4,r5,r6,r7,0.326,0.329,0.345,2000.0
