qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.3525,0.3205,0.327,2000.0
2,r0,r1,r2,r4,0.3445,0.326,0.3295,2000.0
3,r0,r1,r3,r4,0.368,0.313,0.319,2000.0
4,r0,r2,r3,r4,0.3585,0.3205,0.321,2000.0
5,r1,r2,r3,r4,0.362,0.312,0.326,2000.0
6,r0,r1,r2,r5,0.3615,0.315,0.3235,2000.0
7,r0,r1,r3,r5,0.3815,0.305,0.3135,2000.0
8,r0,r2,r3,r5,0.361,0.328,0.311,2000.0
9,r1,r2,r3,r5,0.369,0.3265,0.3045,2000.0
10,r0,r1,r4,r5,0.4095,0.291,0.2995,2000.0
11,r0,r2,r4,r5,0.393,0.3125,0.2945,2000.0
12,r1,r2,r4,r5,0.4,0.31,0.29,2000.0
13,r0,r3,r4,r5,0.368,0.3345,0.2975,2000.0
14,r1,r3,r4,r5,0.3565,0.338,0.3055,2000.0
15,r2,r3,r4,r5,0.3665,0.3155,0.318,2000.0
16,r0,r1,r2,r6,0.3445,0.328,0.3275,2000.0
17,r0,r1,r3,r6,0.404,0.306,0.29,2000.0
18,r0,r2,r3,r6,0.374,0.315,0.311,2000.0
19,r1,r2,r3,r6,0.3795,0.304,0.3165,2000.0
20,r0,r1,r4,r6,0.4095,0.295,0.2955,2000.0
21,r0,r2,r4,r6,0.3965,0.307,0.2965,2000.0
22,r1,r2,r4,r6,0.395,0.3025,0.3025,2000.0
23,r0,r3,r4,r6,0.3675,0.3355,0.297,2000.0
24,r1,r3,r4,r6,0.3435,0.346,0.3105,2000.0
25,r2,r3,r4,r6,0.3575,0.333,0.3095,2000.0
26,r0,r1,r5,r6,0.4365,0.2845,0.279,2000.0
27,r0,r2,r5,r6,0.4085,0.29,0.3015,2000.0
28,r1,r2,r5,r6,0.4165,0.2825,0.301,2000.0
29,r0,r3,r5,r6,0.3905,0.317,0.2925,2000.0
30,r1,r3,r5,r6,0.374,0.319,0.307,2000.0
31,r2,r3,r5,r6,0.382,0.325,0.293,2000.0
32,r0,r4,r5,r6,0.358,0.3215,0.3205,2000.0
33,r1,r4,r5,r6,0.359,0.3155,0.3255,2000.0
34,r2,r4,r5,r6,0.346,0.337,0.317,2000.0
35,r3,r4,r5,r6,0.341,0.3215,0.3375,2000.0
36,r0,r1,r2,r7,0.361,0.3165,0.3225,2000.0
37,r0,r1,r3,r7,0.39,0.309,0.301,2000.0
38,r0,r2,r3,r7,0.352,0.329,0.319,2000.0
39,r1,r2,r3,r7,0.3595,0.3245,0.316,2000.0
40,r0,r1,r4,r7,0.4065,0.2925,0.301,2000.0
41,r0,r2,r4,r7,0.3845,0.309,0.3065,2000.0
42,r1,r2,r4,r7,0.3855,0.3115,0.303,2000.0
43,r0,r3,r4,r7,0.3655,0.3265,0.308,2000.0
44,r1,r3,r4,r7,0.347,0.3335,0.3195,2000.0
45,r2,r3,r4,r7,0.356,0.324,0.32,2000.0
46,r0,r1,r5,r7,0.427,0.293,0.28,2000.0
47,r0,r2,r5,r7,0.394,0.306,0.3,2000.0
48,r1,r2,r5,r7,0.3975,0.296,0.3065,2000.0
49,r0,r3,r5,r7,0.374,0.31,0.316,2000.0
50,r1,r3,r5,r7,0.3655,0.304,0.3305,2000.0
51,r2,r3,r5,r7,0.3745,0.3085,0.317,2000.0
52,r0,r4,r5,r7,0.3505,0.3165,0.333,2000.0
53,r1,r4,r5,r7,0.3545,0.3065,0.339,2000.0
54,r2,r4,r5,r7,0.345,0.3235,0.3315,2000.0
55,r3,r4,r5,r7,0.343,0.3275,0.3295,2000.0
56,r0,r1,r6,r7,0.451,0.283,0.266,2000.0
57,r0,r2,r6,r7,0.425,0.292,0.283,2000.0
58,r1,r2,r6,r7,0.4275,0.294,0.2785,2000.0
59,r0,r3,r6,r7,0.4015,0.2815,0.317,2000.0
60,r1,r3,r6,r7,0.393,0.283,0.324,2000.0
61,r2,r3,r6,r7,0.3985,0.274,0.3275,2000.0
62,r0,r4,r6,r7,0.371,0.3025,0.3265,2000.0
63,r1,r4,r6,r7,0.378,0.2955,0.3265,2000.0
64,r2,r4,r6,r7,0.3725,0.2955,0.332,2000.0
65,r3,r4,r6,r7,0.367,0.3205,0.3125,2000.0
66,r0,r5,r6,r7,0.3655,0.306,0.3285,2000.0
67,r1,r5,r6,r7,0.355,0.302,0.343,2000.0
68,r2,r5,r6,r7,0.3645,0.3085,0.327,2000.0
69,r3,r5,r6,r7,0.3585,0.3255,0.316,2000.0
70,r4,r5,r6,r7,0.367,0.3265,0.3065,2000.0
