,locus,start,end,nbps,nsnps,gene_tree
0,0,0,100000,100000,7387,"(((r6:0.010146,(r2:0.009678,(r0:0.015125,r7:0.014822):0.00425):0.004356):0.002201,r3:0.010517):0.001682,(r4:0.014768,r5:0.015199):0.00361,r1:0.014719);"
1,1,0,100000,100000,7986,"(r0:0.014945,r1:0.015557,((((r5:0.015268,r4:0.013579):0.00456,r6:0.013005):0.005594,r3:0.01353):0.003573,(r7:0.010438,r2:0.008051):0.003379):0.006095);"
2,2,0,100000,100000,7811,"(r1:0.018632,(((r4:0.014905,r5:0.011795):0.006043,r2:0.008928):0.001827,(r7:0.011187,r6:0.012458):0.001513):0.002968,(r0:0.017325,r3:0.010812):0.004431);"
3,3,0,100000,100000,7768,"((r7:0.011373,r6:0.012536):0.005303,(r2:0.011201,(r1:0.017378,(r0:0.017137,r3:0.011129):0.007599):0.002547):0.002757,(r5:0.013739,r4:0.018929):0.003662);"
4,4,0,100000,100000,7511,"((r4:0.012626,r6:0.009417):0.003898,((r7:0.011011,r3:0.008163):0.003337,(r2:0.009325,(r0:0.013823,r1:0.017145):0.004963):0.002017):0.003221,r5:0.01731);"
5,5,0,100000,100000,7872,"(((r7:0.007218,r6:0.007186):0.008443,(r3:0.011548,(r4:0.01507,r5:0.016048):0.002537):0.003614):0.001751,r2:0.01379,(r0:0.014113,r1:0.019564):0.005516);"
6,6,0,100000,100000,7282,"(((((r5:0.01133,r4:0.011991):0.003756,r7:0.011506):0.002464,r2:0.01165):0.005122,r3:0.008959):0.002159,r6:0.010053,(r0:0.01213,r1:0.013035):0.006044);"
7,7,0,100000,100000,8370,"(r7:0.014595,(r6:0.013565,((r4:0.017032,r5:0.016715):0.003144,(r2:0.014221,r3:0.011561):0.003789):0.003737):0.004511,(r1:0.018584,r0:0.01711):0.004602);"
8,8,0,100000,100000,7517,"(((r6:0.006462,r2:0.011146):0.003747,(r1:0.014386,r0:0.013486):0.005577):0.002525,(r5:0.010527,r4:0.014029):0.005526,(r7:0.011048,r3:0.010868):0.00486);"
9,9,0,100000,100000,7226,"(((r3:0.004959,r2:0.009417):0.004771,(r6:0.008868,r7:0.011722):0.003486):0.000689,(r5:0.013376,r4:0.015466):0.006096,(r1:0.011281,r0:0.010504):0.005644);"
10,10,0,100000,100000,7275,"(r0:0.013506,r1:0.01195,(r3:0.010289,(((r4:0.01442,r5:0.012419):0.005149,(r7:0.010504,r6:0.010836):0.002961):0.002942,r2:0.009242):0.002588):0.005131);"
11,11,0,100000,100000,7705,"((r4:0.016484,r5:0.012147):0.005313,((r3:0.003305,r7:0.007526):0.008292,(r0:0.012975,r1:0.015678):0.004078):0.001558,(r6:0.00753,r2:0.013868):0.004984);"
12,12,0,100000,100000,7209,"(r6:0.009078,(r3:0.010679,((r2:0.006642,r7:0.01287):0.00382,(r1:0.014716,r0:0.017285):0.004931):0.001436):0.002776,(r4:0.01319,r5:0.015789):0.002689);"
13,13,0,100000,100000,7255,"((r5:0.016539,r4:0.012944):0.004207,(((r3:0.010321,r2:0.009823):0.004619,r7:0.009478):0.002686,r0:0.018433):0.001311,(r6:0.012046,r1:0.015653):0.002301);"
14,14,0,100000,100000,7139,"(r0:0.014584,r1:0.013493,((r2:0.008701,r7:0.008541):0.003246,((r6:0.009469,r3:0.01038):0.00255,(r5:0.015432,r4:0.016736):0.004104):0.00197):0.005427);"
15,15,0,100000,100000,7997,"(((r0:0.015133,r1:0.014954):0.005893,r6:0.011917):0.002509,(((r4:0.016438,r5:0.012536):0.003463,r7:0.013307):0.004611,r3:0.010149):0.003249,r2:0.013403);"
