,locus,start,end,nbps,nsnps,gene_tree
0,0,0,100000,100000,12515,"(((r4:0.013643,r5:0.016464):0.010958,r7:0.021677):0.002161,(r3:0.022921,(r1:0.015928,r0:0.015279):0.011198):0.002831,(r2:0.021815,r6:0.023998):0.002982);"
1,1,0,100000,100000,11721,"((r0:0.015662,r1:0.01631):0.005553,(((r7:0.019995,r6:0.017388):0.003004,(r4:0.01257,r5:0.016006):0.007092):0.001696,r3:0.021397):0.002626,r2:0.02155);"
2,2,0,100000,100000,11675,"((r0:0.017223,r1:0.016316):0.004689,((r7:0.021636,(r5:0.014333,r4:0.016157):0.004144):0.001298,r6:0.019957):0.002352,(r3:0.021527,r2:0.022055):0.002209);"
3,3,0,100000,100000,11865,"(r7:0.018585,r6:0.020465,((r2:0.023855,(r0:0.017407,r1:0.014977):0.004977):0.002072,((r5:0.018733,r4:0.020027):0.004799,r3:0.021666):0.001944):0.00273);"
4,4,0,100000,100000,11781,"(((((r7:0.020303,r6:0.02151):0.002454,(r4:0.016038,r5:0.017042):0.007462):0.002612,r3:0.023202):0.001527,r2:0.01914):0.005382,r0:0.018669,r1:0.019569);"
5,5,0,100000,100000,12616,"((r4:0.018145,r5:0.01732):0.005551,((r3:0.024269,(r0:0.01799,r1:0.019152):0.007984):0.003037,(r7:0.021334,r6:0.020901):0.004829):0.002379,r2:0.022753);"
6,6,0,100000,100000,12205,"(r3:0.022498,(r2:0.024415,(r1:0.021782,r0:0.016622):0.00478):0.001146,(((r5:0.016259,r4:0.015169):0.00624,r7:0.022776):0.001479,r6:0.020457):0.001908);"
7,7,0,100000,100000,11952,"(r0:0.018907,r1:0.01904,(r7:0.022183,(r3:0.019251,((r6:0.022732,(r5:0.019038,r4:0.0215):0.003916):0.001739,r2:0.020123):0.001712):0.00124):0.005326);"
8,8,0,100000,100000,11736,"((r0:0.015326,r1:0.017039):0.005983,r2:0.020788,(((r4:0.017696,r5:0.017343):0.003541,r7:0.021092):0.001168,(r6:0.020214,r3:0.021271):0.003286):0.001608);"
9,9,0,100000,100000,11449,"(r0:0.016025,r1:0.014012,((r2:0.021135,((r5:0.017201,r4:0.016343):0.005227,(r7:0.020546,r6:0.020331):0.002175):0.001673):0.0023,r3:0.019114):0.006314);"
10,10,0,100000,100000,11992,"((r7:0.019025,r3:0.020352):0.003722,(r1:0.019965,r0:0.020148):0.002833,(((r5:0.015953,r4:0.015308):0.005627,r6:0.021418):0.001234,r2:0.021751):0.001434);"
11,11,0,100000,100000,11008,"(r7:0.018254,(r2:0.020487,(r0:0.012069,r1:0.012468):0.005815):0.001592,((r6:0.018945,r3:0.022074):0.00211,(r4:0.015918,r5:0.015905):0.002455):0.001442);"
12,12,0,100000,100000,11812,"(((r0:0.013367,r1:0.014318):0.008077,r6:0.019676):0.001933,(r5:0.0174,r4:0.015786):0.004089,((r3:0.022943,r7:0.020383):0.003398,r2:0.022382):0.0009);"
13,13,0,100000,100000,11344,"((((r5:0.015638,r4:0.014909):0.004442,r6:0.019069):0.002384,(r0:0.019068,r1:0.014516):0.004662):0.001538,(r3:0.020906,r7:0.01802):0.001372,r2:0.018739);"
14,14,0,100000,100000,11694,"((r3:0.020599,(r0:0.016218,r1:0.014827):0.008222):0.001011,(r7:0.021688,((r4:0.014689,r5:0.013935):0.00824,r2:0.023438):0.001672):0.0012,r6:0.020076);"
15,15,0,100000,100000,12035,"(r5:0.01533,((r7:0.021156,r2:0.020188):0.00297,(((r1:0.016768,r0:0.016635):0.005429,r6:0.021689):0.001498,r3:0.019916):0.000894):0.006603,r4:0.017919);"
16,16,0,100000,100000,12229,"((r2:0.023429,((r5:0.016924,r4:0.016667):0.004504,r7:0.020431):0.002396):0.001563,r3:0.021734,(r6:0.02204,(r1:0.015416,r0:0.016321):0.007434):0.002216);"
