qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.893,0.0494,0.0576,5000.0
2,r0,r1,r2,r4,0.8968,0.052,0.0512,5000.0
3,r0,r1,r3,r4,0.8996,0.0534,0.047,5000.0
4,r0,r2,r3,r4,0.3254,0.3132,0.3614,5000.0
5,r1,r2,r3,r4,0.3282,0.3104,0.3614,5000.0
6,r0,r1,r2,r5,0.8946,0.0524,0.053,5000.0
7,r0,r1,r3,r5,0.8992,0.0528,0.048,5000.0
8,r0,r2,r3,r5,0.3234,0.3126,0.364,5000.0
9,r1,r2,r3,r5,0.3268,0.3096,0.3636,5000.0
10,r0,r1,r4,r5,0.9914,0.0036,0.005,5000.0
11,r0,r2,r4,r5,0.9154,0.0388,0.0458,5000.0
12,r1,r2,r4,r5,0.9136,0.04,0.0464,5000.0
13,r0,r3,r4,r5,0.9146,0.0442,0.0412,5000.0
14,r1,r3,r4,r5,0.915,0.0442,0.0408,5000.0
15,r2,r3,r4,r5,0.9042,0.0522,0.0436,5000.0
16,r0,r1,r2,r6,0.8866,0.0592,0.0542,5000.0
17,r0,r1,r3,r6,0.895,0.0592,0.0458,5000.0
18,r0,r2,r3,r6,0.3282,0.3226,0.3492,5000.0
19,r1,r2,r3,r6,0.3318,0.3162,0.352,5000.0
20,r0,r1,r4,r6,0.9108,0.0452,0.044,5000.0
21,r0,r2,r4,r6,0.3914,0.3096,0.299,5000.0
22,r1,r2,r4,r6,0.39,0.3064,0.3036,5000.0
23,r0,r3,r4,r6,0.3816,0.3114,0.307,5000.0
24,r1,r3,r4,r6,0.3778,0.3144,0.3078,5000.0
25,r2,r3,r4,r6,0.3988,0.2996,0.3016,5000.0
26,r0,r1,r5,r6,0.911,0.046,0.043,5000.0
27,r0,r2,r5,r6,0.3882,0.3146,0.2972,5000.0
28,r1,r2,r5,r6,0.3878,0.311,0.3012,5000.0
29,r0,r3,r5,r6,0.383,0.3108,0.3062,5000.0
30,r1,r3,r5,r6,0.3798,0.3128,0.3074,5000.0
31,r2,r3,r5,r6,0.3962,0.2998,0.304,5000.0
32,r0,r4,r5,r6,0.0484,0.0568,0.8948,5000.0
33,r1,r4,r5,r6,0.048,0.0556,0.8964,5000.0
34,r2,r4,r5,r6,0.0544,0.0566,0.889,5000.0
35,r3,r4,r5,r6,0.0502,0.0606,0.8892,5000.0
36,r0,r1,r2,r7,0.8878,0.0542,0.058,5000.0
37,r0,r1,r3,r7,0.895,0.052,0.053,5000.0
38,r0,r2,r3,r7,0.3342,0.316,0.3498,5000.0
39,r1,r2,r3,r7,0.3354,0.3184,0.3462,5000.0
40,r0,r1,r4,r7,0.9144,0.0398,0.0458,5000.0
41,r0,r2,r4,r7,0.389,0.3032,0.3078,5000.0
42,r1,r2,r4,r7,0.3894,0.3058,0.3048,5000.0
43,r0,r3,r4,r7,0.3792,0.3182,0.3026,5000.0
44,r1,r3,r4,r7,0.3784,0.3212,0.3004,5000.0
45,r2,r3,r4,r7,0.4004,0.3048,0.2948,5000.0
46,r0,r1,r5,r7,0.915,0.0406,0.0444,5000.0
47,r0,r2,r5,r7,0.3936,0.3034,0.303,5000.0
48,r1,r2,r5,r7,0.395,0.3054,0.2996,5000.0
49,r0,r3,r5,r7,0.3878,0.3146,0.2976,5000.0
50,r1,r3,r5,r7,0.3864,0.317,0.2966,5000.0
51,r2,r3,r5,r7,0.4076,0.2998,0.2926,5000.0
52,r0,r4,r5,r7,0.056,0.0476,0.8964,5000.0
53,r1,r4,r5,r7,0.0564,0.0482,0.8954,5000.0
54,r2,r4,r5,r7,0.0618,0.0478,0.8904,5000.0
55,r3,r4,r5,r7,0.056,0.0538,0.8902,5000.0
56,r0,r1,r6,r7,0.9028,0.043,0.0542,5000.0
57,r0,r2,r6,r7,0.4062,0.29,0.3038,5000.0
58,r1,r2,r6,r7,0.4074,0.2936,0.299,5000.0
59,r0,r3,r6,r7,0.4042,0.3002,0.2956,5000.0
60,r1,r3,r6,r7,0.402,0.3054,0.2926,5000.0
61,r2,r3,r6,r7,0.409,0.2996,0.2914,5000.0
62,r0,r4,r6,r7,0.362,0.319,0.319,5000.0
63,r1,r4,r6,r7,0.3644,0.3216,0.314,5000.0
64,r2,r4,r6,r7,0.3526,0.3272,0.3202,5000.0
65,r3,r4,r6,r7,0.35,0.3244,0.3256,5000.0
66,r0,r5,r6,r7,0.3604,0.3228,0.3168,5000.0
67,r1,r5,r6,r7,0.3624,0.3252,0.3124,5000.0
68,r2,r5,r6,r7,0.3506,0.333,0.3164,5000.0
69,r3,r5,r6,r7,0.3476,0.3298,0.3226,5000.0
70,r4,r5,r6,r7,0.8832,0.065,0.0518,5000.0
