qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.8896,0.0542,0.0562,5000.0
2,r0,r1,r2,r4,0.8914,0.0546,0.054,5000.0
3,r0,r1,r3,r4,0.8958,0.052,0.0522,5000.0
4,r0,r2,r3,r4,0.3068,0.3056,0.3876,5000.0
5,r1,r2,r3,r4,0.3084,0.3068,0.3848,5000.0
6,r0,r1,r2,r5,0.892,0.0546,0.0534,5000.0
7,r0,r1,r3,r5,0.897,0.0514,0.0516,5000.0
8,r0,r2,r3,r5,0.3036,0.3096,0.3868,5000.0
9,r1,r2,r3,r5,0.3056,0.3106,0.3838,5000.0
10,r0,r1,r4,r5,0.9896,0.0056,0.0048,5000.0
11,r0,r2,r4,r5,0.9042,0.05,0.0458,5000.0
12,r1,r2,r4,r5,0.9046,0.05,0.0454,5000.0
13,r0,r3,r4,r5,0.9128,0.0436,0.0436,5000.0
14,r1,r3,r4,r5,0.9142,0.0428,0.043,5000.0
15,r2,r3,r4,r5,0.9042,0.0488,0.047,5000.0
16,r0,r1,r2,r6,0.8826,0.0576,0.0598,5000.0
17,r0,r1,r3,r6,0.8906,0.0548,0.0546,5000.0
18,r0,r2,r3,r6,0.325,0.315,0.36,5000.0
19,r1,r2,r3,r6,0.3274,0.3148,0.3578,5000.0
20,r0,r1,r4,r6,0.9034,0.046,0.0506,5000.0
21,r0,r2,r4,r6,0.3758,0.3202,0.304,5000.0
22,r1,r2,r4,r6,0.3758,0.3214,0.3028,5000.0
23,r0,r3,r4,r6,0.3736,0.3324,0.294,5000.0
24,r1,r3,r4,r6,0.3752,0.3344,0.2904,5000.0
25,r2,r3,r4,r6,0.4042,0.3014,0.2944,5000.0
26,r0,r1,r5,r6,0.9022,0.0462,0.0516,5000.0
27,r0,r2,r5,r6,0.3764,0.3186,0.305,5000.0
28,r1,r2,r5,r6,0.3772,0.3198,0.303,5000.0
29,r0,r3,r5,r6,0.3718,0.3334,0.2948,5000.0
30,r1,r3,r5,r6,0.3736,0.3348,0.2916,5000.0
31,r2,r3,r5,r6,0.4046,0.3002,0.2952,5000.0
32,r0,r4,r5,r6,0.0512,0.0544,0.8944,5000.0
33,r1,r4,r5,r6,0.051,0.0542,0.8948,5000.0
34,r2,r4,r5,r6,0.0558,0.0576,0.8866,5000.0
35,r3,r4,r5,r6,0.055,0.0554,0.8896,5000.0
36,r0,r1,r2,r7,0.8868,0.0552,0.058,5000.0
37,r0,r1,r3,r7,0.889,0.0546,0.0564,5000.0
38,r0,r2,r3,r7,0.3166,0.3108,0.3726,5000.0
39,r1,r2,r3,r7,0.3202,0.3092,0.3706,5000.0
40,r0,r1,r4,r7,0.907,0.0446,0.0484,5000.0
41,r0,r2,r4,r7,0.3696,0.325,0.3054,5000.0
42,r1,r2,r4,r7,0.3724,0.3256,0.302,5000.0
43,r0,r3,r4,r7,0.3676,0.3254,0.307,5000.0
44,r1,r3,r4,r7,0.3676,0.3292,0.3032,5000.0
45,r2,r3,r4,r7,0.4026,0.298,0.2994,5000.0
46,r0,r1,r5,r7,0.9072,0.0446,0.0482,5000.0
47,r0,r2,r5,r7,0.3728,0.3216,0.3056,5000.0
48,r1,r2,r5,r7,0.3752,0.3214,0.3034,5000.0
49,r0,r3,r5,r7,0.3732,0.3214,0.3054,5000.0
50,r1,r3,r5,r7,0.3726,0.3254,0.302,5000.0
51,r2,r3,r5,r7,0.4052,0.2982,0.2966,5000.0
52,r0,r4,r5,r7,0.0566,0.0516,0.8918,5000.0
53,r1,r4,r5,r7,0.056,0.052,0.892,5000.0
54,r2,r4,r5,r7,0.0572,0.0546,0.8882,5000.0
55,r3,r4,r5,r7,0.0564,0.0538,0.8898,5000.0
56,r0,r1,r6,r7,0.8984,0.0508,0.0508,5000.0
57,r0,r2,r6,r7,0.3892,0.3026,0.3082,5000.0
58,r1,r2,r6,r7,0.3876,0.304,0.3084,5000.0
59,r0,r3,r6,r7,0.3924,0.2976,0.31,5000.0
60,r1,r3,r6,r7,0.3926,0.2986,0.3088,5000.0
61,r2,r3,r6,r7,0.4132,0.2906,0.2962,5000.0
62,r0,r4,r6,r7,0.371,0.3102,0.3188,5000.0
63,r1,r4,r6,r7,0.3718,0.3078,0.3204,5000.0
64,r2,r4,r6,r7,0.3536,0.3186,0.3278,5000.0
65,r3,r4,r6,r7,0.3546,0.3224,0.323,5000.0
66,r0,r5,r6,r7,0.3708,0.3112,0.318,5000.0
67,r1,r5,r6,r7,0.3712,0.3086,0.3202,5000.0
68,r2,r5,r6,r7,0.3542,0.3166,0.3292,5000.0
69,r3,r5,r6,r7,0.358,0.3206,0.3214,5000.0
70,r4,r5,r6,r7,0.8842,0.0584,0.0574,5000.0
