qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.5624209194432729,0.21805145508224377,0.21952762547448335,4742.0
2,r0,r1,r2,r4,0.56033934252386,0.22311770943796394,0.21654294803817603,4715.0
3,r0,r1,r3,r4,0.5525036974434819,0.22755123600253538,0.2199450665539827,4733.0
4,r0,r2,r3,r4,0.3343471648924614,0.318053443406474,0.3475993917010645,4603.0
5,r1,r2,r3,r4,0.3268016546919225,0.31656869148704553,0.356629653821032,4593.0
6,r0,r1,r2,r5,0.5523021430086994,0.2319117335030766,0.21578612348822407,4713.0
7,r0,r1,r3,r5,0.548034475509775,0.2312381753205802,0.22072734916964473,4757.0
8,r0,r2,r3,r5,0.333044044261228,0.3161206335430679,0.35083532219570407,4609.0
9,r1,r2,r3,r5,0.31973827699018537,0.3177753544165758,0.3624863685932388,4585.0
10,r0,r1,r4,r5,0.6886065403041033,0.16059154342845242,0.15080191626744427,4801.0
11,r0,r2,r4,r5,0.5509160630592246,0.22283766510438857,0.22624627183638688,4694.0
12,r1,r2,r4,r5,0.5449101796407185,0.22048759623609923,0.2346022241231822,4676.0
13,r0,r3,r4,r5,0.5422222222222223,0.22158730158730158,0.2361904761904762,4725.0
14,r1,r3,r4,r5,0.5442581192952664,0.21800042453831459,0.237741456166419,4711.0
15,r2,r3,r4,r5,0.5591101694915255,0.21716101694915255,0.22372881355932203,4720.0
16,r0,r1,r2,r6,0.560025407579928,0.22041075587550285,0.21956383654456912,4723.0
17,r0,r1,r3,r6,0.5514176893779095,0.2331781633516716,0.21540414727041896,4726.0
18,r0,r2,r3,r6,0.33413199738619037,0.32345894140710085,0.3424090612067088,4591.0
19,r1,r2,r3,r6,0.3249727371864776,0.325845147219193,0.3491821155943293,4585.0
20,r0,r1,r4,r6,0.5673547563311343,0.22025962970844862,0.2123856139604171,4699.0
21,r0,r2,r4,r6,0.35949145111793074,0.32288469969311706,0.3176238491889522,4562.0
22,r1,r2,r4,r6,0.35183961224939414,0.3306895792024675,0.31747080854813836,4539.0
23,r0,r3,r4,r6,0.3484182776801406,0.33062390158172233,0.32095782073813706,4552.0
24,r1,r3,r4,r6,0.34288213426634595,0.32998031926525256,0.3271375464684015,4573.0
25,r2,r3,r4,r6,0.3607456140350877,0.3131578947368421,0.32609649122807016,4560.0
26,r0,r1,r5,r6,0.5679487179487179,0.2123931623931624,0.21965811965811965,4680.0
27,r0,r2,r5,r6,0.3624944909651829,0.3212869105332746,0.31621859850154255,4538.0
28,r1,r2,r5,r6,0.34954875632841736,0.3363416244772177,0.314109619194365,4543.0
29,r0,r3,r5,r6,0.35723684210526313,0.32346491228070173,0.3192982456140351,4560.0
30,r1,r3,r5,r6,0.34965956512189766,0.32967274324621126,0.32066769163189107,4553.0
31,r2,r3,r5,r6,0.37139737991266375,0.31048034934497815,0.3181222707423581,4580.0
32,r0,r4,r5,r6,0.23574468085106384,0.23340425531914893,0.5308510638297872,4700.0
33,r1,r4,r5,r6,0.2276127377644796,0.23979482795469118,0.5325924342808293,4679.0
34,r2,r4,r5,r6,0.2335240517058699,0.23204068658614113,0.5344352617079889,4719.0
35,r3,r4,r5,r6,0.23707817172148654,0.22575822298163178,0.5371636052968817,4682.0
36,r0,r1,r2,r7,0.5581444609192968,0.21838593518322388,0.22346960389747936,4721.0
37,r0,r1,r3,r7,0.5536962507943233,0.22113958907011227,0.2251641601355645,4721.0
38,r0,r2,r3,r7,0.336620644312952,0.31097961867192636,0.3523997370151216,4563.0
39,r1,r2,r3,r7,0.33056768558951966,0.31724890829694324,0.3521834061135371,4580.0
40,r0,r1,r4,r7,0.570089475926715,0.211972731146144,0.21793779292714102,4694.0
41,r0,r2,r4,r7,0.3560105680317041,0.31505944517833556,0.3289299867899604,4542.0
42,r1,r2,r4,r7,0.3542719086316714,0.3217658686580277,0.3239622227103009,4553.0
43,r0,r3,r4,r7,0.3496149614961496,0.3221122112211221,0.3282728272827283,4545.0
44,r1,r3,r4,r7,0.3488116197183099,0.332306338028169,0.3188820422535211,4544.0
45,r2,r3,r4,r7,0.3681450731920472,0.32029713786322916,0.31155778894472363,4577.0
46,r0,r1,r5,r7,0.5669006594341629,0.21123165283982132,0.22186768772601573,4701.0
47,r0,r2,r5,r7,0.3565331582403152,0.31888815933464654,0.3245786824250383,4569.0
48,r1,r2,r5,r7,0.3496042216358839,0.3302550571679859,0.3201407211961302,4548.0
49,r0,r3,r5,r7,0.34974940074090216,0.3290477228154282,0.3212028764436696,4589.0
50,r1,r3,r5,r7,0.35181937746602365,0.33691363437088995,0.31126698816308634,4562.0
51,r2,r3,r5,r7,0.3705405996935872,0.3182315605165244,0.3112278397898884,4569.0
52,r0,r4,r5,r7,0.2275729810355849,0.2346047304496058,0.5378222885148093,4693.0
53,r1,r4,r5,r7,0.22469030328919265,0.24049551473729175,0.5348141819735156,4682.0
54,r2,r4,r5,r7,0.22957034540859309,0.2363100252737995,0.5341196293176074,4748.0
55,r3,r4,r5,r7,0.23194562446898895,0.23237043330501275,0.5356839422259984,4708.0
56,r0,r1,r6,r7,0.5834216663133347,0.20415518337926647,0.21242315030739878,4717.0
57,r0,r2,r6,r7,0.37513584003477507,0.3008041730058683,0.32405998695935667,4601.0
58,r1,r2,r6,r7,0.3732379093472132,0.30644111906310995,0.3203209715896769,4611.0
59,r0,r3,r6,r7,0.36874051593323215,0.31194450466074136,0.31931497940602643,4613.0
60,r1,r3,r6,r7,0.3663774403470716,0.3195227765726681,0.3140997830802603,4610.0
61,r2,r3,r6,r7,0.37823158809472085,0.32000868998479254,0.3017597219204866,4603.0
62,r0,r4,r6,r7,0.3444757976991535,0.3234208812676362,0.33210332103321033,4607.0
63,r1,r4,r6,r7,0.3494107376691401,0.32889567874290704,0.32169358358795286,4582.0
64,r2,r4,r6,r7,0.3382576580490984,0.3358679122311536,0.325874429719748,4603.0
65,r3,r4,r6,r7,0.3470805296288257,0.3284132841328413,0.324506186238333,4607.0
66,r0,r5,r6,r7,0.3474853037230568,0.3246244284781189,0.3278902677988243,4593.0
67,r1,r5,r6,r7,0.3548668703622872,0.3247490178961152,0.32038411174159753,4582.0
68,r2,r5,r6,r7,0.3511351351351351,0.3256216216216216,0.3232432432432432,4625.0
69,r3,r5,r6,r7,0.34170093053451633,0.32417225708721054,0.3341268123782731,4621.0
70,r4,r5,r6,r7,0.5429835651074589,0.2277707543194269,0.2292456805731142,4746.0
