qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.9878,0.0058,0.0064,5000.0
2,r0,r1,r2,r4,0.9872,0.0068,0.006,5000.0
3,r0,r1,r3,r4,0.9876,0.0068,0.0056,5000.0
4,r0,r2,r3,r4,0.2986,0.2876,0.4138,5000.0
5,r1,r2,r3,r4,0.3002,0.286,0.4138,5000.0
6,r0,r1,r2,r5,0.987,0.0072,0.0058,5000.0
7,r0,r1,r3,r5,0.9876,0.007,0.0054,5000.0
8,r0,r2,r3,r5,0.3012,0.2862,0.4126,5000.0
9,r1,r2,r3,r5,0.3024,0.2846,0.413,5000.0
10,r0,r1,r4,r5,0.9996,0.0004,0.0,5000.0
11,r0,r2,r4,r5,0.987,0.0062,0.0068,5000.0
12,r1,r2,r4,r5,0.987,0.006,0.007,5000.0
13,r0,r3,r4,r5,0.9876,0.007,0.0054,5000.0
14,r1,r3,r4,r5,0.9878,0.0066,0.0056,5000.0
15,r2,r3,r4,r5,0.9882,0.0078,0.004,5000.0
16,r0,r1,r2,r6,0.9874,0.0066,0.006,5000.0
17,r0,r1,r3,r6,0.9868,0.0088,0.0044,5000.0
18,r0,r2,r3,r6,0.2924,0.303,0.4046,5000.0
19,r1,r2,r3,r6,0.2932,0.3016,0.4052,5000.0
20,r0,r1,r4,r6,0.989,0.006,0.005,5000.0
21,r0,r2,r4,r6,0.4234,0.293,0.2836,5000.0
22,r1,r2,r4,r6,0.424,0.2924,0.2836,5000.0
23,r0,r3,r4,r6,0.4282,0.2818,0.29,5000.0
24,r1,r3,r4,r6,0.4266,0.2822,0.2912,5000.0
25,r2,r3,r4,r6,0.4838,0.2508,0.2654,5000.0
26,r0,r1,r5,r6,0.9892,0.0058,0.005,5000.0
27,r0,r2,r5,r6,0.4236,0.2934,0.283,5000.0
28,r1,r2,r5,r6,0.424,0.293,0.283,5000.0
29,r0,r3,r5,r6,0.4274,0.2816,0.291,5000.0
30,r1,r3,r5,r6,0.4254,0.2824,0.2922,5000.0
31,r2,r3,r5,r6,0.4832,0.2492,0.2676,5000.0
32,r0,r4,r5,r6,0.009,0.0074,0.9836,5000.0
33,r1,r4,r5,r6,0.0088,0.0074,0.9838,5000.0
34,r2,r4,r5,r6,0.0092,0.0062,0.9846,5000.0
35,r3,r4,r5,r6,0.0068,0.0086,0.9846,5000.0
36,r0,r1,r2,r7,0.987,0.006,0.007,5000.0
37,r0,r1,r3,r7,0.9874,0.0066,0.006,5000.0
38,r0,r2,r3,r7,0.296,0.3052,0.3988,5000.0
39,r1,r2,r3,r7,0.2972,0.3038,0.399,5000.0
40,r0,r1,r4,r7,0.9898,0.0054,0.0048,5000.0
41,r0,r2,r4,r7,0.425,0.292,0.283,5000.0
42,r1,r2,r4,r7,0.4256,0.292,0.2824,5000.0
43,r0,r3,r4,r7,0.432,0.2904,0.2776,5000.0
44,r1,r3,r4,r7,0.4306,0.2914,0.278,5000.0
45,r2,r3,r4,r7,0.491,0.255,0.254,5000.0
46,r0,r1,r5,r7,0.9898,0.0052,0.005,5000.0
47,r0,r2,r5,r7,0.425,0.2924,0.2826,5000.0
48,r1,r2,r5,r7,0.4252,0.2928,0.282,5000.0
49,r0,r3,r5,r7,0.4296,0.2906,0.2798,5000.0
50,r1,r3,r5,r7,0.428,0.292,0.28,5000.0
51,r2,r3,r5,r7,0.4904,0.254,0.2556,5000.0
52,r0,r4,r5,r7,0.0082,0.0084,0.9834,5000.0
53,r1,r4,r5,r7,0.0078,0.0086,0.9836,5000.0
54,r2,r4,r5,r7,0.0084,0.007,0.9846,5000.0
55,r3,r4,r5,r7,0.0066,0.0094,0.984,5000.0
56,r0,r1,r6,r7,0.9906,0.0034,0.006,5000.0
57,r0,r2,r6,r7,0.49,0.2556,0.2544,5000.0
58,r1,r2,r6,r7,0.491,0.2568,0.2522,5000.0
59,r0,r3,r6,r7,0.5022,0.2582,0.2396,5000.0
60,r1,r3,r6,r7,0.5008,0.2604,0.2388,5000.0
61,r2,r3,r6,r7,0.5494,0.2332,0.2174,5000.0
62,r0,r4,r6,r7,0.4186,0.297,0.2844,5000.0
63,r1,r4,r6,r7,0.4184,0.2976,0.284,5000.0
64,r2,r4,r6,r7,0.4146,0.2958,0.2896,5000.0
65,r3,r4,r6,r7,0.4222,0.2844,0.2934,5000.0
66,r0,r5,r6,r7,0.4182,0.2964,0.2854,5000.0
67,r1,r5,r6,r7,0.4182,0.2968,0.285,5000.0
68,r2,r5,r6,r7,0.4132,0.2956,0.2912,5000.0
69,r3,r5,r6,r7,0.424,0.2826,0.2934,5000.0
70,r4,r5,r6,r7,0.9852,0.0066,0.0082,5000.0
