qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.5198,0.2442,0.236,5000.0
2,r0,r1,r2,r4,0.5118,0.2372,0.251,5000.0
3,r0,r1,r3,r4,0.5232,0.234,0.2428,5000.0
4,r0,r2,r3,r4,0.332,0.3274,0.3406,5000.0
5,r1,r2,r3,r4,0.3344,0.3358,0.3298,5000.0
6,r0,r1,r2,r5,0.5112,0.2448,0.244,5000.0
7,r0,r1,r3,r5,0.5274,0.2352,0.2374,5000.0
8,r0,r2,r3,r5,0.343,0.314,0.343,5000.0
9,r1,r2,r3,r5,0.3356,0.3256,0.3388,5000.0
10,r0,r1,r4,r5,0.6754,0.1634,0.1612,5000.0
11,r0,r2,r4,r5,0.5474,0.2276,0.225,5000.0
12,r1,r2,r4,r5,0.5442,0.2252,0.2306,5000.0
13,r0,r3,r4,r5,0.5406,0.2332,0.2262,5000.0
14,r1,r3,r4,r5,0.5454,0.2282,0.2264,5000.0
15,r2,r3,r4,r5,0.5484,0.2288,0.2228,5000.0
16,r0,r1,r2,r6,0.5108,0.2428,0.2464,5000.0
17,r0,r1,r3,r6,0.5274,0.2328,0.2398,5000.0
18,r0,r2,r3,r6,0.3366,0.3256,0.3378,5000.0
19,r1,r2,r3,r6,0.3366,0.3298,0.3336,5000.0
20,r0,r1,r4,r6,0.5408,0.227,0.2322,5000.0
21,r0,r2,r4,r6,0.3626,0.321,0.3164,5000.0
22,r1,r2,r4,r6,0.3688,0.313,0.3182,5000.0
23,r0,r3,r4,r6,0.3558,0.3206,0.3236,5000.0
24,r1,r3,r4,r6,0.3622,0.3188,0.319,5000.0
25,r2,r3,r4,r6,0.3624,0.3218,0.3158,5000.0
26,r0,r1,r5,r6,0.546,0.2254,0.2286,5000.0
27,r0,r2,r5,r6,0.3716,0.319,0.3094,5000.0
28,r1,r2,r5,r6,0.375,0.3206,0.3044,5000.0
29,r0,r3,r5,r6,0.3654,0.3202,0.3144,5000.0
30,r1,r3,r5,r6,0.3708,0.3206,0.3086,5000.0
31,r2,r3,r5,r6,0.3766,0.3098,0.3136,5000.0
32,r0,r4,r5,r6,0.2518,0.2312,0.517,5000.0
33,r1,r4,r5,r6,0.2508,0.2338,0.5154,5000.0
34,r2,r4,r5,r6,0.248,0.2338,0.5182,5000.0
35,r3,r4,r5,r6,0.2452,0.2296,0.5252,5000.0
36,r0,r1,r2,r7,0.5096,0.2414,0.249,5000.0
37,r0,r1,r3,r7,0.5184,0.2378,0.2438,5000.0
38,r0,r2,r3,r7,0.3362,0.3188,0.345,5000.0
39,r1,r2,r3,r7,0.3326,0.328,0.3394,5000.0
40,r0,r1,r4,r7,0.5292,0.239,0.2318,5000.0
41,r0,r2,r4,r7,0.3588,0.3242,0.317,5000.0
42,r1,r2,r4,r7,0.3588,0.3156,0.3256,5000.0
43,r0,r3,r4,r7,0.3494,0.3252,0.3254,5000.0
44,r1,r3,r4,r7,0.3572,0.3146,0.3282,5000.0
45,r2,r3,r4,r7,0.3624,0.3224,0.3152,5000.0
46,r0,r1,r5,r7,0.5216,0.24,0.2384,5000.0
47,r0,r2,r5,r7,0.3524,0.325,0.3226,5000.0
48,r1,r2,r5,r7,0.351,0.3252,0.3238,5000.0
49,r0,r3,r5,r7,0.345,0.3252,0.3298,5000.0
50,r1,r3,r5,r7,0.3476,0.3224,0.33,5000.0
51,r2,r3,r5,r7,0.3552,0.32,0.3248,5000.0
52,r0,r4,r5,r7,0.2344,0.242,0.5236,5000.0
53,r1,r4,r5,r7,0.2266,0.2422,0.5312,5000.0
54,r2,r4,r5,r7,0.2358,0.2394,0.5248,5000.0
55,r3,r4,r5,r7,0.2318,0.2408,0.5274,5000.0
56,r0,r1,r6,r7,0.537,0.2346,0.2284,5000.0
57,r0,r2,r6,r7,0.3696,0.3108,0.3196,5000.0
58,r1,r2,r6,r7,0.3692,0.3158,0.315,5000.0
59,r0,r3,r6,r7,0.3572,0.3196,0.3232,5000.0
60,r1,r3,r6,r7,0.3628,0.3184,0.3188,5000.0
61,r2,r3,r6,r7,0.3712,0.313,0.3158,5000.0
62,r0,r4,r6,r7,0.35,0.3264,0.3236,5000.0
63,r1,r4,r6,r7,0.3404,0.331,0.3286,5000.0
64,r2,r4,r6,r7,0.3418,0.332,0.3262,5000.0
65,r3,r4,r6,r7,0.3458,0.329,0.3252,5000.0
66,r0,r5,r6,r7,0.3454,0.311,0.3436,5000.0
67,r1,r5,r6,r7,0.3378,0.3168,0.3454,5000.0
68,r2,r5,r6,r7,0.3416,0.317,0.3414,5000.0
69,r3,r5,r6,r7,0.3414,0.3156,0.343,5000.0
70,r4,r5,r6,r7,0.5306,0.2302,0.2392,5000.0
