qind,t1,t2,t3,t4,CF12_34,CF13_24,CF14_23,ngenes
1,r0,r1,r2,r3,0.5228,0.2454,0.2318,5000.0
2,r0,r1,r2,r4,0.5236,0.2398,0.2366,5000.0
3,r0,r1,r3,r4,0.5266,0.2336,0.2398,5000.0
4,r0,r2,r3,r4,0.3424,0.3218,0.3358,5000.0
5,r1,r2,r3,r4,0.3366,0.3232,0.3402,5000.0
6,r0,r1,r2,r5,0.5216,0.2434,0.235,5000.0
7,r0,r1,r3,r5,0.5186,0.2412,0.2402,5000.0
8,r0,r2,r3,r5,0.3282,0.3322,0.3396,5000.0
9,r1,r2,r3,r5,0.3266,0.3308,0.3426,5000.0
10,r0,r1,r4,r5,0.6698,0.167,0.1632,5000.0
11,r0,r2,r4,r5,0.534,0.2368,0.2292,5000.0
12,r1,r2,r4,r5,0.5368,0.2328,0.2304,5000.0
13,r0,r3,r4,r5,0.5348,0.2278,0.2374,5000.0
14,r1,r3,r4,r5,0.5408,0.2232,0.236,5000.0
15,r2,r3,r4,r5,0.5454,0.2232,0.2314,5000.0
16,r0,r1,r2,r6,0.52,0.2472,0.2328,5000.0
17,r0,r1,r3,r6,0.5292,0.237,0.2338,5000.0
18,r0,r2,r3,r6,0.3488,0.327,0.3242,5000.0
19,r1,r2,r3,r6,0.3434,0.327,0.3296,5000.0
20,r0,r1,r4,r6,0.538,0.2388,0.2232,5000.0
21,r0,r2,r4,r6,0.3562,0.33,0.3138,5000.0
22,r1,r2,r4,r6,0.3554,0.3234,0.3212,5000.0
23,r0,r3,r4,r6,0.3416,0.3438,0.3146,5000.0
24,r1,r3,r4,r6,0.3518,0.332,0.3162,5000.0
25,r2,r3,r4,r6,0.3508,0.3278,0.3214,5000.0
26,r0,r1,r5,r6,0.5324,0.2348,0.2328,5000.0
27,r0,r2,r5,r6,0.3452,0.3288,0.326,5000.0
28,r1,r2,r5,r6,0.341,0.3314,0.3276,5000.0
29,r0,r3,r5,r6,0.341,0.3446,0.3144,5000.0
30,r1,r3,r5,r6,0.3426,0.3424,0.315,5000.0
31,r2,r3,r5,r6,0.3438,0.3376,0.3186,5000.0
32,r0,r4,r5,r6,0.2306,0.2428,0.5266,5000.0
33,r1,r4,r5,r6,0.2244,0.243,0.5326,5000.0
34,r2,r4,r5,r6,0.2252,0.2454,0.5294,5000.0
35,r3,r4,r5,r6,0.2324,0.2318,0.5358,5000.0
36,r0,r1,r2,r7,0.5194,0.244,0.2366,5000.0
37,r0,r1,r3,r7,0.5254,0.2336,0.241,5000.0
38,r0,r2,r3,r7,0.3418,0.3196,0.3386,5000.0
39,r1,r2,r3,r7,0.3382,0.3238,0.338,5000.0
40,r0,r1,r4,r7,0.548,0.2254,0.2266,5000.0
41,r0,r2,r4,r7,0.3636,0.3162,0.3202,5000.0
42,r1,r2,r4,r7,0.3624,0.3156,0.322,5000.0
43,r0,r3,r4,r7,0.351,0.333,0.316,5000.0
44,r1,r3,r4,r7,0.3546,0.3276,0.3178,5000.0
45,r2,r3,r4,r7,0.359,0.3294,0.3116,5000.0
46,r0,r1,r5,r7,0.5384,0.232,0.2296,5000.0
47,r0,r2,r5,r7,0.3582,0.3148,0.327,5000.0
48,r1,r2,r5,r7,0.3558,0.3182,0.326,5000.0
49,r0,r3,r5,r7,0.3484,0.336,0.3156,5000.0
50,r1,r3,r5,r7,0.3518,0.337,0.3112,5000.0
51,r2,r3,r5,r7,0.3572,0.3382,0.3046,5000.0
52,r0,r4,r5,r7,0.2332,0.244,0.5228,5000.0
53,r1,r4,r5,r7,0.2344,0.243,0.5226,5000.0
54,r2,r4,r5,r7,0.2388,0.2454,0.5158,5000.0
55,r3,r4,r5,r7,0.2334,0.2416,0.525,5000.0
56,r0,r1,r6,r7,0.548,0.2222,0.2298,5000.0
57,r0,r2,r6,r7,0.378,0.2984,0.3236,5000.0
58,r1,r2,r6,r7,0.3738,0.3098,0.3164,5000.0
59,r0,r3,r6,r7,0.361,0.3114,0.3276,5000.0
60,r1,r3,r6,r7,0.362,0.3196,0.3184,5000.0
61,r2,r3,r6,r7,0.3628,0.317,0.3202,5000.0
62,r0,r4,r6,r7,0.3506,0.32,0.3294,5000.0
63,r1,r4,r6,r7,0.3444,0.329,0.3266,5000.0
64,r2,r4,r6,r7,0.3486,0.3382,0.3132,5000.0
65,r3,r4,r6,r7,0.34,0.3354,0.3246,5000.0
66,r0,r5,r6,r7,0.3526,0.325,0.3224,5000.0
67,r1,r5,r6,r7,0.3476,0.3318,0.3206,5000.0
68,r2,r5,r6,r7,0.3568,0.3388,0.3044,5000.0
69,r3,r5,r6,r7,0.338,0.3364,0.3256,5000.0
70,r4,r5,r6,r7,0.5332,0.2368,0.23,5000.0
