1000 1000.0 0 10.660030952380952 1.965 789 (r7:1,(r6:1,((r4:1,r5:1)0.51:0.0125661367045,((r2:1,(r0:1,r1:1)1:0.12588268248)1:0.136819223476,r3:1)0.85:0.0357203530615)1:0.156338385797):0); 0.19443359141936595 0.11428571428571432 (r1:1,(r0:1,((r3:1,(r5:1,(r4:1,(r7:1,r6:1)1:0.146514813064)0.48:0.0150570122752)0.79:0.0428759584577)1:0.181753881813,r2:1)1:0.161028642082):0); 0.17556643393915275 0.11428571428571432
1000 1000.0 10 10.683612301587301 1.994 825 (r6:1,(r7:1,(r3:1,((r4:1,r5:1)0.71:0.0295704573211,(r2:1,(r0:1,r1:1)1:0.147182010511)1:0.142275087691)0.52:0.0159862426414)1:0.143715802535):0); 0.31325379773618617 0.2857142857142857 (r3:1,((r7:1,r6:1)1:0.155557557206,((r4:1,r5:1)0.76:0.0389741344318,(r2:1,(r1:1,r0:1)1:0.162738759891)1:0.150781425822)0.5:0.0170622799785):0); 0.31325379773618617 0.2857142857142857
1000 1000.0 11 10.720784126984126 1.968 800 (r5:1,((r6:1,r7:1)1:0.150660274887,(r4:1,(r3:1,((r1:1,r0:1)1:0.104362013328,r2:1)1:0.170676339594)0.5:0.0122289822846)0.46:0.00915768803455):0); 0.0 0.0 (r5:1,(r3:1,(r4:1,((r7:1,r6:1)1:0.14897922367,((r0:1,r1:1)1:0.122406669492,r2:1)1:0.241173785578)0.42:0.00854159949878)0.57:0.0210250785795):0); 0.4046744138620866 0.3285714285714286
1000 1000.0 12 10.383042857142856 1.993 811 (r0:1,(r1:1,(r2:1,((r3:1,r4:1)0.38:0.0035026305512,(r5:1,(r6:1,r7:1)1:0.136475639896)0.59:0.0190361878192)1:0.149644530768)1:0.0964096851377):0); 0.20410776171712283 0.12857142857142856 (r7:1,(r6:1,(r5:1,(r3:1,(r4:1,(r2:1,(r1:1,r0:1)1:0.112236921878)1:0.207670320218)0.35:0.00128052702031)0.62:0.0275851167231)1:0.147738346217):0); 0.1790338045715902 0.12857142857142856
1000 1000.0 13 10.431144047619048 1.982 798 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.12181212055)1:0.152185828196)0.47:0.0100402449852)0.58:0.0169383516346,(r7:1,r6:1)1:0.149615524662):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.143500951911)1:0.202068319729)0.47:0.0117821686983,r4:1)0.63:0.02554322541)1:0.129646775122):0); 0.0 0.0
1000 1000.0 14 11.03242142857143 1.897 797 (r6:1,(r7:1,((r5:1,r4:1)0.4:0.00500752173062,(r3:1,(r2:1,(r1:1,r0:1)1:0.14233267645)1:0.128264851379)0.42:0.00651468102119)1:0.145447404699):0); 0.19443359141936595 0.11428571428571432 (r7:1,(r6:1,(r3:1,((r2:1,(r1:1,r0:1)1:0.138600349739)1:0.174194086568,(r4:1,r5:1)0.7:0.0344762117931)0.42:0.00837054630102)1:0.159623784127):0); 0.31325379773618617 0.2857142857142857
1000 1000.0 15 10.071832936507937 2.01 811 (r7:1,(r6:1,(r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.149963653473)1:0.130823488169)0.76:0.0287133389006,r5:1)0.71:0.030750195985)1:0.177140198052):0); 0.17556643393915275 0.11428571428571432 (r0:1,((r2:1,(r3:1,(r5:1,(r4:1,(r6:1,r7:1)1:0.185899378142)0.78:0.0429091792142)0.45:0.0101561209039)1:0.192425654643)1:0.134783113904,r1:1):0); 0.17556643393915275 0.11428571428571432
1000 1000.0 16 10.473038095238095 1.989 786 (r4:1,((r5:1,(r7:1,r6:1)1:0.158706496363)0.53:0.0161765919329,(r3:1,(r2:1,(r1:1,r0:1)1:0.145100844307)1:0.122955292341)0.86:0.0369721607919):0); 0.0 0.0 (r4:1,(r5:1,((r7:1,r6:1)1:0.190211564672,(r3:1,(r2:1,(r1:1,r0:1)1:0.155131256938)1:0.160034909123)0.62:0.0244876315504)0.49:0.0176938828736):0); 0.19443359141936595 0.11428571428571432
1000 1000.0 17 11.265119047619049 1.853 803 (r3:1,((r2:1,(r0:1,r1:1)1:0.149615524662)1:0.151313798492,((r5:1,(r6:1,r7:1)1:0.149267517002)0.48:0.0102925472447,r4:1)0.45:0.00835985473938):0); 0.0 0.0 (r7:1,(r6:1,(r4:1,((r5:1,r3:1)0.61:0.0279973493872,(r2:1,(r1:1,r0:1)1:0.169668747123)1:0.196997185373)0.4:0.0054630018412)1:0.16590399828):0); 0.29198726827086396 0.24285714285714288
1000 1000.0 18 10.824305952380952 1.923 816 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r1:1,r0:1)1:0.113720370397)1:0.137463761042,r3:1)0.69:0.0244387320668)0.58:0.0194180858571)1:0.156250785604):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,((r6:1,r7:1)1:0.14486020775,r5:1)0.59:0.0223750788813)0.43:0.00954196873446)1:0.167289628181)1:0.145163201716):0); 0.0 0.0
1000 1000.0 19 10.660395238095237 1.96 792 (r0:1,(r1:1,(r2:1,((r4:1,(r5:1,(r7:1,r6:1)1:0.146487807082)0.66:0.0219039844506)0.6:0.0178066186495,r3:1)1:0.109698917256)1:0.153102278543):0); 0.0 0.0 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.155137509527)1:0.132246270653)0.4:0.00714909817173)0.73:0.0351756636736)1:0.136791180949,r6:1):0); 0.0 0.0
