1000 10000.0 0 13.15172639739178 10.204 941 (r6:1,(r7:1,(r3:1,(r4:1,(r5:1,((r1:1,r0:1)1:0.115400760643,r2:1)1:0.178930708826)0.38:0.00333556013063)0.57:0.0219039844506)1:0.122828208698):0); 0.35460023851074296 0.3285714285714286 (r7:1,(r6:1,(r3:1,((r2:1,(r0:1,r1:1)1:0.153590298753)1:0.183891281903,(r4:1,r5:1)0.53:0.0188194666989)0.59:0.021870176544)1:0.102967761141):0); 0.31325379773618617 0.2857142857142857
1000 10000.0 10 13.375571602506621 10.027 933 (r1:1,(r0:1,((r4:1,(r3:1,(r5:1,(r6:1,r7:1)1:0.145794085236)0.43:0.00670323574976)0.8:0.0312869012715)1:0.140692695071,r2:1)1:0.0947608801476):0); 0.1790338045715902 0.12857142857142856 (r7:1,(r6:1,((r3:1,(r4:1,(r2:1,(r1:1,r0:1)1:0.150756810855)1:0.149515195751)0.6:0.0263378752565)0.81:0.0334715518685,r5:1)1:0.16118567677):0); 0.1790338045715902 0.12857142857142856
1000 10000.0 11 13.027472772311734 10.325 930 (r3:1,((r2:1,(r1:1,r0:1)1:0.170720775151)1:0.131464171587,(r5:1,((r7:1,r6:1)1:0.126902917222,r4:1)0.46:0.00896866998276)0.85:0.0362813144777):0); 0.17556643393915275 0.11428571428571432 (r6:1,((r4:1,(r5:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.16619315286)1:0.179153601562)0.64:0.0217727187892)0.39:0.00386100865746)1:0.165694819574,r7:1):0); 0.17556643393915275 0.11428571428571432
1000 10000.0 12 13.259138019725441 10.045 925 (r3:1,((r2:1,(r0:1,r1:1)1:0.138194739511)1:0.133602752385,((r7:1,r6:1)1:0.172677897029,(r5:1,r4:1)0.75:0.028242236727)0.46:0.00903167203035):0); 0.19443359141936595 0.11428571428571432 (r5:1,(((r7:1,r6:1)1:0.151393472476,(r3:1,(r2:1,(r1:1,r0:1)1:0.139366883643)1:0.174098577614)0.58:0.0188391330407)0.66:0.0239367912771,r4:1):0); 0.19443359141936595 0.11428571428571432
1000 10000.0 13 13.152578779521649 10.157 941 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.107694239004)1:0.0924982030534)0.76:0.0285420033395)0.75:0.0290132467883)1:0.123845330332):0); 0.0 0.0 (r3:1,((r2:1,(r0:1,r1:1)1:0.123865020992)1:0.164814364098,((r5:1,(r7:1,r6:1)1:0.136859182717)0.68:0.0282662908612,r4:1)0.37:0.00233067211775):0); 0.0 0.0
1000 10000.0 14 12.95860459213923 10.494 921 (r6:1,(r7:1,((r2:1,(r0:1,r1:1)1:0.105027570757)1:0.173568765684,(r4:1,(r5:1,r3:1)0.72:0.0287818813455)0.52:0.0131986077901)1:0.185723941743):0); 0.4046744138620866 0.3285714285714286 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.176337441879)0.59:0.0196983453641)0.57:0.0170361871526)1:0.159113151392)1:0.116666227581,r1:1):0); 0.0 0.0
1000 10000.0 15 13.151182036297302 10.255 929 (r1:1,(r0:1,((r3:1,((r4:1,r5:1)0.7:0.0243960781395,(r7:1,r6:1)1:0.152403954492)0.6:0.0196727655987)1:0.159848700942,r2:1)1:0.145100844307):0); 0.19443359141936595 0.11428571428571432 (r2:1,((r1:1,r0:1)1:0.139914486041,((r3:1,r5:1)0.52:0.0181367783458,(r4:1,(r6:1,r7:1)1:0.135887661387)0.56:0.0187652105255)1:0.179350090906):0); 0.29198726827086396 0.24285714285714288
1000 10000.0 16 13.230874250647883 10.397 933 (r2:1,((r1:1,r0:1)1:0.123845330332,(r3:1,((r4:1,(r6:1,r7:1)1:0.133731212787)0.45:0.0123764733564,r5:1)0.61:0.0195029718976)1:0.156776501905):0); 0.17556643393915275 0.11428571428571432 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.128976633448)1:0.162240611589)0.39:0.00553354331341)0.83:0.0342465714514)1:0.140142986957,r7:1):0); 0.0 0.0
1000 10000.0 17 13.088547977442088 10.133 937 (r0:1,(r1:1,(r2:1,(((r5:1,r4:1)0.81:0.0346209188359,(r6:1,r7:1)1:0.153713712374)0.48:0.0126925989241,r3:1)1:0.112629629005)1:0.156250785604):0); 0.19443359141936595 0.11428571428571432 (r3:1,((r2:1,(r1:1,r0:1)1:0.154812543762)1:0.143882767952,((r7:1,r6:1)1:0.114322616231,(r5:1,r4:1)0.47:0.0149531866681)0.76:0.0294812792625):0); 0.19443359141936595 0.11428571428571432
1000 10000.0 18 13.011927791192353 10.347 925 (r3:1,((r4:1,(r5:1,(r7:1,r6:1)1:0.124863487555)0.6:0.0182728290035)0.55:0.0159439477189,(r2:1,(r0:1,r1:1)1:0.136819223476)1:0.127626213784):0); 0.0 0.0 (r4:1,((r5:1,(r7:1,r6:1)1:0.138971862454)0.67:0.0268459347391,(r3:1,(r2:1,(r1:1,r0:1)1:0.185363846941)1:0.151280505328)0.43:0.0069406880859):0); 0.0 0.0
1000 10000.0 19 13.093270475890709 10.249 923 (r4:1,((r5:1,(r6:1,r7:1)1:0.15100876766)0.85:0.0361734128408,(r3:1,(r2:1,(r0:1,r1:1)1:0.14060645472)1:0.144148422053)0.39:0.00400400935338):0); 0.0 0.0 (r3:1,((r5:1,(r6:1,r7:1)1:0.127940779635)0.66:0.0220217415263,(r4:1,((r1:1,r0:1)1:0.152925439731,r2:1)1:0.181372315474)0.57:0.0176863209711):0); 0.1790338045715902 0.12857142857142856
