1000 10000.0 0 12.90965954870293 3.384 976 (r7:1,(r5:1,((r3:1,(r2:1,r4:1)0.44:0.0101411582504)0.48:0.0101663881579,((r6:1,r1:1)0.41:0.00561011289077,r0:1)0.51:0.0164939212917)0.67:0.0227339924791):0); 0.715114822905821 0.6428571428571428 (r2:1,(r0:1,(r6:1,((r4:1,(r5:1,r1:1)0.58:0.0225334314413)0.56:0.01634329746,(r7:1,r3:1)0.65:0.0241985933195)0.43:0.00782860761997)0.43:0.00770249125971):0); 0.8065354390317215 0.7571428571428571
1000 10000.0 10 12.649221282544426 3.417 978 (r0:1,((r6:1,(r2:1,(r4:1,r7:1)0.54:0.0177388243374)0.44:0.00764654305488)0.53:0.0144225206652,(r5:1,(r3:1,r1:1)0.57:0.0162146661396)0.41:0.00576081743479):0); 0.7716715230758092 0.6714285714285715 (r3:1,(r1:1,((r0:1,((r7:1,r6:1)0.68:0.0245712607305,(r4:1,r2:1)0.49:0.0119056987864)0.64:0.0222374975179)0.45:0.0103317033011,r5:1)0.48:0.0113479432092):0); 0.6319385907526028 0.5714285714285714
1000 10000.0 11 12.784617869716284 3.389 974 (r2:1,(r3:1,(r7:1,(r4:1,(r0:1,(r5:1,(r1:1,r6:1)0.69:0.0244728565187)0.53:0.0146548111561)0.38:0.00316851761792)0.68:0.0228617471902)0.61:0.0186544355718):0); 0.8105640835310975 0.7571428571428571 (r5:1,(((r7:1,r2:1)0.5:0.012392320101,(r4:1,(r0:1,r3:1)0.4:0.0051118322176)0.45:0.00908311701298)0.49:0.0119006733114,(r6:1,r1:1)0.59:0.0204594193598):0); 0.8065354390317213 0.7571428571428571
1000 10000.0 12 12.471895903885416 3.464 984 (r1:1,(r4:1,((r6:1,r3:1)0.45:0.00840183009985,((r2:1,r5:1)0.55:0.0157959295758,(r0:1,r7:1)0.56:0.0159862426414)0.41:0.00670323574976)0.52:0.0148449071551):0); 0.8620901204996485 0.8285714285714285 (r1:1,((r3:1,(r6:1,((r0:1,r7:1)0.45:0.00836491633163,(r5:1,r2:1)0.5:0.0122602815043)0.47:0.0101337890948)0.43:0.00743946328518)0.45:0.00860960978999,r4:1):0); 0.8561615637543033 0.8
1000 10000.0 13 12.678322800611841 3.357 975 (r2:1,(((r7:1,r4:1)0.41:0.005949230059,(r5:1,r3:1)0.49:0.01086046018)0.46:0.00915768803455,((r0:1,r1:1)0.49:0.0113529124126,r6:1)0.38:0.00331467829052):0); 0.5970407375042928 0.5571428571428572 (r5:1,(r3:1,((r7:1,r4:1)0.55:0.0159885668369,((r2:1,(r1:1,r0:1)0.65:0.0223185229557)0.53:0.016334240961,r6:1)0.36:0.00189841340872)0.57:0.0182604429388):0); 0.49587019767360646 0.44285714285714284
1000 10000.0 14 12.44323229602355 3.461 978 (r4:1,(r2:1,((r0:1,(r1:1,r3:1)0.61:0.0207941276613)0.59:0.0178913680033,(r6:1,(r7:1,r5:1)0.76:0.0281651684059)0.38:0.0035026305512)0.42:0.00634710665968):0); 0.5358147002261797 0.3857142857142857 (r0:1,(r3:1,(((r4:1,r6:1)0.36:0.00181791576235,(r2:1,(r7:1,r5:1)0.72:0.0262961221011)0.39:0.00423729447551)0.55:0.0154785970528,r1:1)0.62:0.0212912670149):0); 0.6513152345098542 0.5428571428571429
1000 10000.0 15 12.380633399238185 3.469 982 (r1:1,(r3:1,(((r2:1,r6:1)0.49:0.0118076990497,(r7:1,r0:1)0.72:0.0259327668783)0.4:0.005949230059,(r4:1,r5:1)0.5:0.0125661367045)0.86:0.0367562200452):0); 0.7800365553396398 0.7285714285714286 (r6:1,((r1:1,r3:1)0.84:0.0360177858599,((r0:1,(r2:1,r7:1)0.54:0.0153652190641)0.41:0.00578457445017,(r5:1,r4:1)0.51:0.0130713083925)0.42:0.00721643543596):0); 0.8168048433245289 0.7428571428571429
1000 10000.0 16 12.591375157454346 3.469 981 (r4:1,(r7:1,(r3:1,(r2:1,((r1:1,r0:1)0.45:0.0106711200298,(r6:1,r5:1)0.62:0.0198001297968)0.53:0.0156056527224)0.43:0.00670323574976)0.55:0.0159101130688):0); 0.5656659041702266 0.5285714285714286 (r2:1,(r5:1,((r3:1,r7:1)0.57:0.0166921924941,(r6:1,(r4:1,(r1:1,r0:1)0.67:0.0238157120361)0.41:0.00557104504946)0.52:0.0139361025872)0.41:0.00594305779146):0); 0.6668364440009129 0.6428571428571428
1000 10000.0 17 12.875726685315888 3.383 976 (r7:1,(r4:1,((r3:1,(r2:1,r1:1)0.6:0.0217125419306)0.42:0.00601204215663,(r0:1,(r6:1,r5:1)0.72:0.0257021129735)0.53:0.0137048728306)0.57:0.0159439477189):0); 0.6346913319524357 0.5428571428571429 (r3:1,((r1:1,r2:1)0.58:0.0194429797469,((r4:1,r7:1)0.39:0.00451360785288,(r0:1,(r5:1,r6:1)0.53:0.0142134372501)0.45:0.00926199260278)0.42:0.00645591452983):0); 0.6346913319524357 0.5428571428571429
1000 10000.0 18 12.572739323501429 3.386 972 (r0:1,(r6:1,(r4:1,(r5:1,((r2:1,r7:1)0.45:0.0085907410289,(r3:1,r1:1)0.49:0.0129455713515)0.67:0.0227339924791)0.52:0.0138947883188)0.42:0.00711818134126):0); 0.8671025104244673 0.8 (r0:1,((r1:1,r3:1)0.46:0.0107705653292,(r7:1,((r5:1,r6:1)0.42:0.00845628769854,(r4:1,r2:1)0.56:0.0195200382454)0.44:0.00881533690468)0.41:0.0054994341021):0); 0.6714553541808019 0.5571428571428572
1000 10000.0 19 12.594942951700265 3.448 973 (r0:1,((r1:1,(r7:1,r3:1)0.35:0.00139958035442)0.55:0.0148449071551,((r4:1,r6:1)0.47:0.0102925472447,(r2:1,r5:1)0.56:0.0154154120674)0.4:0.00576081743479):0); 0.7863658572576832 0.7285714285714286 (r7:1,((r0:1,(r2:1,r5:1)0.42:0.00677968698538)0.37:0.00246905467263,((r6:1,r4:1)0.42:0.00703591202869,(r3:1,r1:1)0.63:0.0208977872118)0.4:0.00516566877211):0); 0.8001058205038781 0.7
1000 10000.0 1 12.489814668003135 3.485 972 (r2:1,((r6:1,(r1:1,r0:1)0.48:0.0128696729036)0.53:0.0152252075971,(r3:1,(r4:1,(r7:1,r5:1)0.46:0.00923330526019)0.4:0.00500752173062)0.4:0.00484019971902):0); 0.4722415767170175 0.4285714285714286 (r3:1,(r5:1,(r7:1,(r4:1,(r2:1,(r6:1,(r0:1,r1:1)0.69:0.025431919504)0.44:0.0129741671445)0.42:0.00633194410748)0.5:0.0157420001538)0.39:0.00449438958784):0); 0.6269843286380625 0.5571428571428572
