1000 100000.0 0 13.565470221442341 63.999 853 (r0:1,((r2:1,(r4:1,(r3:1,(r5:1,(r7:1,r6:1)1:0.146487807082)0.67:0.0230534098645)0.45:0.0108815001875)1:0.138969299557)1:0.132019762771,r1:1):0); 0.1790338045715902 0.12857142857142856 (r2:1,((r1:1,r0:1)1:0.265746601502,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.286284448185)0.47:0.00972495665144)0.86:0.0371449469694)1:0.206871197587):0); 0.0 0.0
1000 100000.0 10 13.662257065967374 63.639 875 (r6:1,(r7:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.140951460761)1:0.125288025876)0.54:0.0142536160115,r4:1)0.51:0.0131353426776)1:0.126562723308):0); 0.0 0.0 (r4:1,(r5:1,((r7:1,r6:1)1:0.212415217331,((r2:1,(r1:1,r0:1)1:0.222145048985)1:0.215663480048,r3:1)0.58:0.0167478573012)0.51:0.0138947883188):0); 0.19443359141936595 0.11428571428571432
1000 100000.0 11 13.673453908184753 63.49 867 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.12181212055)0.79:0.0305570525754)0.6:0.0208621294293)1:0.170232092585)1:0.164342298529):0); 0.0 0.0 (r5:1,((r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.238368758911)1:0.201586865934)0.71:0.0266592471137)0.93:0.0447554822881,(r6:1,r7:1)1:0.165402556625):0); 0.0 0.0
1000 100000.0 12 13.620319366211211 63.776 869 (r1:1,(r0:1,(r2:1,((r3:1,r4:1)0.46:0.0105449131766,(r5:1,(r6:1,r7:1)1:0.126222645087)0.5:0.0119340653859)1:0.134959556249)1:0.128946514664):0); 0.20410776171712283 0.12857142857142856 (r6:1,(r7:1,(r5:1,((r2:1,(r0:1,r1:1)1:0.2677031664)1:0.211874864545,(r3:1,r4:1)0.69:0.0242681272724)0.74:0.0279853654181)1:0.233436098559):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 13 13.718936934389921 63.145 879 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.0970699690838)1:0.16403326822)0.49:0.0112182005274)0.43:0.0101033145826)1:0.142678278665):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.238749204037)1:0.242502859454)0.84:0.0372193856633)0.51:0.0202485865939)1:0.211720531649):0); 0.0 0.0
1000 100000.0 14 13.642012543664178 63.808 853 (r4:1,(r3:1,((r2:1,(r0:1,r1:1)1:0.163283163391)1:0.152403954492,(r5:1,(r6:1,r7:1)1:0.142678278665)0.78:0.0302995860446)0.52:0.0129034048359):0); 0.20410776171712283 0.12857142857142856 (r3:1,((r2:1,(r1:1,r0:1)1:0.242943681111)1:0.224299313856,(r4:1,((r7:1,r6:1)1:0.212461546873,r5:1)0.84:0.0355909451027)0.76:0.0288847038226):0); 0.0 0.0
1000 100000.0 15 13.709311502217616 63.386 869 (r2:1,((r1:1,r0:1)1:0.135102484857,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.109030244547)0.48:0.0219039844506)0.9:0.0414743328988)1:0.140692695071):0); 0.0 0.0 (r3:1,((r4:1,(r5:1,(r6:1,r7:1)1:0.223268434237)0.93:0.0457353941745)0.63:0.021372290141,(r2:1,(r1:1,r0:1)1:0.204340424351)1:0.240129532203):0); 0.0 0.0
1000 100000.0 16 13.640193290750522 63.453 883 (r5:1,((r4:1,(r7:1,r6:1)1:0.136132174325)0.48:0.0119972545426,(r3:1,((r0:1,r1:1)1:0.114728265661,r2:1)1:0.166906515859)0.4:0.00550965581097):0); 0.17556643393915275 0.11428571428571432 (r5:1,(((r6:1,r7:1)1:0.259122770543,(r2:1,(r1:1,r0:1)1:0.230035377352)1:0.247379693428)0.47:0.0111761067846,(r4:1,r3:1)0.45:0.0122626926118):0); 0.362141354931442 0.30000000000000004
1000 100000.0 17 13.600199705915532 63.834 878 (r4:1,(r3:1,((r2:1,(r0:1,r1:1)1:0.150660274887)1:0.159848700942,((r6:1,r7:1)1:0.157653310378,r5:1)0.73:0.0264455216646)0.61:0.0215424015644):0); 0.20410776171712283 0.12857142857142856 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.193007822717)1:0.191781748045)0.8:0.0316305438866)0.78:0.0301708776334)1:0.198475304899,r6:1):0); 0.0 0.0
1000 100000.0 18 13.635193710135097 64.319 876 (r0:1,(r1:1,(r2:1,((r4:1,r3:1)0.5:0.0154365481309,(r5:1,(r7:1,r6:1)1:0.140261567667)0.48:0.0105449131766)1:0.159409237081)1:0.12962864293):0); 0.20410776171712283 0.12857142857142856 (r6:1,(r7:1,(r5:1,((r2:1,(r1:1,r0:1)1:0.200670695462)1:0.243867556995,(r3:1,r4:1)0.44:0.0078562877963)0.56:0.0161131381431)1:0.224768247041):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 19 13.625784979839848 63.704 876 (r7:1,(r6:1,(r5:1,((r3:1,r4:1)0.63:0.0220529095309,((r0:1,r1:1)1:0.146140886003,r2:1)1:0.141124008427)0.91:0.0436460750546)1:0.104362013328):0); 0.20410776171712283 0.12857142857142856 (r2:1,(((r4:1,r3:1)0.6:0.021372290141,(r5:1,(r6:1,r7:1)1:0.237608302601)0.87:0.0389610066202)1:0.225393833549,(r0:1,r1:1)1:0.229658232335):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 1 13.655448467313562 63.324 864 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.120120931241)1:0.145447404699)0.69:0.0242681272724,(r5:1,(r6:1,r7:1)1:0.156951802107)0.45:0.00840183009985):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.274384268084)1:0.206871197587)0.72:0.0259754864033)0.7:0.0265096345032)1:0.21431649083):0); 0.0 0.0
1000 100000.0 20 13.634993862328356 63.73 866 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.157653310378)1:0.135316916079)0.63:0.0201823197499)0.79:0.0326836845997)1:0.137850683082):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,((r5:1,(r7:1,r6:1)1:0.239129793956)0.86:0.0371449469694,(r3:1,r4:1)0.4:0.00550965581097)1:0.210332606374)1:0.250230386411):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 21 13.654426907941076 62.937 866 (r3:1,((r2:1,(r1:1,r0:1)1:0.144061883175)1:0.133602752385,((r7:1,r6:1)1:0.129117003114,(r5:1,r4:1)0.61:0.0188452934787)0.79:0.0314587078178):0); 0.19443359141936595 0.11428571428571432 (r3:1,((r2:1,(r0:1,r1:1)1:0.26613760835)1:0.192462715044,(r4:1,(r5:1,(r6:1,r7:1)1:0.259511195485)0.65:0.0213297668063)0.66:0.0225636782489):0); 0.0 0.0
1000 100000.0 22 13.616349772737049 63.876 847 (r1:1,(r0:1,(r2:1,((r3:1,r4:1)0.68:0.0230747079849,(r5:1,(r6:1,r7:1)1:0.158355311109)0.51:0.0124396904756)1:0.152985857331)1:0.133388688379):0); 0.20410776171712283 0.12857142857142856 (r6:1,(r7:1,(((r3:1,r4:1)0.66:0.0230747079849,(r2:1,(r0:1,r1:1)1:0.281507369037)1:0.225080991375)0.97:0.0525559872475,r5:1)1:0.228527649965):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 23 13.566044237829965 64.214 882 (r5:1,((r6:1,r7:1)1:0.118432597225,((r2:1,(r0:1,r1:1)1:0.127583652443)1:0.164842835881,(r4:1,r3:1)0.43:0.0115550142726)0.51:0.0125661367045):0); 0.20410776171712283 0.12857142857142856 (r7:1,(r6:1,(r4:1,((r5:1,(r2:1,(r0:1,r1:1)1:0.249460859632)1:0.258872989101)0.8:0.0380842131841,r3:1)0.47:0.0102925472447)1:0.197744577793):0); 0.29942994635879155 0.24285714285714288
1000 100000.0 24 13.662412936826783 63.626 868 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.152403954492)1:0.124863487555)0.5:0.0123975452855)0.38:0.00312676134926)1:0.142678278665):0); 0.0 0.0 (r3:1,((r4:1,(r5:1,(r7:1,r6:1)1:0.23267938267)0.83:0.0338455747382)0.55:0.0159439477189,(r2:1,(r0:1,r1:1)1:0.247923580313)1:0.18951520129):0); 0.0 0.0
1000 100000.0 25 13.656947892227498 64.037 864 (r7:1,((r4:1,((r3:1,r5:1)0.43:0.00819197091459,(r2:1,(r1:1,r0:1)1:0.0970699690838)1:0.182521376956)0.61:0.0210746647641)1:0.124184600903,r6:1):0); 0.29198726827086396 0.24285714285714288 (r4:1,(r3:1,((r2:1,(r0:1,r1:1)1:0.271627818219)1:0.238146899411,((r6:1,r7:1)1:0.215802927372,r5:1)0.87:0.0388311786421)0.63:0.0206921336788):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 26 13.670405436788226 62.989 848 (r0:1,(r1:1,((r3:1,((r6:1,r7:1)1:0.167792255509,(r4:1,r5:1)0.49:0.0127558360317)0.46:0.0100402449852)1:0.137893683663,r2:1)1:0.149615524662):0); 0.19443359141936595 0.11428571428571432 (r5:1,((r7:1,r6:1)1:0.277543828374,((r2:1,(r0:1,r1:1)1:0.271821311729)1:0.217712226399,(r4:1,r3:1)0.38:0.00345115844907)0.75:0.0279614449076):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 27 13.685906725300663 63.438 860 (r6:1,((r5:1,((r4:1,r3:1)0.4:0.00467290569939,(r2:1,(r1:1,r0:1)1:0.183241060327)1:0.114728265661)0.44:0.00915768803455)1:0.165402556625,r7:1):0); 0.20410776171712283 0.12857142857142856 (r0:1,(r1:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.204708139009)0.52:0.0131353426776)0.58:0.0176371414861)1:0.197698925073,r2:1)1:0.279920067116):0); 0.0 0.0
1000 100000.0 28 13.625253405687586 63.06 864 (r6:1,(r7:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.136132174325)1:0.151313798492)0.42:0.00651468102119,r4:1)0.61:0.0188452934787)1:0.126562723308):0); 0.0 0.0 (r5:1,(r3:1,(r4:1,((r2:1,(r1:1,r0:1)1:0.214687892877)1:0.231828761192,(r7:1,r6:1)1:0.264748055823)0.42:0.00651468102119)0.41:0.00530877192118):0); 0.4046744138620866 0.3285714285714286
