1000 1000.0 0 11.89155231312674 3.787 943 (r6:1,(r7:1,((r4:1,r5:1)1:0.284440578528,((r0:1,r1:1)0.89:0.0400652254976,(r3:1,r2:1)1:0.229234114141)0.98:0.0587610371916)0.97:0.0524243823253):0); 0.0 0.0 (r1:1,(r0:1,((r2:1,r3:1)1:0.210076607028,((r6:1,r7:1)0.75:0.0289039400316,(r5:1,r4:1)1:0.292425164348)0.97:0.0558075973223)0.96:0.0512862871456):0); 0.0 0.0
1000 1000.0 10 12.22618438605598 3.967 943 (r1:1,(r0:1,(((r5:1,r4:1)1:0.223830600465,(r6:1,r7:1)0.78:0.0299778460721)0.98:0.0563800836859,(r2:1,r3:1)1:0.215431111045)0.68:0.0242041579777):0); 0.0 0.0 (r2:1,(r3:1,((r0:1,r1:1)0.77:0.0346389846232,((r6:1,r7:1)0.78:0.0324309730956,(r4:1,r5:1)1:0.234231336005)0.99:0.0647615699534)1:0.21847007091):0); 0.0 0.0
1000 1000.0 11 12.222469934977266 3.88 950 (r5:1,(((r6:1,r7:1)0.51:0.0127558360317,((r2:1,r3:1)1:0.242036564962,(r1:1,r0:1)0.52:0.0131353426776)0.98:0.0591584145066)1:0.209177471672,r4:1):0); 0.0 0.0 (r7:1,(r6:1,((r4:1,r5:1)1:0.244880271306,((r0:1,r1:1)0.87:0.0389154162497,(r3:1,r2:1)1:0.251070610468)0.97:0.0555226330117)0.57:0.016903692949):0); 0.0 0.0
1000 1000.0 12 12.080070537924968 3.934 950 (r1:1,(r0:1,((r6:1,(r7:1,(r4:1,r5:1)1:0.237228291196)0.41:0.00708045189909)0.9:0.0405202584954,(r3:1,r2:1)1:0.242752640896)0.82:0.0342331716422):0); 0.20088165898146854 0.11428571428571432 (r7:1,(r6:1,(((r3:1,r2:1)1:0.249355268586,(r0:1,r1:1)0.48:0.0147973105881)0.98:0.0611025457736,(r4:1,r5:1)1:0.218040117991)0.35:0.00118600527838):0); 0.0 0.0
1000 1000.0 13 11.951945547366291 3.918 949 (r1:1,(r0:1,((r7:1,(r6:1,(r4:1,r5:1)1:0.241416380318)0.72:0.0261250191138)0.8:0.0327481986477,(r3:1,r2:1)1:0.288681572785)0.9:0.0412357289477):0); 0.20088165898146854 0.11428571428571432 (r1:1,(r0:1,((r2:1,r3:1)1:0.278313395363,(r7:1,((r5:1,r4:1)1:0.21185586092,r6:1)0.51:0.0195415750442)0.81:0.0340076114784)0.85:0.0392683522396):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 14 11.814984107742887 3.857 949 (r4:1,(r5:1,((r6:1,r7:1)0.84:0.0350088164358,((r0:1,r1:1)0.76:0.0292060922233,(r3:1,r2:1)1:0.246580396766)0.97:0.0543013895447)1:0.221957940742):0); 0.0 0.0 (r0:1,(r1:1,((r3:1,r2:1)1:0.234762377559,((r6:1,r7:1)0.81:0.0338561806541,(r4:1,r5:1)1:0.249576073642)0.99:0.0626328198873)0.67:0.0236721184043):0); 0.0 0.0
1000 1000.0 15 11.979374890889048 3.933 945 (r3:1,(r2:1,((r0:1,r1:1)0.95:0.0482876680641,(r7:1,(r6:1,(r5:1,r4:1)1:0.265355747481)0.65:0.0240122746422)0.63:0.0200549068682)1:0.243947241445):0); 0.20088165898146854 0.11428571428571432 (r4:1,(r5:1,(r6:1,(r7:1,((r1:1,r0:1)0.87:0.0385440516062,(r2:1,r3:1)1:0.246807267074)0.75:0.0289693366894)0.56:0.016486273617)1:0.288523823343):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 16 11.91740180042266 3.842 942 (r7:1,(r6:1,((r4:1,r5:1)1:0.285187683531,((r2:1,r3:1)1:0.275271885875,(r1:1,r0:1)0.56:0.0161765919329)0.73:0.0291096648571)0.44:0.00764654305488):0); 0.0 0.0 (r4:1,(r5:1,((r7:1,r6:1)0.43:0.010038309323,(r1:1,((r3:1,r2:1)1:0.261636220499,r0:1)0.45:0.00865577441621)0.88:0.0405910082629)1:0.281494992885):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 17 11.939950862059337 3.9 951 (r0:1,((r1:1,(r2:1,r3:1)1:0.259511195485)0.78:0.0311365947533,((r6:1,r7:1)0.6:0.0228617471902,(r5:1,r4:1)1:0.197698925073)0.86:0.0372745561978):0); 0.20088165898146854 0.11428571428571432 (r6:1,(r7:1,((r0:1,(r1:1,(r3:1,r2:1)1:0.266998163641)0.76:0.0303427405497)0.91:0.0430289555755,(r5:1,r4:1)1:0.196272021035)0.65:0.0215090432316):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 18 12.080521172835594 3.879 956 (r7:1,(r6:1,((r4:1,r5:1)1:0.270596105238,((r0:1,r1:1)0.69:0.024972059724,(r3:1,r2:1)1:0.289682073118)0.92:0.0428962909898)0.45:0.00934674182091):0); 0.0 0.0 (r0:1,(((r3:1,r2:1)1:0.276810264537,((r7:1,r6:1)0.7:0.0251959731516,(r4:1,r5:1)1:0.259744404441)0.96:0.0523786058623)0.49:0.0114966578465,r1:1):0); 0.0 0.0
1000 1000.0 19 12.422034656594471 3.825 944 (r1:1,(r0:1,(((r6:1,r7:1)0.85:0.0355909451027,(r4:1,r5:1)1:0.265942085815)0.75:0.0295918946972,(r3:1,r2:1)1:0.247299735006)0.48:0.0102925472447):0); 0.0 0.0 (r0:1,(r1:1,((r3:1,r2:1)1:0.232828378471,((r7:1,r6:1)0.6:0.0196745150433,(r5:1,r4:1)1:0.2408054743)0.9:0.0424993135173)0.87:0.039109431587):0); 0.0 0.0
