10 10000.0 0 11.977479923315101 28.0 10 (r5:1,(r4:1,(r2:1,((r1:1,(r3:1,r0:1)0.45:0.0465200156349)0.71:0.214656937437,(r6:1,r7:1)0.51:0.0787808778531)0.5:0.107888962011)0.38:0):0); 0.42952973816338563 0.3571428571428571 (r7:1,((r6:1,r4:1)0.59:0.136132174325,(r1:1,(r5:1,((r2:1,r0:1)0.38:0,r3:1)0.72:0.243230309881)0.49:0.0625203569813)0.55:0.120627987789):0); 0.6417487229884411 0.5
10 10000.0 10 11.906126437812592 25.9 10 (r6:1,((r4:1,r5:1)0.64:0.167880872639,((r0:1,(r3:1,r2:1)0.38:0)0.59:0.133531392625,(r1:1,r7:1)0.37:0)0.5:0.070617567214):0); 0.42952973816338563 0.3571428571428571 (r1:1,((r5:1,r4:1)0.49:0.105360515658,(r0:1,(r6:1,(r7:1,(r3:1,r2:1)0.41:0.0183491386682)0.49:0.0645385211376)0.48:0.0625203569813)0.45:0.0828876598058):0); 0.501611312378159 0.4571428571428572
10 10000.0 11 11.29890662852112 32.8 10 (r0:1,(r2:1,(((r4:1,r5:1)0.98:0.670674324708,(r3:1,r1:1)0.49:0.101579792818)0.62:0.159848700942,(r6:1,r7:1)0.51:0.0828876598058)0.39:0):0); 0.5270806880563444 0.4714285714285714 (r2:1,(((r6:1,r7:1)0.41:0.0152674721308,(r1:1,(r4:1,r5:1)0.85:0.382992252256)0.59:0.159848700942)0.76:0.257829109302,(r3:1,r0:1)0.43:0.0465200156349):0); 0.42952973816338563 0.3571428571428571
10 10000.0 12 11.440620339202722 27.6 10 (r2:1,(r3:1,(r1:1,((r0:1,r7:1)0.58:0.182321556794,(r5:1,(r6:1,r4:1)0.49:0.136132174325)0.5:0.070617567214)0.55:0.120627987789)0.62:0.200670695462):0); 0.5287956627038696 0.4285714285714286 (r3:1,(r2:1,(r7:1,((r4:1,(r5:1,r6:1)0.54:0.105360515658)0.66:0.185403223331,(r0:1,r1:1)0.43:0.0261111440037)0.47:0.0508916072964)0.66:0.197530975457):0); 0.42952973816338563 0.3571428571428571
10 10000.0 13 12.112749177156584 25.0 10 (r3:1,((r2:1,(r7:1,(r1:1,r6:1)0.57:0.136132174325)0.45:0.0465200156349)0.43:0.0307716586668,((r0:1,r5:1)0.53:0.167880872639,r4:1)0.45:0.0645385211376):0); 0.74246061689809 0.6714285714285715 (r4:1,((r7:1,(r6:1,(r5:1,(r0:1,(r3:1,r2:1)0.84:0.343771539103)0.38:0)0.53:0.0953101798043)0.43:0.0465200156349)0.47:0.0755075525081,r1:1):0); 0.5987427216782186 0.5571428571428572
10 10000.0 14 11.909308111827306 26.2 10 (r4:1,(r1:1,(r6:1,((r7:1,r0:1)0.51:0.146603474192,(r2:1,(r3:1,r5:1)0.54:0.105360515658)0.57:0.120627987789)0.47:0.0584962066816)0.37:0):0); 0.7942710953171085 0.7428571428571429 (r7:1,(r6:1,((r2:1,(r0:1,r1:1)0.37:0)0.4:0.0114286958236,((r4:1,r5:1)0.87:0.382992252256,r3:1)0.45:0.0465200156349)0.37:0):0); 0.3017219200975566 0.2857142857142857
10 10000.0 15 12.022713980028781 26.6 10 (r4:1,(r5:1,((r1:1,r3:1)0.55:0.159848700942,(r6:1,((r0:1,r2:1)0.59:0.136132174325,r7:1)0.48:0.0645385211376)0.39:0)0.78:0.287682072452):0); 0.6471121033134543 0.5857142857142856 (r7:1,((r1:1,r0:1)0.55:0.136132174325,((r3:1,(r6:1,r2:1)0.55:0.105360515658)0.58:0.133531392625,(r4:1,r5:1)0.59:0.146603474192)0.55:0.107888962011):0); 0.4848445812605791 0.4714285714285714
10 10000.0 16 12.7163386559631 28.5 10 (r2:1,(((r6:1,r7:1)0.91:0.434285546644,(r0:1,(r5:1,(r1:1,r4:1)0.47:0.105360515658)0.47:0.0645385211376)0.46:0.0584962066816)0.85:0.358299639666,r3:1):0); 0.4438443999945613 0.41428571428571426 (r5:1,(r7:1,(((r0:1,r1:1)0.7:0.238411023445,(r4:1,(r3:1,r2:1)0.66:0.200670695462)0.43:0.0346855579879)0.55:0.107888962011,r6:1)0.45:0.0465200156349):0); 0.42952973816338574 0.3571428571428571
10 10000.0 17 12.058560531441842 28.7 10 (r4:1,((r6:1,(r7:1,(r0:1,r1:1)0.63:0.167880872639)0.4:0.0114286958236)0.58:0.12921173148,(r5:1,(r3:1,r2:1)0.92:0.466373861195)0.42:0.0288204385355):0); 0.5016113123781591 0.4571428571428572 (r4:1,(r7:1,((r2:1,r3:1)0.74:0.310671590676,((r6:1,r5:1)0.48:0.0828876598058,(r1:1,r0:1)0.46:0.0465200156349)0.57:0.120627987789)0.55:0.101579792818):0); 0.5270806880563444 0.4714285714285714
10 10000.0 18 12.590737844981268 24.6 10 (r1:1,(r7:1,(r4:1,(r5:1,(r6:1,(r0:1,(r3:1,r2:1)0.45:0.0465200156349)0.63:0.159848700942)0.41:0.0307716586668)0.71:0.22172410466)0.68:0.200670695462):0); 0.5987427216782186 0.5571428571428572 (r6:1,(r7:1,(r0:1,((r2:1,r3:1)0.66:0.238411023445,((r4:1,r5:1)0.55:0.105360515658,r1:1)0.48:0.0828876598058)0.72:0.228841572429)0.54:0.105360515658):0); 0.41816597650948256 0.4
10 10000.0 19 11.75184710104666 32.2 10 (r0:1,(r6:1,(r7:1,((r4:1,r5:1)0.68:0.200670695462,(r1:1,(r3:1,r2:1)0.54:0.105360515658)0.45:0.0465200156349)0.53:0.0953101798043)0.5:0.0755075525081):0); 0.36840052484865327 0.3571428571428571 (r4:1,((r6:1,(r1:1,(r3:1,(r2:1,r0:1)0.38:0)0.73:0.243230309881)0.46:0.0465200156349)0.54:0.101579792818,(r7:1,r5:1)0.49:0.136132174325):0); 0.5034608906372424 0.37142857142857144
10 10000.0 1 12.316062778233722 23.7 10 (r2:1,(r3:1,(((r1:1,r7:1)0.36:0,(r0:1,r6:1)0.49:0.0645385211376)0.63:0.159848700942,(r5:1,r4:1)0.99:0.776034840366)0.77:0.2652092166):0); 0.5270806880563443 0.4714285714285714 (r4:1,(r5:1,(r6:1,((r0:1,(r7:1,r1:1)0.59:0.136132174325)0.52:0.120627987789,(r3:1,r2:1)0.51:0.12921173148)0.69:0.200670695462)0.96:0.557345639401):0); 0.36840052484865327 0.3571428571428571
10 10000.0 20 13.023895428203119 25.3 10 (r5:1,(r4:1,((r2:1,r3:1)0.94:0.516523644881,((r1:1,r0:1)0.56:0.120627987789,(r7:1,r6:1)0.52:0.0828876598058)0.45:0.0465200156349)0.62:0.159848700942):0); 0.23556501753714132 0.22857142857142854 (r0:1,(r1:1,((r4:1,(r7:1,(r5:1,r6:1)0.38:0)0.63:0.159848700942)0.52:0.0828876598058,(r2:1,r3:1)0.62:0.159848700942)0.38:0):0); 0.2672083416810133 0.18571428571428572
10 10000.0 21 12.200534489765307 25.9 10 (r2:1,(r3:1,(r7:1,((r1:1,r0:1)0.46:0.0465200156349,(r6:1,(r4:1,r5:1)0.95:0.557345639401)0.41:0.0114286958236)0.44:0.0346855579879)0.85:0.343771539103):0); 0.3017219200975567 0.2857142857142857 (r0:1,((r1:1,(r7:1,(r5:1,r4:1)0.67:0.200670695462)0.9:0.434285546644)0.38:0,(r2:1,(r6:1,r3:1)0.45:0.0465200156349)0.53:0.101579792818):0); 0.5557367203679963 0.48571428571428577
10 10000.0 22 12.685455655215085 28.5 10 (r2:1,(((r0:1,r1:1)0.64:0.22172410466,((r6:1,r7:1)0.68:0.200670695462,(r4:1,r5:1)0.83:0.334202088087)0.46:0.0645385211376)0.93:0.516523644881,r3:1):0); 0.0 0.0 (r4:1,((r7:1,(r6:1,(r0:1,(r1:1,(r3:1,r2:1)0.99:0.893817876022)0.39:0)0.51:0.0953101798043)0.54:0.120627987789)0.87:0.390866308687,r5:1):0); 0.3091980720371233 0.22857142857142854
10 10000.0 23 12.212169650803327 31.2 10 (r2:1,(r3:1,((r1:1,r6:1)0.54:0.120627987789,(r4:1,((r7:1,r0:1)0.64:0.167880872639,r5:1)0.43:0.0465200156349)0.43:0.0229895182247)0.74:0.243230309881):0); 0.6944710710006884 0.6428571428571428 (r0:1,((r5:1,r7:1)0.7:0.234572247138,((r4:1,(r1:1,r2:1)0.42:0.0183491386682)0.44:0.0346855579879,(r6:1,r3:1)0.56:0.112117298121)0.45:0.0584962066816):0); 0.7752027397042327 0.7571428571428571
