1000 1000000.0 0 12.119625246296568 2140.254 80 (r5:1,(r4:1,(r6:1,(r7:1,((r1:1,r0:1)0.7:0.0247800289985,(r3:1,r2:1)1:0.221490323245)1:0.0695460428682)0.47:0.00972495665144)1:0.264184101184):0); 0.20088165898146854 0.11428571428571432 (r7:1,(((r4:1,r5:1)1:5.28689434688,((r3:1,r2:1)1:4.59374716632,(r0:1,r1:1)1:0.717927209558)1:0.734578126687)1:0.686178511244,r6:1):0); 0.0 0.0
1000 1000000.0 10 12.118965947399948 2137.586 72 (r0:1,(r1:1,((r3:1,r2:1)1:0.236089122666,((r7:1,r6:1)0.66:0.0217125419306,(r5:1,r4:1)1:0.227586473425)0.9:0.0413333327738)0.54:0.0146548111561):0); 0.0 0.0 (r1:1,(((r3:1,r2:1)1:5.49168875953,((r4:1,r5:1)1:5.81014249065,(r7:1,r6:1)1:0.74045243377)1:0.753896685299)1:0.749130989226,r0:1):0); 0.0 0.0
1000 1000000.0 11 12.12095608647291 2135.539 72 (r0:1,(r1:1,(((r4:1,r5:1)1:0.313999380769,(r6:1,r7:1)0.79:0.0317164729951)0.88:0.0384093540824,(r3:1,r2:1)1:0.292689594182)0.54:0.0144647512867):0); 0.0 0.0 (r6:1,(((r4:1,r5:1)1:4.86915914618,((r1:1,r0:1)1:0.769948394309,(r3:1,r2:1)1:5.32463467487)1:0.762291697625)1:0.692522999777,r7:1):0); 0.0 0.0
1000 1000000.0 12 12.123958008083239 2145.282 77 (r4:1,(((r6:1,r7:1)0.72:0.0257405515966,((r1:1,r0:1)0.75:0.0299778460721,(r2:1,r3:1)1:0.226411247059)0.97:0.0537082697171)1:0.227116217127,r5:1):0); 0.0 0.0 (r0:1,(r1:1,((r2:1,r3:1)1:5.11699531009,((r4:1,r5:1)1:5.40467738254,(r7:1,r6:1)1:0.705713317264)1:0.694021688705)1:0.668113503846):0); 0.0 0.0
1000 1000000.0 13 12.12179022037785 2136.193 74 (r2:1,(r3:1,(r0:1,(r1:1,(r6:1,(r7:1,(r4:1,r5:1)1:0.26223440277)0.4:0.00481928643595)0.98:0.0586286131697)0.41:0.00726911334668)1:0.215431111045):0); 0.3091980720371233 0.22857142857142854 (r3:1,(((r0:1,r1:1)1:0.726024419791,((r5:1,r4:1)1:6.0978245631,(r7:1,r6:1)1:0.700416293907)1:0.679134923273)1:4.91916956676,r2:1):0); 0.0 0.0
1000 1000000.0 15 12.121754120153229 2126.997 82 (r1:1,(r0:1,(((r4:1,r5:1)1:0.279226414014,(r7:1,r6:1)0.44:0.0118076990497)0.97:0.0553896904188,(r2:1,r3:1)1:0.277988943246)0.64:0.0205646558279):0); 0.0 0.0 (r1:1,(((r2:1,r3:1)1:5.32463467487,((r7:1,r6:1)1:0.671040692179,(r5:1,r4:1)1:4.97181330024)1:0.705334026534)1:0.689905686636,r0:1):0); 0.0 0.0
1000 1000000.0 16 12.125394880979158 2130.435 73 (r7:1,(r6:1,((r4:1,r5:1)1:0.260094115933,((r3:1,r2:1)1:0.234193387501,(r1:1,r0:1)0.61:0.0186544355718)0.76:0.0287240483479)0.92:0.0435808541186):0); 0.0 0.0 (r0:1,(((r3:1,r2:1)1:5.58699893933,((r5:1,r4:1)1:5.81014249065,(r7:1,r6:1)1:0.694396712148)1:0.729514824731)1:0.657573700662,r1:1):0); 0.0 0.0
1000 1000000.0 17 12.117687916518586 2135.626 81 (r6:1,(r7:1,((r4:1,r5:1)1:0.224768247041,((r3:1,r2:1)1:0.207793069052,(r1:1,r0:1)0.46:0.00953583135537)0.99:0.0683419488034)0.65:0.0213297668063):0); 0.0 0.0 (r7:1,(((r5:1,r4:1)1:5.25052670271,((r2:1,r3:1)1:5.81014249065,(r1:1,r0:1)1:0.746756631165)1:0.688413149045)1:0.751510998283,r6:1):0); 0.0 0.0
1000 1000000.0 18 12.123962413428487 2136.83 76 (r0:1,(r1:1,(((r5:1,r4:1)1:0.23348341232,(r7:1,r6:1)0.97:0.0551917294165)0.99:0.061745223232,(r2:1,r3:1)1:0.280217494373)0.81:0.0321032453844):0); 0.0 0.0 (r0:1,(((r3:1,r2:1)1:5.81014249065,((r6:1,r7:1)1:0.756288077431,(r4:1,r5:1)1:5.40467738254)1:0.727962029388)1:0.743599564613,r1:1):0); 0.0 0.0
1000 1000000.0 19 12.125544778769225 2133.33 73 (r1:1,((r6:1,(r7:1,(r4:1,r5:1)1:0.30725295837)0.42:0.00651468102119)0.96:0.0519419790707,(r0:1,(r3:1,r2:1)1:0.216174881998)0.56:0.0186544355718):0); 0.3091980720371233 0.22857142857142854 (r0:1,(r1:1,((r2:1,r3:1)1:6.0978245631,((r5:1,r4:1)1:4.67070820746,(r7:1,r6:1)1:0.71332950031)1:0.653244689573)1:0.760286483398):0); 0.0 0.0
1000 1000000.0 1 12.121257873585602 2131.072 72 (r2:1,(r3:1,((r1:1,((r4:1,r5:1)1:0.257667519256,(r6:1,r7:1)0.81:0.0332644609204)0.99:0.068475665458)0.43:0.00689182603792,r0:1)1:0.230035377352):0); 0.20088165898146854 0.11428571428571432 (r7:1,(((r4:1,r5:1)1:5.81014249065,((r0:1,r1:1)1:0.63046790423,(r3:1,r2:1)1:5.25052670271)1:0.738098568422)1:0.749923696362,r6:1):0); 0.0 0.0
1000 1000000.0 20 12.116489305127827 2143.809 70 (r6:1,(((r4:1,r5:1)1:0.243947241445,((r3:1,r2:1)1:0.230412664661,(r1:1,r0:1)0.7:0.0259327668783)0.95:0.0500584506223)0.85:0.0357850633213,r7:1):0); 0.0 0.0 (r0:1,(((r3:1,r2:1)1:5.11699531009,((r6:1,r7:1)1:0.692897461493,(r5:1,r4:1)1:5.25052670271)1:0.714859722491)1:0.717927209558,r1:1):0); 0.0 0.0
1000 1000000.0 21 12.11516449908771 2138.555 70 (r7:1,((r4:1,r5:1)1:0.241797986886,(r6:1,((r1:1,r0:1)0.72:0.0257405515966,(r2:1,r3:1)1:0.237988458469)0.9:0.0415611120892)0.4:0.00481928643595):0); 0.20088165898146854 0.11428571428571432 (r5:1,(((r6:1,r7:1)1:0.728350002235,((r0:1,r1:1)1:0.724863653555,(r2:1,r3:1)1:5.58699893933)1:0.700793723615)1:5.08622365142,r4:1):0); 0.0 0.0
1000 1000000.0 23 12.123870437923475 2139.611 75 (r6:1,(((r5:1,r4:1)1:0.28893160404,((r0:1,r1:1)0.6:0.0215211360539,(r2:1,r3:1)1:0.238463856624)0.94:0.0461276279508)0.71:0.0259327668783,r7:1):0); 0.0 0.0 (r0:1,(((r3:1,r2:1)1:5.58699893933,((r5:1,r4:1)1:5.44723699696,(r7:1,r6:1)1:0.712947310357)1:0.829536943003)1:0.764300940816,r1:1):0); 0.0 0.0
1000 1000000.0 24 12.117590950529607 2141.607 75 (r5:1,(r4:1,((r6:1,r7:1)0.57:0.0159862426414,((r0:1,(r2:1,r3:1)1:0.250230386411)0.46:0.00972495665144,r1:1)0.82:0.0345562838619)1:0.242991446868):0); 0.20088165898146854 0.11428571428571432 (r2:1,(((r0:1,r1:1)1:0.786261969801,((r4:1,r5:1)1:5.58699893933,(r7:1,r6:1)1:0.674344053597)1:0.75788552186)1:5.40467738254,r3:1):0); 0.0 0.0
1000 1000000.0 26 12.118516914804655 2138.393 72 (r3:1,(r2:1,((r1:1,r0:1)0.94:0.0475016589846,((r5:1,r4:1)1:0.241797986886,(r6:1,r7:1)0.58:0.0228617471902)0.88:0.0397728135846)1:0.275271885875):0); 0.0 0.0 (r6:1,(r7:1,(((r3:1,r2:1)1:6.50328967121,(r0:1,r1:1)1:0.687667714795)1:0.735750230748,(r4:1,r5:1)1:5.81014249065)1:0.693646805851):0); 0.0 0.0
1000 1000000.0 28 12.111954761356593 2138.212 73 (r2:1,(((r0:1,r1:1)0.53:0.0161765919329,((r6:1,r7:1)0.51:0.0123764733564,(r5:1,r4:1)1:0.253555770809)0.96:0.0499599915073)1:0.191781748045,r3:1):0); 0.0 0.0 (r0:1,(r1:1,((r3:1,r2:1)1:6.50328967121,((r5:1,r4:1)1:5.25052670271,(r6:1,r7:1)1:0.632581325235)1:0.679504404156)1:0.705713317264):0); 0.0 0.0
1000 1000000.0 29 12.112595297122509 2129.51 77 (r0:1,(r1:1,((r2:1,r3:1)1:0.236563618523,((r5:1,r4:1)1:0.249460859632,(r7:1,r6:1)0.95:0.0486809044042)0.94:0.0469125573475)0.39:0.00444292211084):0); 0.0 0.0 (r7:1,(((r5:1,r4:1)1:5.81014249065,((r3:1,r2:1)1:4.89385175877,(r1:1,r0:1)1:0.74438789733)1:0.761088086647)1:0.723318058193,r6:1):0); 0.0 0.0
1000 1000000.0 2 12.125873185758625 2139.546 72 (r6:1,(r7:1,((r1:1,(r0:1,(r2:1,r3:1)1:0.2184095198)0.52:0.0198001297968)0.79:0.0322322027642,(r5:1,r4:1)1:0.250422860668)0.61:0.0194180858571):0); 0.20088165898146854 0.11428571428571432 (r7:1,(r6:1,((r4:1,r5:1)1:5.25052670271,((r2:1,r3:1)1:5.58699893933,(r0:1,r1:1)1:0.698154702291)1:0.81546721613)1:0.64750167307):0); 0.0 0.0
1000 1000000.0 30 12.117577429275313 2137.648 78 (r6:1,(r7:1,((r4:1,r5:1)1:0.243230309881,((r3:1,r2:1)1:0.256698526932,(r1:1,r0:1)0.9:0.0420168264293)1:0.0709526541722)0.4:0.00519579246449):0); 0.0 0.0 (r0:1,(((r3:1,r2:1)1:5.81014249065,((r5:1,r4:1)1:6.0978245631,(r6:1,r7:1)1:0.694396712148)1:0.695147181227)1:0.627656939624,r1:1):0); 0.0 0.0
1000 1000000.0 31 12.121923257510149 2135.872 74 (r1:1,(((r3:1,r2:1)1:0.257909914118,(r6:1,(r7:1,(r4:1,r5:1)1:0.211720531649)0.48:0.0118076990497)0.98:0.058893478752)0.85:0.0355909451027,r0:1):0); 0.20088165898146854 0.11428571428571432 (r0:1,(((r3:1,r2:1)1:6.0978245631,((r4:1,r5:1)1:5.58699893933,(r7:1,r6:1)1:0.731848548077)1:0.694396712148)1:0.738098568422,r1:1):0); 0.0 0.0
1000 1000000.0 32 12.121587182264918 2144.681 70 (r0:1,(((r2:1,r3:1)1:0.216360911205,((r6:1,r7:1)0.82:0.0330708313332,(r4:1,r5:1)1:0.244903950439)0.93:0.0447554822881)0.89:0.0398702747221,r1:1):0); 0.0 0.0 (r0:1,(((r3:1,r2:1)1:6.0978245631,((r7:1,r6:1)1:0.738098568422,(r5:1,r4:1)1:5.94367388327)1:0.717159455202)1:0.674344053597,r1:1):0); 0.0 0.0
1000 1000000.0 33 12.119893430451095 2140.73 76 (r0:1,(r1:1,((r3:1,r2:1)1:0.233720014711,((r6:1,r7:1)0.56:0.0222869794763,(r5:1,r4:1)1:0.30582773162)0.97:0.054993807595)0.52:0.0129455713515):0); 0.0 0.0 (r0:1,(((r2:1,r3:1)1:5.40467738254,((r4:1,r5:1)1:5.58699893933,(r7:1,r6:1)1:0.763496759028)1:0.746756631165)1:0.682465176119,r1:1):0); 0.0 0.0
