1000 1000.0 0 8.650958333333332 1.526 765 (r1:1,(r0:1,((r7:1,(r6:1,(r4:1,r5:1)1:0.3137942736)0.51:0.0188452934787)0.82:0.0336518326083,(r3:1,r2:1)1:0.259122770543)0.96:0.0510435753202):0); 0.20088165898146854 0.11428571428571432 (r0:1,(r1:1,((r2:1,r3:1)1:0.276310090083,((r5:1,r4:1)1:0.380277886743,(r6:1,r7:1)0.51:0.0190820078838)0.72:0.0373070524128)0.79:0.0403676495042):0); 0.0 0.0
1000 1000.0 10 8.495921428571428 1.535 753 (r1:1,((r2:1,r3:1)1:0.213574100298,(r0:1,((r4:1,r5:1)1:0.244903950439,(r6:1,r7:1)0.85:0.0357850633213)0.93:0.0459968662638)0.42:0.005949230059):0); 0.20088165898146854 0.11428571428571432 (r2:1,((r1:1,(r0:1,((r7:1,r6:1)0.66:0.030962225604,(r4:1,r5:1)1:0.277184390493)0.69:0.0313341561704)0.37:0.00318573063313)1:0.257984996985,r3:1):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 11 8.445633333333333 1.519 735 (r2:1,(((r1:1,r0:1)0.58:0.0228617471902,((r7:1,r6:1)0.98:0.0597547767149,(r5:1,r4:1)1:0.273054316899)0.75:0.027568090219)1:0.259851191117,r3:1):0); 0.0 0.0 (r1:1,(r0:1,((r2:1,r3:1)1:0.315270028971,((r4:1,r5:1)1:0.299772579262,(r7:1,r6:1)0.85:0.0506834926693)0.58:0.0224931777509)0.58:0.0266500226852):0); 0.0 0.0
1000 1000.0 12 8.080883333333333 1.531 763 (r3:1,(r2:1,((r0:1,r1:1)0.48:0.0104818157226,((r7:1,r6:1)0.5:0.0116181794812,(r4:1,r5:1)1:0.252831919891)0.95:0.0482876680641)1:0.270596105238):0); 0.0 0.0 (r0:1,(((r2:1,r3:1)1:0.301950044249,((r4:1,r5:1)1:0.295903895935,(r6:1,r7:1)0.5:0.0187166849395)0.77:0.039043085949)0.47:0.0125760310201,r1:1):0); 0.0 0.0
1000 1000.0 13 8.353426190476192 1.52 775 (r2:1,(r3:1,(r0:1,(((r4:1,r5:1)1:0.282699501107,(r7:1,r6:1)0.78:0.0299778460721)0.91:0.0416912949964,r1:1)0.53:0.0157959295758)1:0.256795383923):0); 0.20088165898146854 0.11428571428571432 (r4:1,(r5:1,((r7:1,r6:1)0.83:0.0443444030775,(r1:1,((r3:1,r2:1)1:0.27597821038,r0:1)0.81:0.042587503365)0.6:0.0238011741804)1:0.253558831224):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 14 8.444940476190474 1.534 769 (r7:1,(r6:1,((r4:1,r5:1)1:0.221490323245,((r1:1,r0:1)0.82:0.0330708313332,(r3:1,r2:1)1:0.267164729323)0.88:0.0389934662485)0.54:0.0157959295758):0); 0.0 0.0 (r3:1,(((r1:1,r0:1)0.44:0.014897440606,((r5:1,r4:1)1:0.265397597193,(r6:1,r7:1)0.64:0.0298129599494)0.57:0.022263753944)1:0.29726747612,r2:1):0); 0.0 0.0
1000 1000.0 15 8.548200000000001 1.541 760 (r5:1,(r4:1,((r7:1,r6:1)0.4:0.00613767818921,((r3:1,r2:1)1:0.25815236775,(r0:1,r1:1)0.87:0.0381174258947)0.99:0.0619444859605)1:0.205720052071):0); 0.0 0.0 (r0:1,(((r3:1,r2:1)1:0.285198627467,(r7:1,(r6:1,(r5:1,r4:1)1:0.229224957131)0.58:0.0272155989836)0.92:0.0585613913083)0.49:0.0191020219042,r1:1):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 16 8.342483333333334 1.5 750 (r1:1,(((r5:1,r4:1)1:0.214966534963,(r6:1,r7:1)0.38:0.00406669938255)0.98:0.0561158828918,(r0:1,(r3:1,r2:1)1:0.239891408615)0.62:0.0201823197499):0); 0.20088165898146854 0.11428571428571432 (r5:1,(r4:1,(r7:1,((r1:1,(r0:1,(r3:1,r2:1)1:0.255202898221)0.46:0.0129376493589)0.63:0.0257945944526,r6:1)0.47:0.0129572472731)1:0.247676737838):0); 0.3091980720371233 0.22857142857142854
1000 1000.0 17 8.679638095238095 1.507 753 (r4:1,(r5:1,((r1:1,(r0:1,(r3:1,r2:1)1:0.242561637171)0.41:0.00726911334668)0.95:0.0499271739565,(r7:1,r6:1)0.52:0.0138947883188)1:0.23585195914):0); 0.20088165898146854 0.11428571428571432 (r0:1,((r3:1,r2:1)1:0.291727930971,(r1:1,((r6:1,(r5:1,r4:1)1:0.246887382059)0.4:0.00668166131149,r7:1)0.87:0.0504408313267)0.51:0.0179514452845):0); 0.3091980720371233 0.22857142857142854
1000 1000.0 18 8.45932857142857 1.465 756 (r1:1,(r0:1,((r2:1,r3:1)1:0.215663480048,((r4:1,r5:1)1:0.286933102251,(r7:1,r6:1)0.7:0.0243960781395)0.99:0.067940906087)0.58:0.0175100524601):0); 0.0 0.0 (r3:1,(((r0:1,r1:1)0.44:0.0149248371983,((r6:1,r7:1)0.74:0.0403519659538,(r5:1,r4:1)1:0.336059865481)0.95:0.0650790324744)1:0.234645617401,r2:1):0); 0.0 0.0
1000 1000.0 19 8.483292857142857 1.507 777 (r4:1,(r5:1,((r6:1,r7:1)0.76:0.0286276674506,((r0:1,r1:1)0.9:0.0414309461274,(r3:1,r2:1)1:0.234903867104)0.97:0.0529179901146)1:0.231592605801):0); 0.0 0.0 (r3:1,(r2:1,((r0:1,r1:1)0.73:0.0353081689935,((r6:1,(r5:1,r4:1)1:0.254902892399)0.55:0.0286111065132,r7:1)0.76:0.0383528904772)1:0.262013521198):0); 0.20088165898146854 0.11428571428571432
1000 1000.0 1 8.621816666666666 1.52 768 (r7:1,(r6:1,(((r0:1,r1:1)0.87:0.0385066824196,(r2:1,r3:1)1:0.266186494957)0.98:0.058066006632,(r5:1,r4:1)1:0.209870392361)0.55:0.0194180858571):0); 0.0 0.0 (r0:1,(r1:1,(((r7:1,r6:1)0.55:0.0230249775111,(r5:1,r4:1)1:0.253794532364)0.86:0.0481431586685,(r2:1,r3:1)1:0.286229940675)0.89:0.0521026372112):0); 0.0 0.0
1000 1000.0 20 8.720127777777778 1.478 777 (r3:1,(r2:1,(r0:1,(((r4:1,r5:1)1:0.327422401101,(r6:1,r7:1)0.99:0.0605504799596)0.88:0.0390908514558,r1:1)0.46:0.00896866998276)1:0.233814671344):0); 0.20088165898146854 0.11428571428571432 (r0:1,((r3:1,r2:1)1:0.262101917775,(r1:1,((r6:1,r7:1)0.88:0.0508685757573,(r4:1,r5:1)1:0.370745469034)0.83:0.0448661225592)0.52:0.0169201661569):0); 0.20088165898146854 0.11428571428571432
