1000 10000.0 0 12.320716870595115 6.006 950 (r0:1,((r2:1,r3:1)1:0.251000505817,(r1:1,((r5:1,r4:1)1:0.218689200965,(r7:1,r6:1)0.61:0.0228617471902)1:0.0720927904413)0.67:0.0242041579777):0); 0.20088165898146854 0.11428571428571432 (r6:1,(r7:1,((r4:1,r5:1)1:0.214259190359,(r1:1,((r2:1,r3:1)1:0.234572247138,r0:1)0.54:0.0144344689851)0.98:0.0592070397328)0.91:0.0440135833485):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 10 13.022104420375003 5.789 949 (r4:1,(((r7:1,r6:1)0.76:0.0293989748548,((r1:1,r0:1)0.76:0.0319098404907,(r2:1,r3:1)1:0.291435360981)0.97:0.0528192490629)1:0.265942085815,r5:1):0); 0.0 0.0 (r7:1,(r6:1,((r4:1,r5:1)1:0.256151364829,((r0:1,r1:1)0.6:0.0279919020451,(r3:1,r2:1)1:0.262390138023)1:0.0701936032398)0.47:0.0118015027458):0); 0.0 0.0
1000 10000.0 11 12.794309239234092 5.99 953 (r4:1,(r5:1,(r6:1,(r7:1,((r2:1,r3:1)1:0.254763354581,(r1:1,r0:1)0.91:0.0418214948533)0.99:0.0682082500265)0.45:0.00821295485139)1:0.240272433577):0); 0.20088165898146854 0.11428571428571432 (r2:1,(((r0:1,r1:1)0.77:0.0300068776091,(r7:1,(r6:1,(r4:1,r5:1)1:0.244591049187)0.52:0.014621876788)0.99:0.0679689964964)1:0.22124433779,r3:1):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 12 12.677104928286816 6.013 951 (r3:1,(r2:1,(r1:1,(r0:1,(r6:1,(r7:1,(r5:1,r4:1)1:0.270448804524)0.69:0.0259327668783)0.83:0.0349010520088)0.53:0.0152252075971)1:0.250615371978):0); 0.3091980720371233 0.22857142857142854 (r4:1,(r5:1,(r7:1,(r6:1,((r0:1,r1:1)0.52:0.0134655499966,(r2:1,r3:1)1:0.250854120603)0.72:0.0259949763737)0.45:0.0149721246604)1:0.240034788069):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 13 12.818091138435294 5.995 937 (r4:1,(r5:1,((r7:1,r6:1)0.84:0.0352028216746,((r2:1,r3:1)1:0.24251389194,(r1:1,r0:1)0.47:0.0144647512867)0.75:0.0279532611434)1:0.276259052786):0); 0.0 0.0 (r0:1,(r1:1,((r2:1,r3:1)1:0.247621293032,((r7:1,r6:1)0.88:0.0406491756381,(r5:1,r4:1)1:0.250872756546)0.91:0.0424519867312)0.66:0.022232723823):0); 0.0 0.0
1000 10000.0 14 12.780531296391684 5.983 956 (r3:1,(r2:1,((r0:1,r1:1)0.92:0.0437765296891,((r5:1,r4:1)1:0.244903950439,(r7:1,r6:1)0.52:0.0161765919329)0.95:0.0492710490068)1:0.217291576698):0); 0.0 0.0 (r1:1,(((r2:1,r3:1)1:0.243886886424,((r6:1,r7:1)0.78:0.0317063101663,(r5:1,r4:1)1:0.189826282448)0.93:0.0471027771891)0.98:0.0601623772808,r0:1):0); 0.0 0.0
1000 10000.0 15 12.931574223338021 5.929 939 (r0:1,(r1:1,(((r7:1,r6:1)0.77:0.0297848517648,(r5:1,r4:1)1:0.208946604766)0.92:0.0438743818346,(r3:1,r2:1)1:0.308629210595)0.52:0.0138947883188):0); 0.0 0.0 (r0:1,((r3:1,r2:1)1:0.258280199546,(r1:1,((r6:1,r7:1)0.84:0.0360465653433,(r5:1,r4:1)1:0.222868899272)0.88:0.0401337970787)0.37:0.002710655853):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 16 12.5996110294381 5.991 959 (r4:1,(r5:1,((r6:1,r7:1)0.62:0.0201823197499,((r0:1,(r3:1,r2:1)1:0.256795383923)0.47:0.00991411772266,r1:1)0.77:0.0299135104977)1:0.251626664834):0); 0.20088165898146854 0.11428571428571432 (r7:1,((r6:1,(r4:1,r5:1)1:0.194711428072)0.49:0.0115600587138,((r0:1,r1:1)0.58:0.0205411549742,(r3:1,r2:1)1:0.246205576654)0.89:0.040314570016):0); 0.20088165898146854 0.11428571428571432
1000 10000.0 17 12.86942293528759 6.025 942 (r2:1,(r3:1,((r0:1,r1:1)0.9:0.0429940570358,((r5:1,r4:1)1:0.224533752961,(r7:1,r6:1)0.76:0.0321032453844)0.97:0.0531155014721)1:0.258637451436):0); 0.0 0.0 (r4:1,(r5:1,((r7:1,r6:1)0.74:0.0307716586668,((r3:1,r2:1)1:0.266208854745,(r0:1,r1:1)0.91:0.0449696570403)0.99:0.0635160931755)1:0.258240068212):0); 0.0 0.0
1000 10000.0 18 12.98236864523834 5.88 948 (r6:1,(((r4:1,r5:1)1:0.22125659647,(r0:1,(r1:1,(r2:1,r3:1)1:0.275962800377)0.36:0.00200000066667)0.98:0.0594234204708)0.89:0.0404552411032,r7:1):0); 0.20088165898146854 0.11428571428571432 (r4:1,(r5:1,((r7:1,r6:1)0.52:0.0135337929714,((r2:1,r3:1)1:0.294023904358,(r1:1,r0:1)0.41:0.00635932190829)0.8:0.0326753679957)1:0.234322661627):0); 0.0 0.0
1000 10000.0 19 13.021965458633138 5.873 956 (r5:1,(r4:1,(((r3:1,r2:1)1:0.260337099776,(r0:1,r1:1)0.86:0.0406503059629)0.88:0.0430918326408,(r7:1,r6:1)0.51:0.0129455713515)1:0.219622036853):0); 0.0 0.0 (r1:1,(((r3:1,r2:1)1:0.25070221176,(r7:1,(r6:1,(r5:1,r4:1)1:0.185241266897)0.49:0.0128555212887)0.82:0.0396753619449)0.83:0.0347150050572,r0:1):0); 0.20088165898146854 0.11428571428571432
