2000 10000.0 0 553.8845 23.2525 1436 (r6:1,(r7:1,(r5:1,((r3:1,r4:1)0.38:0.00225140808045,(r2:1,(r0:1,r1:1)1:0.216047349734)1:0.231407866759)0.91:0.0299286857325)1:0.20384079906):0); 0.20410776171712283 0.12857142857142856 (r1:1,(r0:1,(r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.253144846019)0.68:0.0187087297158)0.86:0.0261031769871)1:0.32802378464)1:0.252680465662):0); 0.0 0.0
2000 10000.0 10 554.365 23.221 1422 (r3:1,((r2:1,(r0:1,r1:1)1:0.210665505066)1:0.186754154863,((r5:1,r4:1)0.6:0.0132052475392,(r7:1,r6:1)1:0.261905224415)0.91:0.0297999607532):0); 0.19443359141936595 0.11428571428571432 (r1:1,(r0:1,((r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.269086598027)0.79:0.0220165603928)0.93:0.0319014895867)1:0.316876119561,r2:1)1:0.296422772095):0); 0.0 0.0
2000 10000.0 11 552.228 23.154 1449 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.1746747067)1:0.230974923724)0.82:0.0235979262876)0.83:0.024184402171)1:0.203473219566,r6:1):0); 0.0 0.0 (r3:1,((r2:1,(r1:1,r0:1)1:0.266103485995)1:0.280500152433,(r4:1,((r7:1,r6:1)1:0.268592210578,r5:1)0.67:0.0160949546375)0.98:0.0399984954403):0); 0.0 0.0
2000 10000.0 12 555.0765 23.1955 1467 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.22052329902)1:0.225911621767)0.94:0.0334536001848,(r5:1,(r6:1,r7:1)1:0.223518434168)0.69:0.0179639887933):0); 0.0 0.0 (r6:1,(r7:1,((r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.26628664459)1:0.277332207634)0.95:0.0336480341182)0.78:0.0215484603643,r5:1)1:0.253265620418):0); 0.0 0.0
2000 10000.0 13 553.6915 23.063 1457 (r4:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.217723483845)1:0.194691604406)0.95:0.0348325541222,(r7:1,r6:1)1:0.218189575673)0.56:0.0134901342986):0); 0.19443359141936595 0.11428571428571432 (r3:1,((r2:1,(r0:1,r1:1)1:0.269534913734)1:0.304487067083,(r4:1,(r5:1,(r7:1,r6:1)1:0.244946823553)0.88:0.0271636560762)0.75:0.0196576213563):0); 0.0 0.0
2000 10000.0 14 555.514 23.326 1461 (r2:1,((r0:1,r1:1)1:0.230290469078,(r3:1,((r6:1,r7:1)1:0.210642370038,(r5:1,r4:1)0.37:0.00206359701783)0.98:0.0415172011379)1:0.207870045287):0); 0.19443359141936595 0.11428571428571432 (r5:1,((r6:1,r7:1)1:0.2291287637,((r3:1,(r2:1,(r1:1,r0:1)1:0.299557023306)1:0.285678816492)0.86:0.0260305510878,r4:1)0.97:0.0371847147044):0); 0.0 0.0
2000 10000.0 15 552.834 23.275 1481 (r3:1,((r2:1,(r0:1,r1:1)1:0.199438737659)1:0.20729344376,(r5:1,(r4:1,(r7:1,r6:1)1:0.207893116265)0.53:0.0101714947384)0.78:0.0212129166392):0); 0.17556643393915275 0.11428571428571432 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.260396868529)0.98:0.0441143989783)0.59:0.0126530578864)1:0.297450544646)1:0.278411209061,r1:1):0); 0.0 0.0
2000 10000.0 16 551.567 23.2925 1464 (r3:1,((r2:1,(r0:1,r1:1)1:0.18942317547)1:0.227322059237,(r4:1,(r5:1,(r7:1,r6:1)1:0.225582805737)0.62:0.0156769666415)0.71:0.0185789884416):0); 0.0 0.0 (r3:1,((r2:1,(r1:1,r0:1)1:0.250842780722)1:0.321934622201,(r4:1,(r5:1,(r7:1,r6:1)1:0.245841539646)0.94:0.0334172147753)0.9:0.030426414403):0); 0.0 0.0
2000 10000.0 17 551.792 23.28 1449 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.230290469078)1:0.246800109715)0.51:0.00886812471217)0.9:0.0287064669318)1:0.213445601379):0); 0.0 0.0 (r3:1,((r4:1,(r5:1,(r7:1,r6:1)1:0.267765062751)0.46:0.00808800061717)0.86:0.0270573310206,((r0:1,r1:1)1:0.227628144632,r2:1)1:0.344895804287):0); 0.0 0.0
2000 10000.0 18 554.821 23.2365 1453 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.198889840015)1:0.214466909671)0.8:0.025561305637)0.97:0.0375205101425)1:0.208262324318,r7:1):0); 0.0 0.0 (r2:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.2447207306)0.53:0.0143532545364)0.99:0.0463207036592)1:0.299977696949,(r0:1,r1:1)1:0.276631136155):0); 0.0 0.0
2000 10000.0 19 554.0875 23.3485 1468 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.198524075563)1:0.185512549647)0.92:0.0311309185952)0.77:0.0207344706227)1:0.217537107924,r7:1):0); 0.0 0.0 (r4:1,((r5:1,(r6:1,r7:1)1:0.234530648214)0.78:0.0210587510639,((r2:1,(r1:1,r0:1)1:0.236098617023)1:0.305963885982,r3:1)0.65:0.0156261962097):0); 0.0 0.0
