2000 100000.0 0 5527.728 214.381 671 (r7:1,(r6:1,(r5:1,(r3:1,(r4:1,(r2:1,(r1:1,r0:1)1:0.191236741437)1:0.233338711611)0.7:0.0230863737144)0.91:0.0303471563893)1:0.211035738317):0); 0.1790338045715902 0.12857142857142856 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.892585918219)1:0.941868059172)1:0.0605153074516)1:0.0506425158955)1:0.741997316543,r6:1):0); 0.0 0.0
2000 100000.0 10 5530.6815 213.681 691 (r3:1,((r2:1,(r0:1,r1:1)1:0.228781604212)1:0.203266515463,(r4:1,((r6:1,r7:1)1:0.206786309289,r5:1)0.89:0.0282244230565)0.54:0.0102977175218):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.705820856533,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.921175205234)1:0.936355762411)1:0.0715484294262)1:0.0534063119495):0); 0.0 0.0
2000 100000.0 11 5542.2015 214.233 687 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.236158919426)1:0.203266515463)0.88:0.0287278964982)0.98:0.0407361036563,(r7:1,r6:1)1:0.173782407185):0); 0.0 0.0 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.927219802406)1:0.996696605184)1:0.0821619487364)1:0.0487714237154)1:0.752442102112,r7:1):0); 0.0 0.0
2000 100000.0 12 5538.473 214.203 693 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,((r1:1,r0:1)1:0.212703486318,r2:1)1:0.227674979657)0.62:0.0140918285611)0.71:0.0178685917028)1:0.205680725982):0); 0.0 0.0 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.85452028119)1:0.921175205234)1:0.0865117516982,(r5:1,(r7:1,r6:1)1:0.749265479365)1:0.0649384011789):0); 0.0 0.0
2000 100000.0 13 5538.1215 214.267 712 (r3:1,((r4:1,(r5:1,(r7:1,r6:1)1:0.213260020976)0.89:0.0285136214969)0.64:0.0147678468394,(r2:1,(r1:1,r0:1)1:0.231234667052)1:0.204990356607):0); 0.0 0.0 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.867286412013)1:0.930160841479)1:0.0853318105583,(r5:1,(r6:1,r7:1)1:0.698860622654)1:0.0552861047365):0); 0.0 0.0
2000 100000.0 14 5527.816 213.648 687 (r7:1,(((r5:1,r4:1)0.38:0.00253319082783,(r3:1,(r2:1,(r1:1,r0:1)1:0.220897200688)1:0.216675570842)1:0.0531098253139)1:0.226499062306,r6:1):0); 0.19443359141936595 0.11428571428571432 (r2:1,((r0:1,r1:1)1:0.899564826251,((r4:1,(r5:1,(r7:1,r6:1)1:0.716506349748)0.99:0.0432769043977)1:0.0754928540831,r3:1)1:1.00255276451):0); 0.0 0.0
2000 100000.0 15 5547.2755 214.5425 696 (r2:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.219029088805)0.89:0.0280316705501)0.77:0.0230863737144)1:0.190034886354,(r1:1,r0:1)1:0.239963375223):0); 0.0 0.0 (r5:1,((r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.851002866378)1:0.951042435449)1:0.103363510501)1:0.0511354910102,(r7:1,r6:1)1:0.697052848736):0); 0.0 0.0
2000 100000.0 16 5540.184 214.625 694 (r5:1,(((r4:1,r3:1)0.53:0.00987703685424,(r2:1,(r1:1,r0:1)1:0.220336400598)1:0.221068619019)0.87:0.0265230599509,(r7:1,r6:1)1:0.178610311064):0); 0.20410776171712283 0.12857142857142856 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.723900098773)0.85:0.0254331415869)1:0.0754030350683)1:1.00331914594)1:0.917040638171,r1:1):0); 0.0 0.0
2000 100000.0 17 5538.6255 214.314 700 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,((r7:1,r6:1)1:0.219962708516,r5:1)0.64:0.0192049798361)0.81:0.0225750826935)1:0.222511255004)1:0.214931485754):0); 0.0 0.0 (r2:1,((r1:1,r0:1)1:0.840871775358,((r4:1,(r5:1,(r7:1,r6:1)1:0.759466396639)0.71:0.0210215107624)1:0.0851504046622,r3:1)1:0.978582902385):0); 0.0 0.0
2000 100000.0 18 5535.5175 214.65 703 (r3:1,((r2:1,(r0:1,r1:1)1:0.209555627038)1:0.21528005951,((r6:1,r7:1)1:0.191736049225,(r4:1,r5:1)0.81:0.0246645020409)0.68:0.0165657427284):0); 0.19443359141936595 0.11428571428571432 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.826036243647)1:0.992390075413)1:0.0625525994447,(r5:1,(r7:1,r6:1)1:0.675610693115)1:0.0565743177671):0); 0.0 0.0
2000 100000.0 19 5539.0105 212.9155 693 (r0:1,(r1:1,(r2:1,(r3:1,((r4:1,r5:1)0.45:0.00894165682735,(r6:1,r7:1)1:0.199598889575)0.68:0.0165022325192)1:0.230974923724)1:0.210665505066):0); 0.19443359141936595 0.11428571428571432 (r3:1,((r2:1,(r0:1,r1:1)1:0.871936751282)1:1.02397570277,(r4:1,(r5:1,(r6:1,r7:1)1:0.719888366807)1:0.0640388958461)1:0.0623752787597):0); 0.0 0.0
