2000 10000.0 0 449.4225 15.3575 1537 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.242635132537)1:0.193440110984)0.73:0.0189184605657)0.92:0.0308302248495)1:0.214002549319,r7:1):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.220922624765,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.232629450315)1:0.240853647521)0.56:0.0172885662018)0.98:0.0415341289667):0); 0.0 0.0
2000 10000.0 10 445.7425 15.459 1520 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.236918653556)1:0.186076724556,r3:1)0.91:0.0297570561088)0.83:0.0244724344326)1:0.213631216229):0); 0.0 0.0 (r1:1,(r0:1,(r2:1,(r3:1,((r5:1,(r7:1,r6:1)1:0.26385724097)0.89:0.0284110922294,r4:1)0.53:0.00956352923587)1:0.214896227226)1:0.266465850857):0); 0.0 0.0
2000 10000.0 11 447.373 15.498 1550 (r5:1,((r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.213445601379)1:0.20925524694)0.78:0.021042776273)0.56:0.0166292569715,(r7:1,r6:1)1:0.22220695857):0); 0.0 0.0 (r7:1,(r6:1,(r5:1,((r2:1,(r1:1,r0:1)1:0.286679967949)1:0.202815741893,(r4:1,r3:1)0.57:0.0143838771139)0.96:0.0351257286708)1:0.235816422807):0); 0.20410776171712283 0.12857142857142856
2000 10000.0 12 447.9515 15.3875 1538 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.244739389651)1:0.189695000779,r3:1)0.72:0.0199375689341)0.43:0.00601505572976)1:0.225770687372):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,((r4:1,r3:1)0.48:0.00810678312438,(r2:1,(r0:1,r1:1)1:0.26368488721)1:0.236120256359)0.98:0.0409373825651)1:0.241847054035):0); 0.20410776171712283 0.12857142857142856
2000 10000.0 13 447.8945 15.5375 1572 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.204208513717)1:0.215745013604)0.93:0.0346600808551,(r5:1,(r7:1,r6:1)1:0.199072772422)0.42:0.00544960476756):0); 0.0 0.0 (r5:1,((r7:1,r6:1)1:0.234994588299,(r4:1,(r3:1,((r0:1,r1:1)1:0.216043166466,r2:1)1:0.222365405384)0.5:0.00884327993267)0.9:0.0292529511314):0); 0.0 0.0
2000 10000.0 14 446.0995 15.58 1545 (r3:1,((r2:1,(r0:1,r1:1)1:0.195785098227)1:0.214002549319,(r4:1,((r6:1,r7:1)1:0.228404743458,r5:1)0.89:0.0282244230565)0.61:0.0132474478642):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.214305204513,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.243369784758)1:0.200891095016)0.68:0.0177160810645)0.86:0.0258399153762):0); 0.0 0.0
2000 10000.0 15 446.794 15.397 1529 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.205864905004)0.86:0.0268759350849)0.75:0.0205325287919)1:0.201774919753)1:0.187432044393):0); 0.0 0.0 (r2:1,((r1:1,r0:1)1:0.247775057168,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.221551104441)0.98:0.0410701662248)0.84:0.0250978424447)1:0.229818727907):0); 0.0 0.0
2000 10000.0 16 448.977 15.5655 1522 (r1:1,(r0:1,(r2:1,(r3:1,((r5:1,(r6:1,r7:1)1:0.219775914829)0.79:0.0217873541849,r4:1)0.82:0.0244510958642)1:0.208677846381)1:0.196149862047):0); 0.0 0.0 (r5:1,((r6:1,r7:1)1:0.252590752641,((r3:1,(r2:1,(r1:1,r0:1)1:0.267355161689)1:0.230775278416)0.71:0.0177365697933,r4:1)0.96:0.035145239794):0); 0.0 0.0
2000 10000.0 17 447.1665 15.495 1545 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.223143551314)1:0.209370767069)0.74:0.0193429628431)0.41:0.00582653654738)1:0.232936473267):0); 0.0 0.0 (r1:1,(r0:1,(r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.221311612335)0.95:0.034813339026)0.71:0.0225404836415)1:0.192274656165)1:0.256579204946):0); 0.0 0.0
2000 10000.0 18 445.268 15.5765 1538 (r7:1,(r6:1,((r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.211220906357)1:0.207985405499)0.66:0.0173917427119)0.65:0.0170104271686,r5:1)1:0.213631216229):0); 0.0 0.0 (r6:1,(r7:1,(r5:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.239857948692)1:0.232071370094)0.83:0.023898300272,r4:1)0.95:0.0337931552917)1:0.210553793252):0); 0.0 0.0
2000 10000.0 19 447.3735 15.5515 1557 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,((r7:1,r6:1)1:0.196879789087,r5:1)0.58:0.0117820298788)0.83:0.0252195713321)1:0.212147261217)1:0.196879789087):0); 0.0 0.0 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.23857685293)0.77:0.0208235050882)0.79:0.0225466980259)1:0.223489566637)1:0.247828320847,r1:1):0); 0.0 0.0
2000 10000.0 1 446.3025 15.3835 1535 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.233693762209)0.86:0.0258176830259)0.67:0.0157827319062)1:0.221341390575)1:0.198158444846,r1:1):0); 0.0 0.0 (r1:1,(r0:1,(r2:1,((r4:1,(r5:1,(r7:1,r6:1)1:0.251099240313)0.86:0.0265968035659)0.51:0.0102813462874,r3:1)1:0.237439975235)1:0.213688690495):0); 0.0 0.0
2000 10000.0 20 447.1915 15.408 1559 (r7:1,(r6:1,(r4:1,(r5:1,(r3:1,((r0:1,r1:1)1:0.208816392113,r2:1)1:0.212494865647)0.82:0.0244510958642)0.49:0.00790220480841)1:0.227086848134):0); 0.17556643393915275 0.11428571428571432 (r2:1,((r3:1,((r7:1,r6:1)1:0.243796757327,(r5:1,r4:1)0.45:0.0101475573212)0.92:0.0309139347633)1:0.22758653258,(r0:1,r1:1)1:0.233525139289):0); 0.19443359141936595 0.11428571428571432
2000 10000.0 21 448.4155 15.49 1530 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,((r0:1,r1:1)1:0.207708563344,r2:1)1:0.193553818415)0.88:0.0278710718378)0.92:0.0308302248495)1:0.221832566952):0); 0.0 0.0 (r4:1,(r3:1,((r5:1,(r6:1,r7:1)1:0.204805803686)0.99:0.0481493438976,(r2:1,(r1:1,r0:1)1:0.234264443625)1:0.23103515806)0.67:0.022094563472):0); 0.20410776171712283 0.12857142857142856
2000 10000.0 22 447.2365 15.4895 1522 (r2:1,((r0:1,r1:1)1:0.204576363639,((r5:1,(r6:1,r7:1)1:0.216791951407)0.95:0.0340566585705,(r3:1,r4:1)0.52:0.0114765657553)1:0.228970087862):0); 0.20410776171712283 0.12857142857142856 (r2:1,((r1:1,r0:1)1:0.262023128481,((r5:1,(r7:1,r6:1)1:0.255813962522)0.75:0.0205340802448,(r4:1,r3:1)0.67:0.0174389338093)1:0.257900733429):0); 0.20410776171712283 0.12857142857142856
