2000 100000.0 0 4477.8235 140.768 968 (r3:1,((r2:1,(r0:1,r1:1)1:0.218469335082)1:0.193440110984,(r4:1,(r5:1,(r7:1,r6:1)1:0.204760339354)0.92:0.0307335924872)0.9:0.0310449968698):0); 0.0 0.0 (r6:1,(r7:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.741053177999)1:0.562618793195)0.94:0.0355227448147)0.99:0.0475914825755,r5:1)1:0.560778382527):0); 0.0 0.0
2000 100000.0 10 4475.581 140.2915 965 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.217164460258)0.46:0.0111185541898)0.75:0.0198526035575)1:0.213074475007)1:0.204024639487,r1:1):0); 0.0 0.0 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.598245970838)0.99:0.0431790618263)0.99:0.0465438135431)1:0.577365146071)1:0.646858894103,r0:1):0); 0.0 0.0
2000 100000.0 11 4487.953 140.484 982 (r3:1,((r2:1,(r0:1,r1:1)1:0.193599305007)1:0.245841107004,(r4:1,(r5:1,(r6:1,r7:1)1:0.221645423693)0.56:0.0111185541898)0.51:0.0178155972513):0); 0.0 0.0 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.630953986263)0.95:0.0341212935445)0.65:0.0149369228394)1:0.558679195191)1:0.685976549297,r0:1):0); 0.0 0.0
2000 100000.0 12 4479.826 140.505 938 (r6:1,(r7:1,(r4:1,(r5:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.246272544416)1:0.193099066247)0.94:0.0341428394642)0.38:0.00262713605783)1:0.211776616291):0); 0.17556643393915275 0.11428571428571432 (r2:1,((r0:1,r1:1)1:0.688958066115,(r3:1,((r5:1,(r7:1,r6:1)1:0.599064413116)0.75:0.0198738442248,r4:1)1:0.0578641924312)1:0.56311233602):0); 0.0 0.0
2000 100000.0 13 4478.7085 141.258 967 (r5:1,((r7:1,r6:1)1:0.210850604557,((r3:1,(r2:1,(r0:1,r1:1)1:0.264660752452)1:0.223682489619)0.51:0.00962471337421,r4:1)0.64:0.0160577739576):0); 0.0 0.0 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.581479758731)0.95:0.034606189059)0.78:0.0260741261611)1:0.56393544908)1:0.690452164705,r1:1):0); 0.0 0.0
2000 100000.0 14 4479.2775 140.519 935 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.201637346093)1:0.226264044678)0.52:0.00996115883116)0.83:0.0240884098503)1:0.200537437641):0); 0.0 0.0 (r3:1,((r2:1,(r1:1,r0:1)1:0.72575710952)1:0.573699697116,((r5:1,(r7:1,r6:1)1:0.607010748942)0.95:0.0387860250352,r4:1)0.94:0.0360407006274):0); 0.0 0.0
2000 100000.0 15 4480.035 140.2205 966 (r1:1,(r0:1,(r2:1,(r3:1,(r4:1,((r6:1,r7:1)1:0.210665505066,r5:1)0.8:0.0223621218988)0.71:0.0184941384139)1:0.218889120997)1:0.231612596006):0); 0.0 0.0 (r5:1,((r7:1,r6:1)1:0.597973305533,((r3:1,(r2:1,(r1:1,r0:1)1:0.655484594507)1:0.563441499947)0.97:0.0389808618599,r4:1)1:0.0558804583945):0); 0.0 0.0
2000 100000.0 16 4474.2125 140.142 956 (r7:1,(r6:1,((r4:1,r5:1)0.57:0.0148206800186,(r3:1,(r2:1,(r1:1,r0:1)1:0.201087240642)1:0.209717407549)0.76:0.0205112741291)1:0.222745392209):0); 0.19443359141936595 0.11428571428571432 (r5:1,((r6:1,r7:1)1:0.616963830831,((r3:1,(r2:1,(r0:1,r1:1)1:0.749265479365)1:0.581546803081)0.78:0.0211278428376,r4:1)0.99:0.0437662609037):0); 0.0 0.0
2000 100000.0 17 4482.9565 140.879 985 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.202187754327)1:0.198341243494)0.6:0.0134162669749)0.58:0.0121613565785)1:0.216791951407):0); 0.0 0.0 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.707036292721)1:0.610973197059)0.85:0.025134156)0.98:0.0415172011379)1:0.576664340116,r7:1):0); 0.0 0.0
2000 100000.0 18 4481.007 141.3915 947 (r3:1,((r2:1,(r0:1,r1:1)1:0.19487377036)1:0.208562406265,(r4:1,(r5:1,(r7:1,r6:1)1:0.201820781845)0.46:0.00988755171437)0.53:0.0112238384046):0); 0.0 0.0 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.605086878622)0.93:0.0321840593083)0.98:0.041755991557)1:0.558024101817)1:0.750534917809,r0:1):0); 0.0 0.0
2000 100000.0 19 4466.491 140.1865 970 (r0:1,(r1:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.216978188487)0.65:0.017487094321)0.79:0.0226602797117)1:0.227792647481,r2:1)1:0.210665505066):0); 0.0 0.0 (r6:1,((r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.687764392443)1:0.573367139747)1:0.0533733646487)0.96:0.0359651486935)1:0.583358701707,r7:1):0); 0.0 0.0
