1000 100000.0 0 13.119601485820036 91.398 815 (r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.126562723308)1:0.134031017916)0.78:0.0307716586668,(r4:1,(r6:1,r7:1)1:0.163636083811)0.43:0.00877968765205):0); 0.17556643393915275 0.11428571428571432 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.283097194491)1:0.30735483805)0.88:0.0397403286495)0.98:0.057173105139)1:0.246772169708):0); 0.0 0.0
1000 100000.0 10 13.150643379842176 91.241 807 (r7:1,(r6:1,(r5:1,((r3:1,r4:1)0.54:0.0162823571976,((r0:1,r1:1)1:0.0868842394903,r2:1)1:0.163959703648)0.38:0.00312676134926)1:0.124863487555):0); 0.20410776171712283 0.12857142857142856 (r4:1,((r5:1,(r6:1,r7:1)1:0.227774637881)0.95:0.0488775805775,(r3:1,(r2:1,(r0:1,r1:1)1:0.340396008472)1:0.342082349512)0.56:0.0176371414861):0); 0.0 0.0
1000 100000.0 11 13.219010997089809 90.642 820 (r4:1,(((r7:1,r6:1)1:0.166906515859,(r3:1,(r2:1,(r0:1,r1:1)1:0.159760792718)1:0.133602752385)0.87:0.038441795809)0.68:0.0240122746422,r5:1):0); 0.19443359141936595 0.11428571428571432 (r3:1,((r2:1,(r0:1,r1:1)1:0.346734504233)1:0.30582773162,((r5:1,(r7:1,r6:1)1:0.242561637171)0.66:0.0219039844506,r4:1)0.62:0.0195029718976):0); 0.0 0.0
1000 100000.0 12 13.03757830764973 92.583 813 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.126902917222)1:0.154587838304)0.62:0.0196727655987,((r7:1,r6:1)1:0.120120931241,r5:1)0.58:0.0173194492002):0); 0.0 0.0 (r4:1,((r5:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.300754154019)1:0.318375667715)0.8:0.0333505305507)0.78:0.0299210961908,(r7:1,r6:1)1:0.270841654657):0); 0.17556643393915275 0.11428571428571432
1000 100000.0 13 13.176098775735111 90.88 837 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.118770036068)1:0.121685182094)0.71:0.0271723746371)0.62:0.0194180858571)1:0.149267517002):0); 0.0 0.0 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.256020790545)1:0.299742520144)0.93:0.044777247679)0.6:0.0288204385355)1:0.233814671344):0); 0.0 0.0
1000 100000.0 14 13.179576333950642 90.871 827 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.165756225948)1:0.141339734887)0.82:0.0330062964682,((r6:1,r7:1)1:0.140606454719,r5:1)0.6:0.0178913680033):0); 0.0 0.0 (r6:1,(r7:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.350131535101)1:0.311182838131)0.98:0.0583638177227,(r5:1,r4:1)0.49:0.0123764733564)1:0.263257520445):0); 0.19443359141936595 0.11428571428571432
1000 100000.0 15 13.167992325581716 91.339 815 (r5:1,((r4:1,(r2:1,(r0:1,r1:1)1:0.136132174325)1:0.152403954492)0.46:0.00869570696755,(r3:1,(r6:1,r7:1)1:0.161168252486)0.45:0.00915768803455):0); 0.29942994635879155 0.24285714285714288 (r4:1,((r5:1,(r6:1,r7:1)1:0.263013826036)0.61:0.0186544355718,(r3:1,((r0:1,r1:1)1:0.315025548124,r2:1)1:0.335511160142)0.75:0.0285420033395):0); 0.0 0.0
1000 100000.0 16 13.183577433681592 90.929 832 (r7:1,(r6:1,((r3:1,(r4:1,(r2:1,(r0:1,r1:1)1:0.147529293029)1:0.154806489229)0.45:0.00869570696755)0.8:0.0326836845997,r5:1)1:0.139227619617):0); 0.1790338045715902 0.12857142857142856 (r7:1,(r6:1,(r5:1,((r2:1,(r1:1,r0:1)1:0.222145048985)1:0.348473319279,(r4:1,r3:1)0.47:0.0150984247126)0.47:0.00970718919531)1:0.277543828374):0); 0.20410776171712283 0.12857142857142856
1000 100000.0 17 13.234091286666445 91.018 827 (r3:1,(((r4:1,r5:1)0.77:0.030363946463,(r7:1,r6:1)1:0.115148522024)0.83:0.0359792192291,(r2:1,(r1:1,r0:1)1:0.104694736672)1:0.133602752385):0); 0.19443359141936595 0.11428571428571432 (r2:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.230035377352)0.88:0.0408454088803)0.9:0.042516180536)1:0.326123868261,(r1:1,r0:1)1:0.257182905725):0); 0.0 0.0
1000 100000.0 18 13.16869241183659 91.095 813 (r6:1,(r7:1,(r3:1,((r4:1,r5:1)0.52:0.0130720815674,((r1:1,r0:1)1:0.130994296949,r2:1)1:0.134816648067)0.47:0.00978800636616)1:0.149267517002):0); 0.31325379773618617 0.2857142857142857 (r6:1,(r7:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.32493070546)1:0.297470078818)0.98:0.0596884966818)0.83:0.0340393544113,r5:1)1:0.247155825956):0); 0.0 0.0
1000 100000.0 19 13.172673401820811 91.217 836 (r1:1,(r0:1,((r3:1,(r5:1,(r4:1,(r6:1,r7:1)1:0.138883207696)0.53:0.0156056527224)0.6:0.0179761245402)1:0.136389762443,r2:1)1:0.13236181853):0); 0.17556643393915275 0.11428571428571432 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.300349377653)0.73:0.0263173083174)0.54:0.0147604155831)1:0.278483747808)1:0.262624038466):0); 0.0 0.0
