1000 1000.0 0 10.215914285714286 1.676 787 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.0842724195269)1:0.129756593797,r3:1)0.53:0.0144225206652)0.69:0.0253562318378)1:0.183601096334):0); 0.0 0.0 (r7:1,(r6:1,(r5:1,((r3:1,r4:1)0.59:0.0233972937282,(r2:1,(r1:1,r0:1)1:0.09800197147)1:0.134829864152)0.61:0.0236824846436)1:0.18023768003):0); 0.20410776171712283 0.12857142857142856
1000 1000.0 10 9.839657142857142 1.744 755 (r3:1,((r2:1,(r1:1,r0:1)1:0.154850225151)1:0.151313798492,(r5:1,(r4:1,(r7:1,r6:1)1:0.104029400653)0.54:0.0226701212435)0.63:0.0229043357211):0); 0.17556643393915275 0.11428571428571432 (r4:1,((r7:1,r6:1)1:0.124365758333,(r5:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.182587815199)1:0.154675366339)0.62:0.0339605992385)0.47:0.0121100688165):0); 0.17556643393915275 0.11428571428571432
1000 1000.0 11 10.095202380952381 1.685 785 (r4:1,(r5:1,((r6:1,r7:1)1:0.161388347127,((r2:1,(r1:1,r0:1)1:0.15031190352)1:0.116199936273,r3:1)0.62:0.0220954636278)0.62:0.0194180858571):0); 0.19443359141936595 0.11428571428571432 (r5:1,(r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.207219647957)1:0.122815604239)0.53:0.0188762272689,(r6:1,r7:1)1:0.141336112149)0.45:0.0107350329018):0); 0.19443359141936595 0.11428571428571432
1000 1000.0 12 9.976397619047619 1.735 782 (r1:1,(r0:1,(r2:1,(r3:1,((r5:1,(r6:1,r7:1)1:0.153102278543)0.47:0.0154154120674,r4:1)0.54:0.0149294058666)1:0.138323791196)1:0.132703991331):0); 0.0 0.0 (r3:1,((r4:1,(r5:1,(r6:1,r7:1)1:0.153821461717)0.68:0.0351442873157)0.46:0.0131309693279,(r2:1,(r1:1,r0:1)1:0.129848833982)1:0.159984073895):0); 0.0 0.0
1000 1000.0 13 9.898707142857143 1.694 747 (r0:1,(r1:1,(r2:1,((r4:1,(r5:1,(r6:1,r7:1)1:0.104362013328)0.59:0.0177006920565)0.65:0.0215424015644,r3:1)1:0.127200681863)1:0.12181212055):0); 0.0 0.0 (r5:1,((r7:1,r6:1)1:0.12362277497,(r4:1,((r2:1,(r1:1,r0:1)1:0.12875673261)1:0.164716815865,r3:1)0.49:0.0148659112758)0.47:0.0137800610278):0); 0.0 0.0
1000 1000.0 14 9.928424999999999 1.692 763 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.140951460761)1:0.150007178097)0.43:0.00768848848388)0.69:0.0251641273324)1:0.133731212787):0); 0.0 0.0 (r1:1,(r0:1,(r2:1,((r4:1,r3:1)0.36:0.00245770045253,((r7:1,r6:1)1:0.148807221453,r5:1)0.62:0.0288078262069)1:0.176057360913)1:0.163092114346):0); 0.20410776171712283 0.12857142857142856
1000 1000.0 15 10.097357142857144 1.678 776 (r7:1,(r6:1,((r5:1,r4:1)0.47:0.0104818157226,(r3:1,((r1:1,r0:1)1:0.152753055561,r2:1)1:0.162709933223)0.55:0.017128882263)1:0.184096357595):0); 0.19443359141936595 0.11428571428571432 (r5:1,((r2:1,(r0:1,r1:1)1:0.163054876222)1:0.169205122397,(r3:1,(r4:1,(r7:1,r6:1)1:0.185156380857)0.36:0.00159261062489)0.64:0.0312344650617):0); 0.29942994635879155 0.24285714285714288
1000 1000.0 16 9.896952380952381 1.685 766 (r2:1,((r1:1,r0:1)1:0.111372557814,((r3:1,(r5:1,(r6:1,r7:1)1:0.136475639896)0.47:0.00953583135537)0.65:0.026146382755,r4:1)1:0.14566406595):0); 0.1790338045715902 0.12857142857142856 (r2:1,((r0:1,r1:1)1:0.128440628246,(r5:1,((r3:1,(r7:1,r6:1)1:0.156772356664)0.56:0.0232891628288,r4:1)0.41:0.00784466004841)1:0.182869999021):0); 0.35460023851074296 0.3285714285714286
1000 1000.0 17 9.829364285714288 1.675 772 (r4:1,(r3:1,((r2:1,(r0:1,r1:1)1:0.14891963041)1:0.150224829638,(r5:1,(r6:1,r7:1)1:0.154850225151)0.54:0.0157324999351)0.54:0.0154365481309):0); 0.20410776171712283 0.12857142857142856 (r6:1,((r5:1,((r4:1,r3:1)0.5:0.0166702098681,(r2:1,(r0:1,r1:1)1:0.166861499203)1:0.188796792806)0.39:0.00514756275376)1:0.172367946387,r7:1):0); 0.20410776171712283 0.12857142857142856
1000 1000.0 18 9.812558333333332 1.696 783 (r3:1,(r4:1,((r5:1,(r6:1,r7:1)1:0.143024000363)0.59:0.0182728290035,(r2:1,(r1:1,r0:1)1:0.120797063789)1:0.139112802463)0.41:0.00550965581097):0); 0.20410776171712283 0.12857142857142856 (r4:1,(r3:1,((r5:1,(r6:1,r7:1)1:0.176664763442)0.55:0.0197361014425,(r2:1,(r0:1,r1:1)1:0.172498295091)1:0.145969559749)0.49:0.0156326754481):0); 0.20410776171712283 0.12857142857142856
1000 1000.0 19 9.96095 1.682 770 (r3:1,((r5:1,((r7:1,r6:1)1:0.116036310321,(r2:1,(r1:1,r0:1)1:0.126902917222)1:0.17030612005)0.4:0.00513303161469)0.52:0.0137808346978,r4:1):0); 0.362141354931442 0.30000000000000004 (r1:1,(r0:1,(((r7:1,r6:1)1:0.13496897773,(r5:1,(r4:1,r3:1)0.66:0.0284704532135)0.37:0.00349821947735)1:0.217464063885,r2:1)1:0.135912128114):0); 0.362141354931442 0.30000000000000004
1000 1000.0 1 10.164107142857144 1.678 779 (r2:1,((r0:1,r1:1)1:0.1485718648,((r5:1,(r7:1,r6:1)1:0.138194739511)0.85:0.0359792192291,(r3:1,r4:1)0.58:0.0188240852456)1:0.160728208474):0); 0.20410776171712283 0.12857142857142856 (r0:1,((r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.165675845951)0.74:0.0344482577851)0.57:0.0211653134079)1:0.162556089714)1:0.137098493503,r1:1):0); 0.0 0.0
1000 1000.0 20 9.95777619047619 1.667 772 (r5:1,((r6:1,r7:1)1:0.166817985028,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.143715802535)1:0.107610797893)0.79:0.0311151242377)0.47:0.00991411772266):0); 0.0 0.0 (r5:1,((r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.133390933322)1:0.128430495701)0.59:0.023780230336)0.45:0.0148024639848,(r6:1,r7:1)1:0.182056339978):0); 0.0 0.0
1000 1000.0 21 9.873764285714286 1.698 777 (r7:1,((r5:1,(r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.15520018141)1:0.132319055161)0.71:0.0258046192521)0.68:0.0255483732545)1:0.138883207696,r6:1):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,((r3:1,(r5:1,(r6:1,r7:1)1:0.116061828708)0.59:0.0230040079334)0.39:0.00594313338373,r4:1)1:0.167819766828)1:0.159795722213):0); 0.1790338045715902 0.12857142857142856
1000 1000.0 22 9.578371428571428 1.702 772 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.124863487555)1:0.133602752385)0.57:0.0167901862394,(r5:1,(r6:1,r7:1)1:0.130311236813)0.57:0.0159862426414):0); 0.0 0.0 (r1:1,((r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.119964197522)0.51:0.0163669774642)0.71:0.0326842419119)1:0.116838302473)1:0.168629379614,r0:1):0); 0.0 0.0
1000 1000.0 23 9.942716666666668 1.679 773 (r4:1,((r2:1,(r0:1,r1:1)1:0.13236181853)1:0.140477108135,(r3:1,(r5:1,(r6:1,r7:1)1:0.117083979354)0.86:0.0361734128408)0.43:0.0078562877963):0); 0.1790338045715902 0.12857142857142856 (r2:1,((r4:1,(r3:1,(r5:1,(r6:1,r7:1)0.99:0.0881783457675)0.88:0.0519341146594)0.53:0.0201119734183)1:0.11836516695,(r1:1,r0:1)1:0.149831709665):0); 0.1790338045715902 0.12857142857142856
