1000 10000.0 0 13.685594844789861 7.455 941 (r6:1,(r7:1,(r5:1,(r3:1,(r4:1,(r2:1,(r1:1,r0:1)1:0.114392187688)1:0.14891963041)0.54:0.0150984247126)0.78:0.0299778460721)1:0.130311236813):0); 0.1790338045715902 0.12857142857142856 (r1:1,(r0:1,(((r4:1,r3:1)0.54:0.0151694857508,(r5:1,(r7:1,r6:1)1:0.114937936357)0.91:0.0423685935239)1:0.135307820512,r2:1)1:0.106655720174):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 10 13.72945577541925 7.511 926 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.140261567667)1:0.144797702456)0.7:0.0242681272724)0.5:0.016557399249,(r7:1,r6:1)1:0.121473653801):0); 0.0 0.0 (r4:1,(r5:1,((r7:1,r6:1)1:0.128480923216,(r3:1,((r1:1,r0:1)1:0.161549114899,r2:1)1:0.12770175504)0.65:0.0215837278952)0.47:0.0109035348141):0); 0.19443359141936595 0.11428571428571432
1000 10000.0 11 13.631035322743502 7.525 939 (r1:1,((r2:1,((r3:1,r4:1)0.36:0.00133288923432,(r5:1,(r7:1,r6:1)1:0.146834848557)0.88:0.0394804871514)1:0.128690836476)1:0.136475639896,r0:1):0); 0.20410776171712283 0.12857142857142856 (r1:1,(r0:1,(r2:1,(r4:1,(r3:1,(r5:1,(r6:1,r7:1)1:0.152246848436)0.61:0.0194943047884)0.45:0.00832343794308)1:0.129638003691)1:0.157588960997):0); 0.1790338045715902 0.12857142857142856
1000 10000.0 12 13.57143102775126 7.521 950 (r5:1,(r3:1,((r6:1,r7:1)1:0.156995631959,(r4:1,(r2:1,(r1:1,r0:1)1:0.178930708826)1:0.1166208117)0.64:0.0213297668063)0.43:0.00708045189909):0); 0.29912715116429606 0.24285714285714288 (r7:1,(r6:1,(r5:1,((r2:1,(r0:1,r1:1)1:0.151207754916)1:0.139837142865,(r4:1,r3:1)0.57:0.019356391948)0.54:0.0156785909101)1:0.155647879312):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 13 13.715949253971681 7.468 941 (r2:1,((r0:1,r1:1)1:0.158706496363,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.146140886003)0.44:0.00783531134237)0.76:0.0302566814002)1:0.140692695071):0); 0.0 0.0 (r3:1,((r2:1,(r1:1,r0:1)1:0.144553873146)1:0.114463309332,((r6:1,r7:1)1:0.164038400834,(r5:1,r4:1)0.49:0.0145343851083)0.63:0.0242845721424):0); 0.19443359141936595 0.11428571428571432
1000 10000.0 14 13.690140440115448 7.471 937 (r6:1,(r7:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.143369841625)1:0.127626213784,r3:1)0.73:0.0275146059888)0.71:0.0251641273324)1:0.133731212787):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,(r3:1,((r7:1,r6:1)1:0.152931128343,(r4:1,r5:1)0.46:0.0140134640442)0.67:0.0246537532418)1:0.128442323117)1:0.156459616434):0); 0.19443359141936595 0.11428571428571432
1000 10000.0 15 13.40071157742219 7.539 933 (r7:1,(r6:1,(r5:1,((r4:1,r3:1)0.46:0.00970394096323,((r0:1,r1:1)1:0.115737177804,r2:1)1:0.157799519897)0.7:0.0246520289983)1:0.180365429301):0); 0.20410776171712283 0.12857142857142856 (r6:1,((r5:1,((r3:1,r4:1)0.53:0.014228295434,(r2:1,(r0:1,r1:1)1:0.103721506891)1:0.154430120518)0.9:0.042034031373)1:0.152766738449,r7:1):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 16 13.666142580473064 7.377 926 (r2:1,((r0:1,r1:1)1:0.198840868785,(r3:1,((r4:1,r5:1)0.39:0.00406669938255,(r7:1,r6:1)1:0.111791405988)0.74:0.0284991740357)1:0.160728208474):0); 0.19443359141936595 0.11428571428571432 (r5:1,(((r4:1,r3:1)0.65:0.0225822669896,(r2:1,(r1:1,r0:1)1:0.209967322691)1:0.163872574443)0.55:0.0165077597446,(r6:1,r7:1)1:0.16138136932):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 17 13.730511198853993 7.38 937 (r3:1,((r2:1,(r0:1,r1:1)1:0.139572150197)1:0.12996988163,((r4:1,(r7:1,r6:1)1:0.156601232428)0.45:0.00802411527005,r5:1)0.42:0.0078562877963):0); 0.17556643393915275 0.11428571428571432 (r2:1,((r0:1,r1:1)1:0.168576617031,(r3:1,(r4:1,((r7:1,r6:1)1:0.148279519119,r5:1)0.74:0.0280192864678)0.59:0.0175504680258)1:0.0891076051335):0); 0.0 0.0
1000 10000.0 18 13.621941077325701 7.478 932 (r0:1,(r1:1,(r2:1,(r3:1,((r6:1,r7:1)1:0.145447404699,(r4:1,r5:1)0.8:0.0319098404907)0.63:0.0199275102186)1:0.137248869025)1:0.153451623525):0); 0.19443359141936595 0.11428571428571432 (r6:1,(r7:1,((r3:1,(r2:1,(r1:1,r0:1)1:0.185681664856)1:0.119489479112)0.8:0.0326163773278,(r4:1,r5:1)0.67:0.0275174595149)1:0.123347781411):0); 0.19443359141936595 0.11428571428571432
1000 10000.0 19 13.671711883442665 7.534 934 (r7:1,(r6:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.115737177804)1:0.156557419858)0.42:0.00668228346858)0.79:0.0309433767062)1:0.173568765684):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,((r5:1,(r7:1,r6:1)1:0.137705536667)0.51:0.0174506316587,(r3:1,r4:1)0.75:0.0309054618786)1:0.136454114554)1:0.149731123839):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 1 13.740307397127385 7.304 931 (r0:1,((r2:1,(r4:1,(r3:1,(r5:1,(r6:1,r7:1)1:0.127583652443)0.52:0.0133251500237)0.46:0.0102084394184)1:0.141339734887)1:0.131677823975,r1:1):0); 0.1790338045715902 0.12857142857142856 (r4:1,((r3:1,(r5:1,(r6:1,r7:1)1:0.116589235572)0.72:0.0277913724182)0.45:0.00969124287625,(r2:1,(r1:1,r0:1)1:0.155278133439)1:0.152523763775):0); 0.1790338045715902 0.12857142857142856
1000 10000.0 20 13.837746089393487 7.416 945 (r2:1,((r0:1,r1:1)1:0.115400760643,(r3:1,((r4:1,(r7:1,r6:1)1:0.162577695989)0.36:0.00218770596989,r5:1)0.76:0.0318024094881)1:0.130183214964):0); 0.17556643393915275 0.11428571428571432 (r6:1,(r7:1,(r5:1,(r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.141841893124)1:0.117499279863)0.85:0.0366113104519)0.37:0.00212581005749)1:0.141283369429):0); 0.0 0.0
1000 10000.0 21 13.416313084193382 7.631 943 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.181802211158)1:0.129756593797)0.5:0.0159439477189)0.62:0.0226701212435,(r7:1,r6:1)1:0.134416613773):0); 0.0 0.0 (r7:1,(r6:1,(r5:1,((r3:1,r4:1)0.66:0.0273408498602,(r2:1,(r1:1,r0:1)1:0.135519116167)1:0.141668376245)0.68:0.0251387943489)1:0.177706988019):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 22 13.676178786861502 7.428 920 (r6:1,(r7:1,((r4:1,(r3:1,(r2:1,(r1:1,r0:1)1:0.124523986619)1:0.119994207267)0.44:0.0118919414995)0.89:0.0400652254976,r5:1)1:0.120797063789):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,(r5:1,(r6:1,r7:1)1:0.130156035375)0.9:0.0424524891808)0.72:0.0305516124562)1:0.116921338059)1:0.128532916834):0); 0.0 0.0
1000 10000.0 23 13.632843736088496 7.448 944 (r6:1,(r7:1,(r3:1,((r4:1,r5:1)0.45:0.0093677500036,(r2:1,(r1:1,r0:1)1:0.117758060943)1:0.152403954492)0.52:0.0153520065575)1:0.149963653473):0); 0.31325379773618617 0.2857142857142857 (r2:1,((r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.139885102668)0.63:0.0269303744041)0.44:0.00895623240386)1:0.148032483315,(r0:1,r1:1)1:0.117654337184):0); 0.0 0.0
1000 10000.0 24 13.898086002973896 7.345 940 (r3:1,((r5:1,(r7:1,r6:1)1:0.149267517002)0.47:0.0131353426776,(r4:1,(r2:1,(r1:1,r0:1)1:0.12045894037)1:0.122531742991)0.48:0.0149294058666):0); 0.1790338045715902 0.12857142857142856 (r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.142715594738)1:0.103461753598)0.71:0.0289141296604,(r5:1,(r7:1,r6:1)1:0.152925439731)0.77:0.0306971319867):0); 0.0 0.0
1000 10000.0 25 13.619112786816691 7.459 938 (r3:1,(r4:1,((r5:1,(r6:1,r7:1)1:0.14233267645)0.58:0.0184000150133,(r2:1,(r1:1,r0:1)1:0.103696898571)1:0.148774713374)0.5:0.0134095204098):0); 0.20410776171712283 0.12857142857142856 (r6:1,(r7:1,(((r4:1,r3:1)0.49:0.0114766340792,(r2:1,(r0:1,r1:1)1:0.138207390381)1:0.137920717355)0.66:0.0236504131004,r5:1)1:0.160217848421):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 26 13.515669780736204 7.509 928 (r7:1,(r6:1,(r5:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.141296585872)1:0.140477108135,r3:1)0.56:0.0188240852456)0.74:0.0274718206642)1:0.135788826682):0); 0.0 0.0 (r4:1,((r3:1,(r5:1,(r6:1,r7:1)1:0.152971887696)0.74:0.0276298559696)0.54:0.016091704611,((r0:1,r1:1)1:0.116547705048,r2:1)1:0.122658244249):0); 0.1790338045715902 0.12857142857142856
1000 10000.0 27 13.784362173315309 7.314 948 (r3:1,(r4:1,((r2:1,(r0:1,r1:1)1:0.207654734142)1:0.128690836476,((r7:1,r6:1)1:0.14822422009,r5:1)0.49:0.0109235815308)0.65:0.0227339924791):0); 0.20410776171712283 0.12857142857142856 (r7:1,(r6:1,(((r4:1,r3:1)0.56:0.0163097743967,(r2:1,(r0:1,r1:1)1:0.146992453127)1:0.166147506854)0.59:0.0203960017583,r5:1)1:0.156308177967):0); 0.20410776171712283 0.12857142857142856
1000 10000.0 28 13.48939154268094 7.571 921 (r1:1,(r0:1,(r2:1,((r4:1,(r5:1,(r6:1,r7:1)1:0.156250785604)0.62:0.0242041579777)0.66:0.0220529095309,r3:1)1:0.124439129391)1:0.139572150197):0); 0.0 0.0 (r0:1,(r1:1,(r2:1,((r4:1,(r5:1,(r7:1,r6:1)1:0.143227188024)0.99:0.0611892973447)0.54:0.0146497213629,r3:1)1:0.125266427399)1:0.15112836879):0); 0.0 0.0
1000 10000.0 29 13.61707578668381 7.444 942 (r4:1,(r5:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.134416613773)1:0.113888282412)0.86:0.0363676441709,(r6:1,r7:1)1:0.155900461551)0.75:0.0276643690426):0); 0.19443359141936595 0.11428571428571432 (r3:1,((r5:1,(r4:1,(r7:1,r6:1)1:0.180055617005)0.38:0.00362647722917)0.55:0.0159956878569,((r0:1,r1:1)1:0.122530696551,r2:1)1:0.141739373042):0); 0.17556643393915275 0.11428571428571432
1000 10000.0 2 13.845468288491858 7.459 943 (r0:1,(r1:1,(r2:1,(r3:1,(r4:1,(r5:1,(r7:1,r6:1)1:0.145100844307)0.47:0.0104818157226)0.9:0.0419951210366)1:0.113678396799)1:0.137850683082):0); 0.0 0.0 (r5:1,((r4:1,(r3:1,(r2:1,(r0:1,r1:1)1:0.134231918047)1:0.110319025332)0.8:0.0350830564753)0.7:0.0253078735022,(r7:1,r6:1)1:0.150980132554):0); 0.0 0.0
1000 10000.0 30 13.765140310580808 7.473 937 (r5:1,((r4:1,(r7:1,r6:1)1:0.12045894037)0.67:0.0236286183934,(r3:1,(r2:1,(r0:1,r1:1)1:0.126562723308)1:0.122531742991)0.64:0.021372290141):0); 0.17556643393915275 0.11428571428571432 (r1:1,(r0:1,((r3:1,((r6:1,r7:1)1:0.140308083261,(r5:1,r4:1)0.37:0.00265277888414)0.69:0.0266916635988)1:0.123954510835,r2:1)1:0.134117044179):0); 0.19443359141936595 0.11428571428571432
1000 10000.0 31 13.600007390144734 7.428 940 (r6:1,(r7:1,(r4:1,((r3:1,(r2:1,(r0:1,r1:1)1:0.125542835408)1:0.131677823975)0.4:0.00500752173062,r5:1)0.54:0.0144647512867)1:0.144754403978):0); 0.17556643393915275 0.11428571428571432 (r7:1,(((r5:1,r4:1)0.44:0.00747509086985,(r3:1,(r2:1,(r0:1,r1:1)1:0.134967143051)1:0.112727829588)0.56:0.0189422641699)1:0.133568240645,r6:1):0); 0.19443359141936595 0.11428571428571432
