1 10000000.0 0 13.677752378143206 3737.0 1  0 0 ((((r6:0.003807,r7:0.004336):0.000655,(r4:0.00214,r3:0.002029):0.00055):0.00039,r5:0.003704):0.000464,(r0:0.002508,r1:0.002475):0.000669,r2:0.002729); 2.979400370452434 0.30000000000000004
1 10000000.0 10 13.953775743707094 3659.0 1  0 0 (r2:0.002682,(r1:0.002207,r0:0.002345):0.000718,(((r6:0.00373,r7:0.004487):0.000702,(r4:0.001991,r5:0.003511):0.000442):0.00048,r3:0.002118):0.000412); 1.7342878726159014 0.11428571428571432
1 10000000.0 11 13.52643395133256 3808.0 1  0 0 ((((r7:0.004418,r6:0.003755):0.00073,(r4:0.002071,r5:0.003688):0.000509):0.000404,r3:0.002274):0.000446,(r0:0.002406,r1:0.00243):0.000711,r2:0.002829); 1.7342878726159023 0.11428571428571432
1 10000000.0 12 13.878607874495469 3592.0 1  0 0 (((r4:0.002025,((r0:0.002277,r1:0.002351):0.000671,r2:0.002721):0.000469):0.000428,(r5:0.003467,r3:0.002015):0.000475):0.000636,r7:0.004444,r6:0.003607); 2.6681222459933007 0.24285714285714288
1 10000000.0 13 13.803605313092978 3716.0 1  0 0 (((r7:0.004468,r6:0.003864):0.000695,r5:0.003792):0.000268,(r2:0.002977,(r0:0.002346,r1:0.002448):0.000843):0.000452,(r3:0.002146,r4:0.002307):0.000604); 1.8112781244591325 0.12857142857142856
1 10000000.0 14 13.699747249479632 3772.0 1  0 0 (((r5:0.003779,(r7:0.004353,r6:0.003828):0.000482):0.000281,(r2:0.00262,(r0:0.002315,r1:0.002313):0.000794):0.000477):0.000618,r3:0.002063,r4:0.002); 1.8112781244591325 0.12857142857142856
1 10000000.0 15 13.727771598071932 3464.0 1  0 0 (((r3:0.002022,r4:0.002111):0.000566,((r6:0.00389,r7:0.004312):0.000743,r5:0.003731):0.000321):0.00052,(r0:0.002295,r1:0.00225):0.000735,r2:0.002683); 1.8112781244591316 0.12857142857142856
1 10000000.0 16 13.553655192321571 3711.0 1  0 0 (((r7:0.004552,r6:0.00386):0.000581,r5:0.003807):0.000315,(r2:0.002847,(r0:0.002382,r1:0.002251):0.000903):0.000505,(r3:0.002097,r4:0.002196):0.000506); 1.8112781244591325 0.12857142857142856
1 10000000.0 17 13.566479877738155 3687.0 1  0 0 (((r3:0.002267,r4:0.002062):0.000516,(r5:0.003712,(r7:0.004353,r6:0.003964):0.000694):0.000287):0.000449,(r0:0.002363,r1:0.002363):0.000728,r2:0.002742); 1.8112781244591316 0.12857142857142856
1 10000000.0 18 13.617811704834606 3667.0 1  0 0 (((r4:0.002252,((r0:0.002391,r1:0.002416):0.000607,r2:0.00288):0.000533):0.000496,(r5:0.0038,r3:0.002054):0.000472):0.000689,r7:0.00434,r6:0.004011); 2.6681222459933007 0.24285714285714288
1 10000000.0 19 13.802911449690752 3558.0 1  0 0 (r0:0.002298,r1:0.002156,((((r7:0.004487,r6:0.003712):0.00071,(r5:0.003411,r3:0.001906):0.000475):0.000417,r4:0.002133):0.000433,r2:0.002707):0.000714); 2.6681222459933 0.24285714285714288
1 10000000.0 1 13.633072839870245 3653.0 1  0 0 (r3:0.002053,((r7:0.004528,r6:0.003757):0.000669,(r4:0.002206,(r2:0.002736,(r0:0.002338,r1:0.002251):0.000837):0.000437):0.000397):0.00049,r5:0.00359); 2.6681222459933007 0.24285714285714288
1 10000000.0 20 13.633510167992927 3702.0 1  0 0 ((r1:0.002416,r0:0.002327):0.000677,(((r7:0.004279,r6:0.003901):0.000653,(r5:0.00357,r3:0.002102):0.000471):0.000421,r4:0.002277):0.000514,r2:0.00273); 2.6681222459933007 0.24285714285714288
1 10000000.0 21 13.714221757946575 3712.0 1  0 0 ((((r4:0.002103,r5:0.003585):0.000447,(r7:0.004158,r6:0.003932):0.000606):0.000454,r3:0.002116):0.000492,(r0:0.002418,r1:0.002442):0.000716,r2:0.00287); 1.7342878726159023 0.11428571428571432
1 10000000.0 22 13.598392400438437 3627.0 1  0 0 ((r0:0.002395,r1:0.002316):0.000784,(((r6:0.003766,r7:0.004451):0.000719,r4:0.002387):0.000432,(r5:0.003483,r3:0.00193):0.000567):0.000433,r2:0.002841); 2.5911319941500697 0.24285714285714288
1 10000000.0 23 13.564837545126354 3638.0 1  0 0 (r6:0.003804,(((r3:0.00207,r5:0.003642):0.000612,((r0:0.002413,r1:0.002369):0.00078,r2:0.002818):0.000519):0.000311,r4:0.002359):0.000715,r7:0.004568); 2.5911319941500697 0.24285714285714288
1 10000000.0 24 13.847759407496072 3667.0 1  0 0 ((r4:0.002156,r3:0.002028):0.000544,((r6:0.003745,r7:0.004555):0.000612,r5:0.003735):0.000267,((r1:0.002262,r0:0.002414):0.000788,r2:0.002793):0.000461); 1.8112781244591325 0.12857142857142856
1 10000000.0 25 13.637503666764447 3616.0 1  0 0 ((r3:0.001993,r4:0.002142):0.000472,(r5:0.003745,(r7:0.004405,r6:0.003803):0.000682):0.000322,((r0:0.002189,r1:0.002174):0.00086,r2:0.002779):0.000519); 1.8112781244591325 0.12857142857142856
1 10000000.0 26 13.795840094409204 3739.0 1  0 0 (((r3:0.002339,((r0:0.002442,r1:0.002412):0.000704,r2:0.002675):0.000492):0.000397,(r4:0.002092,r5:0.003554):0.000536):0.000726,r7:0.004437,r6:0.003712); 1.7342878726159023 0.11428571428571432
1 10000000.0 27 13.66999276934201 3874.0 1  0 0 (r5:0.003692,r4:0.002076,(((r1:0.00244,r0:0.002516):0.000671,r2:0.002829):0.000478,(r3:0.002183,(r7:0.004531,r6:0.003818):0.000726):0.000278):0.000553); 2.7798538696909363 0.2857142857142857
1 10000000.0 28 13.55367930708203 3693.0 1  0 0 ((((r4:0.002133,r5:0.003626):0.000463,(r6:0.00387,r7:0.004484):0.000666):0.000464,r3:0.002262):0.000499,(r0:0.002375,r1:0.002411):0.000634,r2:0.002755); 1.7342878726159023 0.11428571428571432
1 10000000.0 29 13.583719108325617 3715.0 1  0 0 ((r7:0.004552,r6:0.003876):0.000675,(r5:0.003633,r4:0.002116):0.000532,((r2:0.003003,(r0:0.002365,r1:0.002339):0.000782):0.000493,r3:0.002451):0.000428); 1.7342878726159023 0.11428571428571432
1 10000000.0 2 13.708063916759569 3737.0 1  0 0 (r5:0.003635,(r7:0.004415,r6:0.003798):0.000668,((r4:0.002139,r3:0.001993):0.000513,((r0:0.00234,r1:0.002395):0.000763,r2:0.002579):0.000528):0.000262); 1.8112781244591325 0.12857142857142856
1 10000000.0 30 13.700965107646622 3626.0 1  0 0 ((r2:0.002709,(r1:0.00231,r0:0.002277):0.000772):0.000498,r4:0.002288,((r5:0.003391,r3:0.002155):0.000613,(r6:0.003729,r7:0.004391):0.000629):0.000418); 2.6681222459933007 0.24285714285714288
1 10000000.0 31 13.557686654908878 3656.0 1  0 0 ((((r1:0.002325,r0:0.002259):0.000759,r2:0.002828):0.000394,(r3:0.002121,r4:0.001998):0.000482):0.000281,r5:0.003704,(r7:0.004404,r6:0.003929):0.0006); 1.8112781244591316 0.12857142857142856
